date,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Average Dilution Earnings,Net Income Common Stockholders,Preferred Stock Dividends,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Special Income Charges,Impairment Of Capital Assets,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Selling General And Administration,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2023-06-30,0.0,0.017,21823000000.0,0.0,0.0,14653000000.0,2714000000.0,42760000000.0,21823000000.0,19109000000.0,-449000000.0,756000000.0,307000000.0,14653000000.0,14653000000.0,63872000000.0,18134000000.0,2483900000.0,2414003295.0,5.9,6.07,14653000000.0,282000000.0,14371000000.0,282000000.0,14653000000.0,-85000000.0,14738000000.0,14738000000.0,3615000000.0,18353000000.0,668000000.0,668000000.0,0.0,0.0,-449000000.0,756000000.0,307000000.0,18134000000.0,21112000000.0,21112000000.0,39246000000.0,42760000000.0,82006000000.0,82006000000.0
2024-06-30,-270882000.0,0.202,23923000000.0,-1341000000.0,-1341000000.0,14879000000.0,2896000000.0,40848000000.0,22582000000.0,19686000000.0,-452000000.0,925000000.0,473000000.0,15949118000.0,14879000000.0,64153000000.0,18545000000.0,2471900000.0,2407605178.0,6.02,6.18,14879000000.0,284000000.0,14595000000.0,284000000.0,14879000000.0,-95000000.0,14974000000.0,14974000000.0,3787000000.0,18761000000.0,-673000000.0,668000000.0,-1341000000.0,1341000000.0,-452000000.0,925000000.0,473000000.0,19886000000.0,23305000000.0,23305000000.0,43191000000.0,40848000000.0,84039000000.0,84039000000.0
2025-06-30,0.0,0.203402,23921000000.0,0.0,0.0,15974000000.0,2847000000.0,41164000000.0,23921000000.0,21074000000.0,-438000000.0,907000000.0,469000000.0,15974000000.0,15974000000.0,63833000000.0,20451000000.0,2454400000.0,2394902549.0,6.51,6.67,15974000000.0,291000000.0,15682000000.0,291000000.0,15974000000.0,-91000000.0,16065000000.0,16065000000.0,4102000000.0,20167000000.0,154000000.0,154000000.0,0.0,0.0,-438000000.0,907000000.0,469000000.0,20451000000.0,22669000000.0,22669000000.0,43120000000.0,41164000000.0,84284000000.0,84284000000.0
2026-06-30,0.0,0.207734,24414000000.0,0.0,0.0,16046000000.0,3160000000.0,43362000000.0,24414000000.0,21254000000.0,-447000000.0,877000000.0,430000000.0,16046000000.0,16046000000.0,67284000000.0,19748000000.0,2422500000.0,2333700000.0,6.62,6.75,16046000000.0,292000000.0,15754000000.0,292000000.0,16046000000.0,-98000000.0,16144000000.0,16144000000.0,4233000000.0,20377000000.0,1076000000.0,1076000000.0,0.0,0.0,-447000000.0,877000000.0,430000000.0,19748000000.0,23922000000.0,23922000000.0,43670000000.0,43362000000.0,87032000000.0,87032000000.0
