date,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Preferred Stock Dividends,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Special Income Charges,Impairment Of Capital Assets,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Selling General And Administration,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2024-12-31,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,
2025-03-31,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,
2025-06-30,0.0,0.197965,5456000000.0,0.0,0.0,3615000000.0,723000000.0,10631000000.0,5456000000.0,4733000000.0,-108000000.0,212000000.0,104000000.0,3615000000.0,3615000000.0,16535000000.0,4355000000.0,2443800000.0,2394039735.0,1.48,1.51,3830000000.0,3538000000.0,76000000.0,3615000000.0,-11000000.0,3626000000.0,3626000000.0,895000000.0,4521000000.0,274000000.0,274000000.0,0.0,0.0,-108000000.0,212000000.0,104000000.0,4354000000.0,5904000000.0,5904000000.0,10258000000.0,10631000000.0,20889000000.0,20889000000.0
2025-09-30,0.0,0.208,6992000000.0,,,4750000000.0,761000000.0,10887000000.0,6992000000.0,6231000000.0,-89000000.0,197000000.0,108000000.0,4750000000.0,4750000000.0,16530000000.0,5856000000.0,2436800000.0,2342100000.0,1.95,2.0,4677000000.0,4677000000.0,73000000.0,4750000000.0,-31000000.0,4781000000.0,4781000000.0,1253000000.0,6034000000.0,268000000.0,268000000.0,,,-89000000.0,197000000.0,108000000.0,5856000000.0,5643000000.0,5643000000.0,11499000000.0,10887000000.0,22386000000.0,22386000000.0
2025-12-31,0.0,0.201,6443000000.0,,,4319000000.0,802000000.0,10834000000.0,6443000000.0,5641000000.0,-105000000.0,220000000.0,115000000.0,4319000000.0,4319000000.0,16842000000.0,5366000000.0,2424000000.0,2335300000.0,1.78,1.82,4247000000.0,4247000000.0,73000000.0,4319000000.0,-12000000.0,4331000000.0,4331000000.0,1090000000.0,5421000000.0,160000000.0,160000000.0,,,-105000000.0,220000000.0,115000000.0,5366000000.0,6008000000.0,6008000000.0,11374000000.0,10834000000.0,22208000000.0,22208000000.0
2026-03-31,0.0,0.208,5997000000.0,,,3932000000.0,785000000.0,10722000000.0,5997000000.0,5212000000.0,-123000000.0,223000000.0,100000000.0,3932000000.0,3932000000.0,16658000000.0,4576000000.0,2416500000.0,2328500000.0,1.63,1.66,3860000000.0,3860000000.0,72000000.0,3932000000.0,-18000000.0,3951000000.0,3950000000.0,1039000000.0,4989000000.0,537000000.0,537000000.0,,,-123000000.0,223000000.0,100000000.0,4577000000.0,5936000000.0,5936000000.0,10513000000.0,10722000000.0,21235000000.0,21235000000.0
2026-06-30,0.0,0.216629,4981000000.0,,,3044000000.0,812000000.0,10920000000.0,4981000000.0,4169000000.0,-128000000.0,236000000.0,108000000.0,3044000000.0,3044000000.0,17254000000.0,3950000000.0,2412700000.0,2378125000.0,1.26,1.28,3262000000.0,2970000000.0,74000000.0,3044000000.0,-38000000.0,3081000000.0,3081000000.0,852000000.0,3933000000.0,112000000.0,112000000.0,,,-128000000.0,236000000.0,108000000.0,3950000000.0,6334000000.0,6334000000.0,10284000000.0,10920000000.0,21204000000.0,21204000000.0
