date,open,high,low,close,volume,average,barCount
2026-03-09,27034.25,27034.25,27034.25,27034.25,0.0,27034.25,0
2026-03-10,27024.5,27024.5,27024.5,27024.5,0.0,27024.5,0
2026-03-11,27025.75,27025.75,27025.75,27025.75,0.0,27025.75,0
2026-03-12,26601.25,26601.25,26601.25,26601.25,0.0,26601.25,0
2026-03-13,26436.75,26436.75,26436.75,26436.75,0.0,26436.75,0
2026-03-16,26721.25,26721.25,26721.25,26721.25,0.0,26721.25,0
2026-03-17,26845.5,26845.5,26845.5,26845.5,0.0,26845.5,0
2026-03-18,26481.25,26481.25,26481.25,26481.25,0.0,26481.25,0
2026-03-19,26409.25,26409.25,26409.25,26409.25,0.0,26409.25,0
2026-03-20,25926.75,25926.75,25926.75,25926.75,0.0,25926.75,0
2026-03-23,26236.0,26236.0,26236.0,26236.0,0.0,26236.0,0
2026-03-24,26043.0,26043.0,26043.0,26043.0,0.0,26043.0,0
2026-03-25,26196.75,26196.75,26196.75,26196.75,0.0,26196.75,0
2026-03-26,25619.75,25619.75,25619.75,25619.75,0.0,25619.75,0
2026-03-27,25145.0,25145.0,25145.0,25145.0,0.0,25145.0,0
2026-03-30,24936.0,24936.0,24936.0,24936.0,0.0,24936.0,0
2026-03-31,25693.0,25693.0,25693.0,25693.0,0.0,25693.0,0
2026-04-01,25990.0,25990.0,25990.0,25990.0,0.0,25990.0,0
2026-04-02,26016.0,26016.0,26016.0,26016.0,0.0,26016.0,0
2026-04-06,26157.0,26157.0,26157.0,26157.0,0.0,26157.0,0
2026-04-07,26170.25,26170.25,26170.25,26170.25,0.0,26170.25,0
2026-04-08,26882.0,26882.0,26882.0,26882.0,0.0,26882.0,0
2026-04-09,27060.0,27060.0,27060.0,27060.0,0.0,27060.0,0
2026-04-10,27090.0,27090.0,27090.0,27090.0,0.0,27090.0,0
2026-04-13,27355.0,27355.0,27355.0,27355.0,0.0,27355.0,0
2026-04-14,27813.0,27813.0,27813.0,27813.0,0.0,27813.0,0
2026-04-15,28186.0,28186.0,28186.0,28186.0,0.0,28186.0,0
2026-04-16,28308.0,28308.0,28308.0,28308.0,0.0,28308.0,0
2026-04-17,28647.0,28647.0,28647.0,28647.0,0.0,28647.0,0
2026-04-20,28570.5,28570.5,28570.5,28570.5,0.0,28570.5,0
2026-04-21,28457.0,28457.0,28457.0,28457.0,0.0,28457.0,0
2026-04-22,28907.0,28907.0,28907.0,28907.0,0.0,28907.0,0
2026-04-23,28757.5,28757.5,28757.5,28757.5,0.0,28757.5,0
2026-04-24,29261.5,29261.5,29261.5,29261.5,0.0,29261.5,0
2026-04-27,29267.0,29267.0,29267.0,29267.0,0.0,29267.0,0
2026-04-28,28995.0,28995.0,28995.0,28995.0,0.0,28995.0,0
2026-04-29,29151.25,29151.25,29151.25,29151.25,0.0,29151.25,0
2026-04-30,29424.25,29424.25,29424.25,29424.25,0.0,29424.25,0
2026-05-01,29665.5,29665.5,29665.5,29665.5,0.0,29665.5,0
2026-05-04,29604.0,29604.0,29604.0,29604.0,0.0,29604.0,0
2026-05-05,29991.0,29991.0,29991.0,29991.0,0.0,29991.0,0
2026-05-06,30587.0,30587.0,30587.0,30587.0,0.0,30587.0,0
2026-05-07,30557.75,30557.75,30557.75,30557.75,0.0,30557.75,0
2026-05-08,31290.5,31290.5,31290.5,31290.5,0.0,31290.5,0
2026-05-11,31397.0,31397.0,31397.0,31397.0,0.0,31397.0,0
2026-05-12,31139.5,31139.5,31139.5,31139.5,0.0,31139.5,0
2026-05-13,31443.5,31443.5,31443.5,31443.5,0.0,31443.5,0
2026-05-14,31664.25,31664.25,31664.25,31664.25,0.0,31664.25,0
2026-05-15,31212.25,31212.25,31212.25,31212.25,0.0,31212.25,0
2026-05-18,31071.75,31071.75,31071.75,31071.75,0.0,31071.75,0
2026-05-19,30903.75,30903.75,30903.75,30903.75,0.0,30903.75,0
2026-05-20,31376.5,31376.5,31376.5,31376.5,0.0,31376.5,0
2026-05-21,31435.0,31435.0,31435.0,31435.0,0.0,31435.0,0
2026-05-22,31555.5,31555.5,31555.5,31555.5,0.0,31555.5,0
2026-05-26,32068.25,32068.25,32068.25,32068.25,0.0,32068.25,0
2026-05-27,32060.25,32060.25,32060.25,32060.25,0.0,32060.25,0
2026-05-28,32399.25,32399.25,32399.25,32399.25,0.0,32399.25,0
2026-05-29,32513.75,32513.75,32513.75,32513.75,0.0,32513.75,0
2026-06-01,32680.5,32680.5,32680.5,32680.5,0.0,32680.5,0
2026-06-02,32830.75,32830.75,32830.75,32830.75,0.0,32830.75,0
2026-06-03,32765.75,32765.75,32765.75,32765.75,0.0,32765.75,0
2026-06-04,32611.75,32611.75,32611.75,32611.75,0.0,32611.75,0
2026-06-05,31123.0,31123.0,31123.0,31123.0,0.0,31123.0,0
2026-06-08,31569.75,31569.75,31569.75,31569.75,0.0,31569.75,0
2026-06-09,31222.75,31222.75,31222.75,31222.75,0.0,31222.75,0
2026-06-10,30652.25,30652.25,30652.25,30652.25,0.0,30652.25,0
2026-06-11,31546.0,31546.0,31546.0,31546.0,0.0,31546.0,0
2026-06-12,31770.0,31770.0,31770.0,31770.0,0.0,31770.0,0
2026-06-15,32710.25,32710.25,32710.25,32710.25,0.0,32710.25,0
2026-06-16,32158.75,32158.75,32158.75,32158.75,0.0,32158.75,0
2026-06-17,31906.0,31906.0,31906.0,31906.0,0.0,31906.0,0
2026-06-18,32631.75,32631.75,32631.75,32631.75,0.0,32631.75,0
2026-06-22,32563.75,32563.75,32563.75,32563.75,0.0,32563.75,0
