date,SCE_INFL_1Y_MEDIAN,SCE_INFL_3Y_MEDIAN,SCE_INFL_5Y_MEDIAN
2013-06-01,3.090884447097778,3.416846036911011,
2013-07-01,3.162521839141846,3.310545444488525,
2013-08-01,3.395071029663086,3.799490928649902,
2013-09-01,3.367289781570435,3.546917915344238,
2013-10-01,3.174732685089111,3.196596622467041,
2013-11-01,3.196596622467041,3.314703464508057,
2013-12-01,3.137840509414673,3.299734830856323,
2014-01-01,3.0,3.046669483184814,
2014-02-01,3.090884447097778,3.177026748657227,
2014-03-01,3.196596622467041,3.37714695930481,
2014-04-01,3.303940296173096,3.204833745956421,
2014-05-01,3.171747922897339,3.196596622467041,
2014-06-01,3.204562902450562,3.297345161437988,
2014-07-01,3.111110925674438,3.218860149383545,
2014-08-01,3.0,3.085294008255005,
2014-09-01,3.0,3.015459299087524,
2014-10-01,3.0,3.015459299087524,
2014-11-01,3.015459299087524,3.034222364425659,
2014-12-01,2.980843782424927,3.0,
2015-01-01,2.926263809204102,3.0,
2015-02-01,2.830265522003174,3.0,
2015-03-01,2.875452041625977,2.915112495422363,
2015-04-01,2.733258724212646,2.980843782424927,
2015-05-01,2.95576286315918,2.980843782424927,
2015-06-01,3.0,3.0,
2015-07-01,2.955356597900391,2.955680131912231,
2015-08-01,2.793574810028076,2.867506742477417,
2015-09-01,2.734658479690552,2.842578172683716,
2015-10-01,2.823325872421265,2.781904935836792,
2015-11-01,2.554007530212402,2.681401968002319,
2015-12-01,2.537524938583374,2.775065183639526,
2016-01-01,2.417507410049438,2.453082084655762,
2016-02-01,2.711992979049683,2.62285304069519,
2016-03-01,2.530769824981689,2.500489473342896,
2016-04-01,2.613695859909058,2.791492700576782,
2016-05-01,2.62285304069519,2.734134674072266,
2016-06-01,2.53787088394165,2.861799716949463,
2016-07-01,2.521350860595703,2.501431941986084,
2016-08-01,2.793574810028076,2.711992979049683,
2016-09-01,2.49516224861145,2.623311042785645,
