date,Ordinary Shares Number,Share Issued,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Minority Interest,Stockholders Equity,Gains Losses Not Affecting Retained Earnings,Other Equity Adjustments,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Preferred Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Current Liabilities,Other Current Liabilities,Current Deferred Liabilities,Payables And Accrued Expenses,Current Accrued Expenses,Payables,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Inventory,Finished Goods,Receivables,Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents
2025-05-31,443477086.0,443477086.0,8180000000.0,27125000000.0,32842000000.0,572000000.0,27125000000.0,2463000000.0,27125000000.0,32842000000.0,27125000000.0,,27125000000.0,-1915000000.0,-1915000000.0,20890000000.0,8148000000.0,2000000.0,2000000.0,0.0,48357000000.0,10778000000.0,2598000000.0,8180000000.0,2463000000.0,5717000000.0,37579000000.0,7432000000.0,2931000000.0,27216000000.0,7396000000.0,19820000000.0,19820000000.0,75482000000.0,37331000000.0,4031000000.0,33300000000.0,,33300000000.0,,33300000000.0,,,,,38151000000.0,1820000000.0,18606000000.0,18606000000.0,2875000000.0,2875000000.0,14850000000.0,1014000000.0,13836000000.0
2025-08-31,443237000.0,443237000.0,8173000000.0,29164000000.0,34877000000.0,1272000000.0,29164000000.0,2460000000.0,29164000000.0,34877000000.0,29164000000.0,0.0,29164000000.0,-1770000000.0,-1770000000.0,22650000000.0,8282000000.0,2000000.0,2000000.0,0.0,47935000000.0,10827000000.0,2654000000.0,8173000000.0,2460000000.0,5713000000.0,37108000000.0,6589000000.0,2854000000.0,27665000000.0,7882000000.0,19783000000.0,19783000000.0,77099000000.0,38719000000.0,4085000000.0,34634000000.0,-18931000000.0,53565000000.0,1882000000.0,2725000000.0,13127000000.0,25508000000.0,10323000000.0,0.0,38380000000.0,1777000000.0,18116000000.0,18116000000.0,3203000000.0,3203000000.0,15284000000.0,1123000000.0,14161000000.0
2025-11-30,443919000.0,443919000.0,8102000000.0,30303000000.0,35969000000.0,1606000000.0,30303000000.0,2436000000.0,30303000000.0,35969000000.0,30303000000.0,,30303000000.0,-1976000000.0,-1976000000.0,23869000000.0,8408000000.0,2000000.0,2000000.0,0.0,52487000000.0,10682000000.0,2580000000.0,8102000000.0,2436000000.0,5666000000.0,41805000000.0,7418000000.0,2990000000.0,31397000000.0,7884000000.0,23513000000.0,23513000000.0,82790000000.0,39379000000.0,4033000000.0,35346000000.0,,35346000000.0,,35346000000.0,,,,,43411000000.0,1856000000.0,21141000000.0,21141000000.0,3231000000.0,3231000000.0,17183000000.0,966000000.0,16217000000.0
2026-02-28,443652540.0,443652540.0,8165000000.0,32087000000.0,37775000000.0,2370000000.0,32087000000.0,2477000000.0,32087000000.0,37775000000.0,32087000000.0,,32087000000.0,-1606000000.0,-1606000000.0,25121000000.0,8570000000.0,2000000.0,2000000.0,0.0,51552000000.0,10789000000.0,2624000000.0,8165000000.0,2477000000.0,5688000000.0,40763000000.0,8522000000.0,3126000000.0,29115000000.0,8468000000.0,20647000000.0,20647000000.0,83639000000.0,40506000000.0,4102000000.0,36404000000.0,,36404000000.0,,36404000000.0,,,,,43133000000.0,2120000000.0,18991000000.0,18991000000.0,3782000000.0,3782000000.0,18240000000.0,857000000.0,17383000000.0
2026-05-31,443478804.0,443478804.0,8136000000.0,33509000000.0,39179000000.0,3052000000.0,33509000000.0,2466000000.0,33509000000.0,39179000000.0,33509000000.0,,33509000000.0,-1658000000.0,-1658000000.0,26482000000.0,8683000000.0,2000000.0,2000000.0,0.0,52921000000.0,10796000000.0,2660000000.0,8136000000.0,2466000000.0,5670000000.0,42125000000.0,8439000000.0,3157000000.0,30529000000.0,8166000000.0,22363000000.0,22363000000.0,86430000000.0,41253000000.0,4213000000.0,37040000000.0,,37040000000.0,,37040000000.0,,,,,45177000000.0,2013000000.0,19418000000.0,19418000000.0,3750000000.0,3750000000.0,19996000000.0,1050000000.0,18946000000.0
