date,Free Cash Flow,Repurchase Of Capital Stock,Repayment Of Debt,Issuance Of Debt,Capital Expenditure,Interest Paid Supplemental Data,Income Tax Paid Supplemental Data,End Cash Position,Beginning Cash Position,Effect Of Exchange Rate Changes,Changes In Cash,Financing Cash Flow,Cash Flow From Continuing Financing Activities,Net Other Financing Charges,Cash Dividends Paid,Common Stock Dividend Paid,Net Common Stock Issuance,Common Stock Payments,Net Issuance Payments Of Debt,Net Short Term Debt Issuance,Short Term Debt Payments,Short Term Debt Issuance,Net Long Term Debt Issuance,Long Term Debt Payments,Long Term Debt Issuance,Investing Cash Flow,Cash Flow From Continuing Investing Activities,Net Other Investing Changes,Net Investment Purchase And Sale,Sale Of Investment,Purchase Of Investment,Net PPE Purchase And Sale,Purchase Of PPE,Operating Cash Flow,Cash Flow From Continuing Operating Activities,Change In Working Capital,Change In Other Working Capital,Change In Payables And Accrued Expense,Change In Payable,Change In Account Payable,Change In Inventory,Other Non Cash Items,Stock Based Compensation,Depreciation Amortization Depletion,Depreciation And Amortization,Net Income From Continuing Operations
2024-11-30,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
2025-02-28,,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
2025-05-31,2329000000.0,-211000000.0,-266000000.0,246000000.0,-1131000000.0,26000000.0,850000000.0,13836000000.0,12356000000.0,104000000.0,1376000000.0,-748000000.0,-748000000.0,-2000000.0,-515000000.0,-515000000.0,-211000000.0,-211000000.0,-20000000.0,0.0,-246000000.0,246000000.0,-20000000.0,-20000000.0,0.0,-1336000000.0,-1336000000.0,-11000000.0,-194000000.0,34000000.0,-228000000.0,-1131000000.0,-1131000000.0,3460000000.0,3460000000.0,764000000.0,-635000000.0,1062000000.0,1062000000.0,1062000000.0,337000000.0,135000000.0,106000000.0,552000000.0,552000000.0,1903000000.0
2025-08-31,1901000000.0,-280000000.0,-359000000.0,200000000.0,-1966000000.0,25000000.0,1269000000.0,14161000000.0,13836000000.0,19000000.0,306000000.0,-1593000000.0,-1593000000.0,-1000000.0,-1153000000.0,,-280000000.0,-280000000.0,-159000000.0,-27000000.0,-227000000.0,200000000.0,-132000000.0,-132000000.0,0.0,-1968000000.0,-1968000000.0,98000000.0,-100000000.0,355000000.0,-455000000.0,-1966000000.0,-1966000000.0,3867000000.0,3867000000.0,350000000.0,-34000000.0,-200000000.0,-200000000.0,-200000000.0,584000000.0,110000000.0,140000000.0,774000000.0,774000000.0,2610000000.0
2025-11-30,3162000000.0,-210000000.0,-23000000.0,0.0,-1526000000.0,43000000.0,239000000.0,16217000000.0,14161000000.0,-67000000.0,2123000000.0,-1167000000.0,-1167000000.0,-357000000.0,-577000000.0,-577000000.0,-210000000.0,-210000000.0,-23000000.0,0.0,0.0,0.0,-23000000.0,-23000000.0,,-1398000000.0,-1398000000.0,-17000000.0,145000000.0,340000000.0,-195000000.0,-1526000000.0,-1526000000.0,4688000000.0,4688000000.0,1534000000.0,873000000.0,3818000000.0,3818000000.0,3818000000.0,-3157000000.0,70000000.0,486000000.0,597000000.0,597000000.0,2001000000.0
2026-02-28,1707000000.0,-209000000.0,-79000000.0,136000000.0,-1289000000.0,8000000.0,777000000.0,17383000000.0,16217000000.0,70000000.0,1096000000.0,-730000000.0,-730000000.0,-1000000.0,-577000000.0,-577000000.0,-209000000.0,-209000000.0,57000000.0,71000000.0,-65000000.0,136000000.0,-14000000.0,-14000000.0,,-1170000000.0,-1170000000.0,4000000.0,115000000.0,170000000.0,-55000000.0,-1289000000.0,-1289000000.0,2996000000.0,2996000000.0,53000000.0,766000000.0,-3087000000.0,-3087000000.0,-3087000000.0,2374000000.0,145000000.0,166000000.0,597000000.0,597000000.0,2035000000.0
2026-05-31,2036000000.0,-184000000.0,-414000000.0,323000000.0,-1413000000.0,27000000.0,719000000.0,18946000000.0,17383000000.0,-16000000.0,1579000000.0,-278000000.0,-278000000.0,-3000000.0,0.0,0.0,-184000000.0,-184000000.0,-91000000.0,-2000000.0,-325000000.0,323000000.0,-89000000.0,-89000000.0,,-1592000000.0,-1592000000.0,17000000.0,-196000000.0,34000000.0,-230000000.0,-1413000000.0,-1413000000.0,3449000000.0,3449000000.0,499000000.0,-811000000.0,1767000000.0,1767000000.0,1767000000.0,-457000000.0,42000000.0,119000000.0,597000000.0,597000000.0,2192000000.0
