date,SHAPIRO_HEADLINE_MOM_SUPPLY,SHAPIRO_HEADLINE_MOM_DEMAND,SHAPIRO_HEADLINE_MOM_AMBIG,SHAPIRO_CORE_MOM_SUPPLY,SHAPIRO_CORE_MOM_DEMAND,SHAPIRO_CORE_MOM_AMBIG,SHAPIRO_HEADLINE_YOY_SUPPLY,SHAPIRO_HEADLINE_YOY_DEMAND,SHAPIRO_HEADLINE_YOY_AMBIG,SHAPIRO_CORE_YOY_SUPPLY,SHAPIRO_CORE_YOY_DEMAND,SHAPIRO_CORE_YOY_AMBIG
2021-05-01,2.200000048,2.380000114,1.940000057,2.25999999,2.279999971,1.830000043,1.440000057,1.360000014,1.330000043,1.120000005,1.409999967,1.090000033
2021-06-01,4.420000076,2.640000105,-0.239999995,4.389999866,1.870000005,-0.340000004,1.580000043,1.539999962,1.24000001,1.450000048,1.529999971,0.99000001
2021-07-01,2.970000029,1.830000043,0.75999999,2.299999952,2.019999981,0.769999981,1.639999986,1.580000043,1.299999952,1.429999948,1.570000052,1.019999981
2021-08-01,2.859999895,1.440000057,0.449999988,3.109999895,1.059999943,-0.170000002,1.789999962,1.649999976,1.190000057,1.590000033,1.600000024,0.860000014
2021-09-01,1.480000019,0.370000005,2.220000029,1.659999967,0.230000004,0.75999999,1.820000052,1.610000014,1.340000033,1.669999957,1.559999943,0.870000005
2021-10-01,2.529999971,3.380000114,2.24000001,1.419999957,3.569999933,1.149999976,1.940000057,1.940000057,1.480000019,1.679999948,1.909999967,0.910000026
2021-11-01,2.819999933,4.710000038,0.709999979,2.25,3.460000038,0.810000002,2.200000048,2.25999999,1.470000029,1.919999957,2.130000114,0.899999976
2021-12-01,4.309999943,2.390000105,0.959999979,3.75,2.369999886,1.090000033,2.529999971,2.220000029,1.389999986,2.200000048,2.089999914,0.970000029
2022-01-01,5.059999943,-0.079999998,1.75,4.860000134,-0.709999979,2.00999999,2.849999905,2.130000114,1.269999981,2.5,1.929999948,0.959999979
2022-02-01,3.630000114,3.069999933,0.579999983,2.730000019,1.960000038,0.709999979,3.089999914,2.359999895,1.070000052,2.670000076,2.099999905,0.850000024
