date,SHAPIRO_HEADLINE_MOM_SUPPLY,SHAPIRO_HEADLINE_MOM_DEMAND,SHAPIRO_HEADLINE_MOM_AMBIG,SHAPIRO_CORE_MOM_SUPPLY,SHAPIRO_CORE_MOM_DEMAND,SHAPIRO_CORE_MOM_AMBIG,SHAPIRO_HEADLINE_YOY_SUPPLY,SHAPIRO_HEADLINE_YOY_DEMAND,SHAPIRO_HEADLINE_YOY_AMBIG,SHAPIRO_CORE_YOY_SUPPLY,SHAPIRO_CORE_YOY_DEMAND,SHAPIRO_CORE_YOY_AMBIG
2022-03-01,3.99000001,6.650000095,0.310000002,2.339999914,2.170000076,0.349999994,3.220000029,2.619999886,1.049999952,2.809999943,1.960000038,0.839999974
2022-04-01,1.200000048,1.159999967,1.370000005,0.829999983,1.919999957,1.559999943,3.099999905,2.470000029,1.080000043,2.640000105,1.840000033,0.879999995
2022-05-01,2.269999981,4.829999924,0.649999976,1.659999967,1.909999967,0.74000001,3.099999905,2.670000076,0.980000019,2.589999914,1.809999943,0.790000021
2022-06-01,7.639999866,3.25,1.149999976,2.319999933,3.710000038,1.230000019,3.359999895,2.720000029,1.090000033,2.420000076,1.960000038,0.920000017
2022-07-01,-0.340000004,2.910000086,-2.49000001,-0.709999979,2.25999999,1.159999967,3.079999924,2.809999943,0.819999993,2.170000076,1.980000019,0.949999988
2022-08-01,0.639999986,1.899999976,0.930000007,4.369999886,2.180000067,0.360000014,2.900000095,2.839999914,0.860000014,2.269999981,2.069999933,0.99000001
2022-09-01,3.920000076,0.319999993,0.129999995,3.789999962,1.5,0.150000006,3.099999905,2.839999914,0.680000007,2.440000057,2.180000067,0.939999998
2022-10-01,1.480000019,2.470000029,1.730000019,1.090000033,1.340000033,1.950000048,3.00999999,2.769999981,0.639999986,2.420000076,1.99000001,1.00999999
2022-11-01,1.450000048,1.549999952,0.140000001,1.409999967,1.75,0.330000013,2.900000095,2.50999999,0.589999974,2.349999905,1.850000024,0.970000029
2022-12-01,1.820000052,-1.059999943,0.939999998,2.319999933,1.210000038,0.769999981,2.690000057,2.220000029,0.589999974,2.230000019,1.75999999,0.939999998
2023-01-01,3.099999905,3.660000086,-0.090000004,3.160000086,2.75,-0.129999995,2.529999971,2.529999971,0.439999998,2.089999914,2.039999962,0.75999999
2023-02-01,2.410000086,0.939999998,0.270000011,2.599999905,1.470000029,0.300000012,2.430000067,2.349999905,0.409999996,2.079999924,2.0,0.730000019
2023-03-01,1.059999943,0.300000012,0.379999995,1.669999957,0.5,1.769999981,2.190000057,1.840000033,0.419999987,2.029999971,1.860000014,0.850000024
2023-04-01,1.149999976,2.450000048,0.560000002,1.279999971,2.400000095,0.639999986,2.190000057,1.940000057,0.349999994,2.059999943,1.899999976,0.769999981
2023-05-01,1.549999952,1.070000052,-0.639999986,1.870000005,1.330000043,0.360000014,2.130000114,1.629999995,0.239999995,2.079999924,1.860000014,0.74000001
2023-06-01,0.479999989,2.380000114,0.340000004,0.389999986,2.349999905,0.370000005,1.549999952,1.559999943,0.180000007,1.919999957,1.74000001,0.670000017
2023-07-01,0.200000003,-0.119999997,1.350000024,0.200000003,-0.119999997,1.649999976,1.590000033,1.309999943,0.5,2.0,1.549999952,0.709999979
2023-08-01,0.769999981,2.49000001,0.409999996,0.680000007,0.400000006,0.289999992,1.610000014,1.360000014,0.460000008,1.700000048,1.399999976,0.699999988
2023-09-01,1.669999957,1.309999943,1.549999952,1.549999952,0.449999988,1.75999999,1.419999957,1.440000057,0.579999983,1.50999999,1.309999943,0.839999974
2023-10-01,0.170000002,0.289999992,0.219999999,-0.129999995,1.789999962,0.219999999,1.309999943,1.25999999,0.449999988,1.409999967,1.350000024,0.689999998
2023-11-01,-0.860000014,0.589999974,0.400000006,0.310000002,0.860000014,0.219999999,1.120000005,1.179999948,0.469999999,1.320000052,1.279999971,0.680000007
2023-12-01,1.00999999,0.620000005,0.059999999,1.120000005,1.120000005,-0.02,1.049999952,1.320000052,0.400000006,1.220000029,1.269999981,0.620000005
2024-01-01,3.660000086,1.340000033,0.730000019,4.0,1.440000057,0.920000017,1.100000024,1.129999995,0.469999999,1.289999962,1.159999967,0.699999988
2024-02-01,3.059999943,0.720000029,-0.07,2.789999962,0.74000001,-0.25,1.149999976,1.110000014,0.439999998,1.299999952,1.100000024,0.660000026
2024-03-01,0.519999981,2.369999886,1.480000019,0.699999988,2.400000095,1.639999986,1.110000014,1.289999962,0.529999971,1.220000029,1.25999999,0.649999976
2024-04-01,1.399999976,0.460000008,1.139999986,1.700000048,0.50999999,0.74000001,1.129999995,1.120000005,0.579999983,1.25999999,1.100000024,0.649999976
2024-05-01,-1.24000001,1.340000033,0.02,-0.75999999,1.539999962,0.059999999,0.889999986,1.139999986,0.629999995,1.039999962,1.120000005,0.629999995
2024-06-01,0.699999988,0.439999998,0.75,0.870000005,1.299999952,0.75999999,0.910000026,0.980000019,0.670000017,1.080000043,1.029999971,0.660000026
2024-07-01,0.910000026,1.070000052,-0.02,1.029999971,1.340000033,-0.039999999,0.970000029,1.080000043,0.550000012,1.139999986,1.149999976,0.519999981
2024-08-01,0.870000005,-0.02,0.639999986,1.320000052,0.050000001,0.779999971,0.980000019,0.870000005,0.569999993,1.200000048,1.120000005,0.560000002
2024-09-01,-0.469999999,3.00999999,0.180000007,0.129999995,3.049999952,0.180000007,0.800000012,1.00999999,0.460000008,1.080000043,1.340000033,0.430000007
2024-10-01,1.340000033,0.689999998,1.200000048,1.370000005,1.029999971,1.220000029,0.899999976,1.049999952,0.540000021,1.200000048,1.269999981,0.519999981
2024-11-01,0.180000007,0.720000029,0.5,0.07,0.879999995,0.340000004,0.99000001,1.059999943,0.550000012,1.179999948,1.279999971,0.529999971
2024-12-01,-0.400000006,3.079999924,0.649999976,-0.419999987,1.99000001,0.730000019,0.870000005,1.25999999,0.600000024,1.059999943,1.350000024,0.589999974
2025-01-01,3.279999971,0.660000026,0.370000005,2.970000029,0.560000002,0.330000013,0.839999974,1.200000048,0.569999993,0.970000029,1.269999981,0.540000021
2025-02-01,2.130000114,2.420000076,0.349999994,2.190000057,2.619999886,0.639999986,0.75999999,1.340000033,0.600000024,0.920000017,1.429999948,0.610000014
2025-03-01,0.50999999,0.730000019,-1.0,-0.059999999,0.680000007,0.600000024,0.75999999,1.210000038,0.400000006,0.860000014,1.289999962,0.529999971
2025-04-01,1.139999986,1.169999957,-0.300000012,1.149999976,1.179999948,-0.029999999,0.74000001,1.269999981,0.280000001,0.810000002,1.340000033,0.460000008
2025-05-01,1.789999962,0.790000021,-0.379999995,1.600000024,0.970000029,0.209999993,0.99000001,1.220000029,0.239999995,1.00999999,1.299999952,0.479999989
2025-06-01,0.479999989,2.109999895,0.889999986,0.389999986,1.950000048,0.860000014,0.970000029,1.360000014,0.25999999,0.970000029,1.350000024,0.49000001
2025-07-01,1.0,0.730000019,0.370000005,1.230000019,1.389999986,0.389999986,0.980000019,1.330000043,0.289999992,0.99000001,1.350000024,0.519999981
2025-08-01,-0.109999999,1.659999967,1.690000057,-0.140000001,1.49000001,1.450000048,0.899999976,1.470000029,0.379999995,0.860000014,1.470000029,0.579999983
2025-09-01,0.870000005,1.649999976,0.639999986,0.930000007,0.980000019,0.389999986,1.00999999,1.360000014,0.409999996,0.930000007,1.299999952,0.589999974
2025-10-01,0.239999995,0.090000004,2.00999999,0.25,0.300000012,2.220000029,0.920000017,1.309999943,0.479999989,0.839999974,1.24000001,0.680000007
2025-11-01,1.289999962,0.910000026,0.449999988,1.389999986,0.430000007,0.340000004,1.00999999,1.330000043,0.479999989,0.949999988,1.200000048,0.680000007
2025-12-01,2.420000076,0.779999971,0.839999974,2.410000086,0.649999976,0.949999988,1.25,1.139999986,0.49000001,1.179999948,1.090000033,0.689999998
2026-01-01,3.099999905,1.690000057,-0.529999971,3.380000114,1.909999967,0.140000001,1.230000019,1.220000029,0.419999987,1.220000029,1.210000038,0.680000007
2026-02-01,2.25,1.460000038,1.210000038,2.49000001,1.200000048,1.149999976,1.24000001,1.139999986,0.49000001,1.24000001,1.090000033,0.720000029
2026-03-01,0.980000019,5.690000057,1.580000043,0.5,1.340000033,1.779999971,1.279999971,1.549999952,0.699999988,1.289999962,1.139999986,0.819999993
2026-04-01,2.230000019,1.309999943,1.450000048,2.019999981,1.029999971,0.0,1.370000005,1.559999943,0.850000024,1.360000014,1.129999995,0.819999993
2026-05-01,2.369999886,1.49000001,1.639999986,0.519999981,1.49000001,1.879999995,1.419999957,1.610000014,1.019999981,1.269999981,1.169999957,0.959999979
