date,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Special Income Charges,Other Special Charges,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Selling General And Administration,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2022-01-31,,,,-2410000000.0,-2410000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,-2410000000.0,2410000000.0,,,,,,,117812000000.0,,,,
2023-01-31,0.0,0.336,30089000000.0,0.0,0.0,11680000000.0,10945000000.0,463721000000.0,30089000000.0,19144000000.0,-1874000000.0,2128000000.0,254000000.0,11680000000.0,11680000000.0,590861000000.0,20428000000.0,8202000000.0,8172000000.0,1.423333,1.43,11680000000.0,11680000000.0,11680000000.0,388000000.0,11292000000.0,11292000000.0,5724000000.0,17016000000.0,-1538000000.0,-1538000000.0,0.0,,-1874000000.0,2128000000.0,254000000.0,20428000000.0,127140000000.0,127140000000.0,127140000000.0,147568000000.0,463721000000.0,611289000000.0,611289000000.0
2024-01-31,0.0,0.255,36384000000.0,0.0,0.0,15511000000.0,11853000000.0,490142000000.0,36384000000.0,24531000000.0,-2137000000.0,2683000000.0,546000000.0,15511000000.0,15511000000.0,621113000000.0,27012000000.0,8109000000.0,8076000000.0,1.913333,1.92,15511000000.0,15511000000.0,15511000000.0,-759000000.0,16270000000.0,16270000000.0,5578000000.0,21848000000.0,-3027000000.0,-3027000000.0,0.0,,-2137000000.0,2683000000.0,546000000.0,27012000000.0,130971000000.0,130971000000.0,130971000000.0,157983000000.0,490142000000.0,648125000000.0,648125000000.0
2025-01-31,0.0,0.233836,42010000000.0,,,19436000000.0,12973000000.0,511753000000.0,42010000000.0,29037000000.0,-2245000000.0,2728000000.0,483000000.0,19436000000.0,19436000000.0,651637000000.0,29348000000.0,8081000000.0,8041000000.0,2.41,2.42,19436000000.0,19436000000.0,19436000000.0,-721000000.0,20157000000.0,20157000000.0,6152000000.0,26309000000.0,-794000000.0,-794000000.0,,,-2245000000.0,2728000000.0,483000000.0,29348000000.0,139884000000.0,139884000000.0,139884000000.0,169232000000.0,511753000000.0,680985000000.0,680985000000.0
2026-01-31,0.0,0.244291,46471000000.0,,,21893000000.0,14203000000.0,535395000000.0,46471000000.0,32268000000.0,-2431000000.0,2799000000.0,368000000.0,21893000000.0,21893000000.0,683338000000.0,29825000000.0,8022000000.0,7983000000.0,2.73,2.74,21893000000.0,21893000000.0,21893000000.0,-377000000.0,22270000000.0,22270000000.0,7199000000.0,29469000000.0,2075000000.0,2075000000.0,,,-2431000000.0,2799000000.0,368000000.0,29825000000.0,147943000000.0,147943000000.0,,177768000000.0,535395000000.0,713163000000.0,713163000000.0
