date,Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Minority Interest,Stockholders Equity,Gains Losses Not Affecting Retained Earnings,Other Equity Adjustments,Foreign Currency Translation Adjustments,Minimum Pension Liabilities,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Non Current Deferred Liabilities,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Current Liabilities,Other Current Liabilities,Current Deferred Liabilities,Current Deferred Revenue,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Other Current Borrowings,Payables And Accrued Expenses,Current Accrued Expenses,Payables,Total Tax Payable,Income Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Goodwill And Other Intangible Assets,Goodwill,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Prepaid Assets,Inventory,Receivables,Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Cash And Cash Equivalents
2022-01-31,,,,,,,,,,,,,,,,,-8100000000.0,-12000000.0,,,,,,,,13474000000.0,13474000000.0,,,,,21000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1519000000.0,,,,,
2023-01-31,8100000000.0,8100000000.0,30587000000.0,58923000000.0,48519000000.0,115905000000.0,-16543000000.0,48519000000.0,19711000000.0,76693000000.0,111342000000.0,83991000000.0,7298000000.0,76693000000.0,-11680000000.0,-857000000.0,-10816000000.0,-7000000.0,83135000000.0,4430000000.0,808000000.0,808000000.0,159206000000.0,67008000000.0,14688000000.0,14688000000.0,14688000000.0,52320000000.0,17671000000.0,34649000000.0,92198000000.0,,2488000000.0,2488000000.0,6603000000.0,2040000000.0,4563000000.0,4563000000.0,83107000000.0,25213000000.0,57894000000.0,4152000000.0,727000000.0,53742000000.0,243197000000.0,167542000000.0,20134000000.0,28174000000.0,28174000000.0,119234000000.0,-101610000000.0,220844000000.0,10802000000.0,18474000000.0,67697000000.0,104554000000.0,19317000000.0,0.0,75655000000.0,2521000000.0,,56576000000.0,7933000000.0,7933000000.0,8625000000.0,8625000000.0
2024-01-31,8054000001.0,8054000001.0,30590000000.0,61321000000.0,55748000000.0,124318000000.0,-15538000000.0,55748000000.0,20864000000.0,83861000000.0,119993000000.0,90571000000.0,6710000000.0,83861000000.0,-11302000000.0,-895000000.0,-10407000000.0,-18000000.0,89814000000.0,4544000000.0,805000000.0,805000000.0,161828000000.0,69413000000.0,14629000000.0,,,54784000000.0,18652000000.0,36132000000.0,92415000000.0,,2664000000.0,2664000000.0,6537000000.0,2212000000.0,4325000000.0,4325000000.0,83214000000.0,22636000000.0,60578000000.0,3766000000.0,307000000.0,56812000000.0,252399000000.0,175522000000.0,17071000000.0,28113000000.0,28113000000.0,130338000000.0,-109049000000.0,239387000000.0,13390000000.0,19528000000.0,75140000000.0,111767000000.0,19562000000.0,0.0,76877000000.0,3322000000.0,,54892000000.0,8796000000.0,8796000000.0,9867000000.0,9867000000.0
2025-01-31,8024000000.0,8024000000.0,30030000000.0,60114000000.0,62221000000.0,130080000000.0,-17126000000.0,62221000000.0,21047000000.0,91013000000.0,124414000000.0,97692000000.0,6679000000.0,91013000000.0,-13605000000.0,-13605000000.0,-12661000000.0,,98313000000.0,5503000000.0,802000000.0,802000000.0,163131000000.0,66547000000.0,14398000000.0,,,52149000000.0,18748000000.0,33401000000.0,96584000000.0,,2755000000.0,2755000000.0,7965000000.0,2299000000.0,5666000000.0,5666000000.0,85864000000.0,23087000000.0,62777000000.0,4111000000.0,608000000.0,58666000000.0,260823000000.0,181365000000.0,12869000000.0,28792000000.0,28792000000.0,139704000000.0,-111624000000.0,251328000000.0,15403000000.0,19711000000.0,78899000000.0,117973000000.0,19342000000.0,0.0,79458000000.0,4011000000.0,,56435000000.0,9975000000.0,9975000000.0,9037000000.0,9037000000.0
2026-01-31,7969000000.0,7969000000.0,34035000000.0,67095000000.0,70882000000.0,144379000000.0,-22595000000.0,70882000000.0,22333000000.0,99617000000.0,134241000000.0,106180000000.0,6563000000.0,99617000000.0,-12770000000.0,-12770000000.0,,,104774000000.0,6816000000.0,797000000.0,797000000.0,178488000000.0,71019000000.0,16549000000.0,,,54470000000.0,19846000000.0,34624000000.0,107469000000.0,,2941000000.0,2941000000.0,12625000000.0,2487000000.0,10138000000.0,10138000000.0,91903000000.0,24136000000.0,67767000000.0,4706000000.0,596000000.0,63061000000.0,284668000000.0,199794000000.0,14103000000.0,28735000000.0,28735000000.0,156956000000.0,-120338000000.0,277294000000.0,18728000000.0,20873000000.0,88467000000.0,128472000000.0,20754000000.0,0.0,84874000000.0,4124000000.0,,58851000000.0,11172000000.0,11172000000.0,10727000000.0,10727000000.0
