date,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Depreciation Amortization Depletion Income Statement,Depreciation And Amortization In Income Statement,Selling General And Administration,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2022-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,-35000000.0,-35000000.0,,,,,,,,,,,,
2023-01-31,0.0,0.239,27069000000.0,17105000000.0,2975000000.0,104105000000.0,27069000000.0,24094000000.0,-1562000000.0,1617000000.0,55000000.0,17105000000.0,17105000000.0,133364000000.0,24039000000.0,1025000000.0,1022000000.0,16.69,16.74,17105000000.0,17105000000.0,17105000000.0,17105000000.0,17105000000.0,5372000000.0,22477000000.0,1000000.0,1000000.0,-1562000000.0,1617000000.0,55000000.0,24039000000.0,28739000000.0,2455000000.0,2455000000.0,26284000000.0,52778000000.0,104625000000.0,157403000000.0,157403000000.0
2024-01-31,0.0,0.239962,25114000000.0,15143000000.0,3247000000.0,101135000000.0,25114000000.0,21867000000.0,-1765000000.0,1943000000.0,178000000.0,15143000000.0,15143000000.0,130980000000.0,21689000000.0,1002000000.0,999000000.0,15.11,15.16,15143000000.0,15143000000.0,15143000000.0,15143000000.0,15143000000.0,4781000000.0,19924000000.0,-1000000.0,-1000000.0,-1765000000.0,1943000000.0,178000000.0,21689000000.0,29271000000.0,2673000000.0,2673000000.0,26598000000.0,50960000000.0,101709000000.0,152669000000.0,152669000000.0
2025-01-31,0.0,0.23704,25488000000.0,14806000000.0,3761000000.0,105479000000.0,25488000000.0,21727000000.0,-2120000000.0,2321000000.0,201000000.0,14806000000.0,14806000000.0,137988000000.0,21526000000.0,993000000.0,990000000.0,14.91,14.96,14806000000.0,14806000000.0,14806000000.0,14806000000.0,14806000000.0,4600000000.0,19406000000.0,,,-2120000000.0,2321000000.0,201000000.0,21526000000.0,31782000000.0,3034000000.0,3034000000.0,28748000000.0,53308000000.0,106206000000.0,159514000000.0,159514000000.0
2026-01-31,0.0,0.239,25135000000.0,14156000000.0,4121000000.0,108970000000.0,25135000000.0,21014000000.0,-2288000000.0,2412000000.0,124000000.0,14156000000.0,14156000000.0,143793000000.0,20890000000.0,995000000.0,993000000.0,14.23,14.26,14156000000.0,14156000000.0,14156000000.0,14156000000.0,14156000000.0,4446000000.0,18602000000.0,,,-2288000000.0,2412000000.0,124000000.0,20890000000.0,33975000000.0,3273000000.0,3273000000.0,30702000000.0,54865000000.0,109818000000.0,164683000000.0,164683000000.0
