date,AAPL_short_ratio,ABBV_short_ratio,AMD_short_ratio,AMZN_short_ratio,AVGO_short_ratio,AZN_short_ratio,COIN_short_ratio,COST_short_ratio,CRCL_short_ratio,GOOG_short_ratio,HD_short_ratio,HOOD_short_ratio,INTC_short_ratio,ISRG_short_ratio,JNJ_short_ratio,KO_short_ratio,LLY_short_ratio,MCD_short_ratio,META_short_ratio,MSFT_short_ratio,MU_short_ratio,NVDA_short_ratio,PEP_short_ratio,PG_short_ratio,QQQ_short_ratio,SNDK_short_ratio,SPY_short_ratio,TSLA_short_ratio,TSM_short_ratio,UNH_short_ratio,WMT_short_ratio,AAPL_short_vol,ABBV_short_vol,AMD_short_vol,AMZN_short_vol,AVGO_short_vol,AZN_short_vol,COIN_short_vol,COST_short_vol,CRCL_short_vol,GOOG_short_vol,HD_short_vol,HOOD_short_vol,INTC_short_vol,ISRG_short_vol,JNJ_short_vol,KO_short_vol,LLY_short_vol,MCD_short_vol,META_short_vol,MSFT_short_vol,MU_short_vol,NVDA_short_vol,PEP_short_vol,PG_short_vol,QQQ_short_vol,SNDK_short_vol,SPY_short_vol,TSLA_short_vol,TSM_short_vol,UNH_short_vol,WMT_short_vol
2025-07-11,0.4765626694749896,0.6389416064405495,0.617136134436888,0.3248645215847798,0.2770139811596657,0.3847545360068942,0.543083965105562,0.4682249854902746,0.4537664316549379,0.3937930689144247,0.6208356176609335,0.562696789898697,0.4046684179400903,0.1571246173698929,0.6383385712444765,0.4411329611700956,0.5197034286162617,0.4555435898202113,0.3669280941676183,0.4332394645270631,0.4211497533503296,0.5780394870689728,0.3701706786234433,0.4124575180829708,0.6411314108053058,0.6843327713082077,0.58570216798474,0.5941981252697803,0.3283007177678623,0.4512010319010999,0.3880477824747589,6305018.0,1396504.0,15717523.0,5430538.0,1741893.0,346902.0,4099957.0,364648.0,4216213.0,2933350.0,779104.0,19051681.0,9405358.0,184225.0,1520721.0,1616541.0,596157.0,792716.0,1530063.0,2090302.0,2863788.0,53782391.0,1131038.0,915560.0,6974541.0,278429.0,7807373.0,26749673.0,1169961.0,1942799.0,2022909.0
2025-07-14,0.4346257061701324,0.5756758670073906,0.6176787712992439,0.3570544061017217,0.3214133480565199,0.4423865161726857,0.5319449921110195,0.4151499910491275,0.4454755620327838,0.4145017170337602,0.5761958426671696,0.565308405101947,0.3965499697629484,0.1906208269500176,0.4425868931016852,0.2591446445666451,0.5874535919066413,0.4660249003354969,0.2585559351993667,0.4433331186762779,0.6121178061828522,0.5487980916804126,0.4267885153587469,0.3637739973348718,0.6363252460030319,0.4759935647435049,0.5851277980465847,0.5021517142919535,0.3448549060331952,0.3888936547093519,0.3523520036580295,6406492.0,918899.0,13451484.0,4025501.0,1486215.0,566199.0,3090602.0,292200.0,3616682.0,2512309.0,626322.0,14132458.0,9602586.0,186142.0,1765904.0,1443360.0,552224.0,1003456.0,866521.0,1631594.0,8434894.0,36231633.0,1210222.0,1455845.0,6535122.0,1014229.0,6715108.0,22098426.0,1451196.0,1677345.0,1760012.0
2025-07-15,0.4010325378341782,0.4041362089889323,0.5388750413517158,0.3389046924009306,0.35472333074525,0.3814548979845954,0.5758804901522336,0.4732435588162323,0.5118448126718081,0.4174377618318395,0.5913962219550171,0.6109087100661297,0.3374734586398643,0.2722382536560859,0.5256050257274213,0.3955459606862856,0.5592116636892757,0.4846850967937878,0.3209152024545086,0.51804192862009,0.4928173355212915,0.5710899986443576,0.4233303073126753,0.3715212510901982,0.7265826247485363,0.4434805190670166,0.5950533479711649,0.522707891147017,0.4193929797129141,0.3917194955093393,0.4391326094059977,6230555.0,1111592.0,23241687.0,4297200.0,2254641.0,428885.0,4260991.0,337620.0,3933057.0,2514107.0,980723.0,14594358.0,11769642.0,177740.0,1294736.0,1618758.0,931584.0,517064.0,1337994.0,2664501.0,4026704.0,58324682.0,1356998.0,1320109.0,9317636.0,445713.0,8799205.0,22828297.0,2283591.0,2732692.0,1620748.0
2025-07-16,0.46821758068406,0.3930869902565349,0.5634449351421151,0.2884588353795073,0.3907329994807613,0.3728470692121876,0.4889478908423533,0.5499327454187228,0.4647378067370944,0.3230954162034085,0.3970729825008335,0.5907430393922362,0.3318179033198728,0.1759685068213769,0.5084642302460501,0.2744617999264007,0.5265560260008083,0.4483941349993524,0.3009299696747583,0.3779963211999493,0.5621208453854166,0.5737557793016037,0.4577506065286568,0.2909975579419916,0.6667304534640022,0.3144985960689931,0.6304394739890209,0.456520789519704,0.4657675790753854,0.3457854362872567,0.3691819978231695,7292000.0,870374.0,16322540.0,4252174.0,2148420.0,351298.0,3098409.0,545398.0,11022306.0,1826134.0,635937.0,17166822.0,9520800.0,142191.0,4113258.0,1254482.0,557646.0,495076.0,1366752.0,1968688.0,6672185.0,41865779.0,1845444.0,773711.0,10201624.0,313618.0,11930830.0,24873338.0,2806490.0,1531344.0,1572156.0
2025-07-17,0.4248120984624014,0.6436063517449745,0.5848521204803672,0.3958283382069104,0.4770088671133169,0.4316027540720604,0.5871270411913608,0.5074434856782067,0.4982066147136856,0.4056231591787205,0.4298207805790165,0.6221671952621837,0.3537894670142695,0.2017858795919848,0.561017550951291,0.3669438571304196,0.5495217036039399,0.4713529594593879,0.2671938530494637,0.4632149570120939,0.5762799409932128,0.5578886225952626,0.4543810271984244,0.4481759384401879,0.7920661690057849,0.414686140167471,0.65075756955094,0.5176514793794157,0.5560359147838034,0.3915129272018339,0.407761352101891,7216038.0,1055954.0,14476541.0,4434301.0,3243210.0,581097.0,4680612.0,364077.0,8303095.0,2570509.0,542494.0,12750063.0,9117704.0,161304.0,2054076.0,2098924.0,755239.0,623295.0,1210141.0,2596727.0,8676801.0,41360446.0,4302135.0,1298229.0,10183129.0,202699.0,11358607.0,21984678.0,5501282.0,2692499.0,1712541.0
2025-07-18,0.5037978147689455,0.3806376955483403,0.6065826664437675,0.3894100008392013,0.3491822914467876,0.4084213767455302,0.468646163542287,0.463745889406886,0.559626761263511,0.4394254109937547,0.4679022859835348,0.588371615671189,0.3712335768080702,0.3850826336933772,0.5953812807333773,0.3803177114474378,0.5088396378780299,0.5084368526162071,0.4879934539306521,0.4178861532425851,0.4554613336713468,0.4366385462045547,0.4656814698461857,0.4463451398920744,0.6292904735925563,0.4521500653900958,0.7595345029741218,0.4854666313111038,0.4854190545604108,0.2852720628866648,0.3710482920222288,6866603.0,567409.0,14510141.0,4213343.0,1844472.0,474865.0,6344304.0,280915.0,12963581.0,2719534.0,479634.0,21524177.0,11510299.0,288135.0,1712647.0,1854811.0,623498.0,613817.0,2431443.0,2652267.0,3284221.0,28000410.0,1882868.0,981313.0,10970648.0,231641.0,14632954.0,25008697.0,3210183.0,1909088.0,1420712.0
2025-07-21,0.4108176623311481,0.4110096034424911,0.4810550865058315,0.5024215354708128,0.6245974177312322,0.3389611464353199,0.6567604973980298,0.5007838646669789,0.4769083393393785,0.5062828165552932,0.4696913588488303,0.5204672221313881,0.2884934552096478,0.4324733613219483,0.6512665282584796,0.4138658371630314,0.3541156089440846,0.4362812090666957,0.4099716439852955,0.501708960049069,0.5170573589536652,0.5931185054206949,0.4819357976597772,0.3774591303373769,0.6115334368994257,0.4456555113499025,0.4898018265007632,0.6205377760692385,0.2816486870299201,0.3082296250106123,0.3691129463585253,8124752.0,792579.0,10280622.0,6854639.0,4372646.0,491514.0,5282414.0,350737.0,5046170.0,4084185.0,668422.0,12449717.0,10588071.0,307284.0,1534903.0,2501312.0,418014.0,568556.0,1390138.0,2326293.0,4431513.0,33315419.0,1676565.0,748067.0,7504169.0,477523.0,7586468.0,27893595.0,1421822.0,1474004.0,1611453.0
2025-07-22,0.4381645262950304,0.2562154982510288,0.4320324553716338,0.4897662623567999,0.3960314330492369,0.3720635743444011,0.6431036447663279,0.2850711306131586,0.4705952196855915,0.4152078123783236,0.3403260732576391,0.3960627015296951,0.2892457919760192,0.2734669742837081,0.4396738869198676,0.4158807605941763,0.2756297179544927,0.4244860140464987,0.3182018675034146,0.4048084644353085,0.3759538482646998,0.5966942472549622,0.4836339543126893,0.360824722457303,0.7351573354893328,0.6599288052224878,0.5676399173021094,0.5742049748530235,0.3414419257887345,0.2487159990251686,0.4247017825511436,7380835.0,401616.0,10364294.0,6494403.0,2795814.0,401944.0,4508772.0,194835.0,4442993.0,3838945.0,475264.0,8873003.0,8314171.0,258991.0,1344612.0,3482227.0,241098.0,392619.0,1090046.0,1735154.0,4627993.0,55681405.0,1421199.0,938845.0,8550923.0,400621.0,6912342.0,26403475.0,1585826.0,1700236.0,1430650.0
2025-07-23,0.4608016637699914,0.4516042033508766,0.3736665578443895,0.4755913660071842,0.3753021114058603,0.31139107852093,0.58002077141244,0.4718426757412978,0.4319232632434706,0.4266880872124629,0.5622209914067617,0.3633475771593623,0.3172989775727783,0.3932483402188256,0.5018024239703528,0.4481020351803214,0.4648389013885287,0.4925749144850989,0.3182007736855241,0.4223381471664707,0.3572407338188939,0.6210173074415989,0.4519221199745506,0.3592226767157727,0.5969480132370882,0.4670393728404042,0.606805841282502,0.5967712427990101,0.3405695530245184,0.2362938715159886,0.4162290122631287,7849778.0,693240.0,7800295.0,4212551.0,2577853.0,625178.0,3257613.0,301021.0,2424276.0,4050844.0,745071.0,6050510.0,10034313.0,706578.0,2155127.0,3877996.0,485719.0,488025.0,999573.0,2250852.0,2832849.0,45853927.0,1017161.0,670418.0,5498361.0,287629.0,11904371.0,26125353.0,1368418.0,1408255.0,1512637.0
2025-07-24,0.4297782569451277,0.3898414837797068,0.390421728070587,0.4673848517553949,0.4090352797484345,0.4545750442600177,0.6323154177495207,0.3039883695130572,0.4922556205108462,0.4718958976217133,0.4386620300878529,0.3751478492361756,0.5231770619988997,0.2660869477547234,0.4442631231126325,0.4327984738517491,0.2757141988112894,0.5920840258158951,0.35063038993585,0.4675801593227166,0.4477096522730864,0.5754707312257832,0.3144226464353333,0.3808471243415481,0.6648979190481459,0.6244826926576184,0.6997883930833954,0.5571629432949223,0.410318169181538,0.2998837910881696,0.3025672362147494,6543184.0,473197.0,10060888.0,7491372.0,2657728.0,953878.0,2408485.0,235653.0,2518968.0,8574692.0,351567.0,4614520.0,28903531.0,263921.0,986863.0,1843100.0,321799.0,815472.0,1333379.0,2528212.0,3869833.0,37266043.0,932648.0,849088.0,7573174.0,401538.0,12570646.0,43418532.0,1734220.0,2869322.0,1753821.0
