date,Ordinary Shares Number,Share Issued,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Gains Losses Not Affecting Retained Earnings,Other Equity Adjustments,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Preferred Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Current Liabilities,Other Current Liabilities,Current Debt And Capital Lease Obligation,Current Debt,Other Current Borrowings,Payables And Accrued Expenses,Current Accrued Expenses,Payables,Other Payable,Total Tax Payable,Income Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Deferred Assets,Non Current Deferred Taxes Assets,Non Current Accounts Receivable,Investments And Advances,Other Investments,Goodwill And Other Intangible Assets,Other Intangible Assets,Goodwill,Net PPE,Accumulated Depreciation,Gross PPE,Other Properties,Machinery Furniture Equipment,Current Assets,Other Current Assets,Restricted Cash,Prepaid Assets,Receivables,Receivables Adjustments Allowances,Other Receivables,Taxes Receivable,Loans Receivable,Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Equivalents,Cash Financial
2024-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-184618000.0,,,,,,,,,,,,,,,,,,6607023000.0,1936880000.0
2025-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6153826000.0,1897343000.0
2025-06-30,256433000.0,256433000.0,4409515000.0,10899959000.0,16335011000.0,9259718000.0,10899959000.0,169393000.0,12094889000.0,15068434000.0,12094889000.0,12094889000.0,-60000.0,-60000.0,6455409000.0,5639538000.0,2000.0,2000.0,0.0,11381149000.0,3150367000.0,7429000.0,3142938000.0,169393000.0,2973545000.0,8230782000.0,6362851000.0,1266577000.0,1266577000.0,1266577000.0,601354000.0,320115000.0,281239000.0,206257000.0,6464000.0,6464000.0,68518000.0,23476038000.0,5985538000.0,37669000.0,541354000.0,541354000.0,61110000.0,3772730000.0,3772730000.0,1194930000.0,41309000.0,1153621000.0,377745000.0,,377745000.0,135969000.0,241776000.0,17490500000.0,271803000.0,6436863000.0,92578000.0,1142621000.0,-12823000.0,98294000.0,40823000.0,878802000.0,137525000.0,137525000.0,9546635000.0,2007247000.0,7539388000.0,5980319000.0,1559069000.0
2025-09-30,268736000.0,268736000.0,7371636000.0,10601289000.0,23224752000.0,12903835000.0,10601289000.0,170108000.0,16023224000.0,21956671000.0,16023224000.0,16023224000.0,3538000.0,3538000.0,6887961000.0,9131722000.0,3000.0,3000.0,0.0,15328143000.0,6138789000.0,35234000.0,6103555000.0,170108000.0,5933447000.0,9189354000.0,7085805000.0,1268081000.0,1268081000.0,1268081000.0,835468000.0,406043000.0,429425000.0,280218000.0,63344000.0,63344000.0,85863000.0,31351367000.0,9258178000.0,52353000.0,324096000.0,324096000.0,61672000.0,2999005000.0,2999005000.0,5421935000.0,1417823000.0,4004112000.0,399117000.0,,399117000.0,136526000.0,262591000.0,22093189000.0,201244000.0,7191322000.0,69858000.0,1298844000.0,-14069000.0,155488000.0,74203000.0,916218000.0,167004000.0,167004000.0,13331921000.0,4655646000.0,8676275000.0,7041586000.0,1634689000.0
2025-12-31,267836000.0,267836000.0,7831459000.0,9226297000.0,22451782000.0,11687163000.0,9226297000.0,172735000.0,14793058000.0,20730092000.0,14793058000.0,14793058000.0,4973000.0,4973000.0,6221228000.0,8566854000.0,3000.0,3000.0,0.0,14878774000.0,6177492000.0,67723000.0,6109769000.0,172735000.0,5937034000.0,8701282000.0,6174311000.0,1721690000.0,1721690000.0,1721690000.0,805281000.0,425235000.0,380046000.0,196459000.0,65982000.0,65982000.0,117605000.0,29671832000.0,9283387000.0,55514000.0,570819000.0,570819000.0,62233000.0,2621856000.0,2621856000.0,5566761000.0,1397794000.0,4168967000.0,406204000.0,-271509000.0,677713000.0,223389000.0,454324000.0,20388445000.0,149383000.0,6504573000.0,94886000.0,1725537000.0,-3162000.0,133202000.0,63726000.0,1354692000.0,177079000.0,177079000.0,11914066000.0,628614000.0,11285452000.0,,
2026-03-31,263411114.0,263411114.0,7964423000.0,7907201000.0,21256867000.0,10488920000.0,7907201000.0,188129000.0,13480573000.0,19421201000.0,13480573000.0,13480573000.0,-13309000.0,-13309000.0,5827111000.0,7666768000.0,3000.0,3000.0,0.0,15368219000.0,6177329000.0,48572000.0,6128757000.0,188129000.0,5940628000.0,9190890000.0,6628475000.0,1835666000.0,1835666000.0,1835666000.0,726749000.0,409911000.0,316838000.0,140939000.0,63693000.0,63693000.0,112206000.0,28848792000.0,9168982000.0,44136000.0,647664000.0,647664000.0,62807000.0,2433651000.0,2433651000.0,5573372000.0,1364983000.0,4208389000.0,407352000.0,,407352000.0,156231000.0,251121000.0,19679810000.0,137842000.0,6913054000.0,133172000.0,1811360000.0,-4286000.0,119178000.0,70390000.0,1444733000.0,181345000.0,181345000.0,10684382000.0,479360000.0,10205022000.0,,
2026-06-30,263411114.0,263411114.0,6668290000.0,7621306000.0,19563092000.0,10270393000.0,7621306000.0,184863000.0,13079665000.0,19023897000.0,13079665000.0,13079665000.0,-98270000.0,-98270000.0,5467643000.0,7710289000.0,3000.0,3000.0,0.0,13380621000.0,6161707000.0,32612000.0,6129095000.0,184863000.0,5944232000.0,7218914000.0,5956011000.0,539195000.0,539195000.0,539195000.0,723708000.0,456720000.0,266988000.0,141912000.0,53009000.0,53009000.0,72067000.0,26460286000.0,8970979000.0,49351000.0,682446000.0,682446000.0,68140000.0,2308682000.0,2308682000.0,5458359000.0,1318869000.0,4139490000.0,404001000.0,,404001000.0,149879000.0,254122000.0,17489307000.0,140463000.0,6220056000.0,117307000.0,1993562000.0,-6814000.0,168446000.0,88014000.0,1572354000.0,171562000.0,171562000.0,9017919000.0,403854000.0,8614065000.0,,
