date,Free Cash Flow,Repurchase Of Capital Stock,Repayment Of Debt,Issuance Of Debt,Interest Paid Supplemental Data,Income Tax Paid Supplemental Data,End Cash Position,Beginning Cash Position,Effect Of Exchange Rate Changes,Changes In Cash,Financing Cash Flow,Cash Flow From Continuing Financing Activities,Net Other Financing Charges,Proceeds From Stock Option Exercised,Net Common Stock Issuance,Common Stock Payments,Net Issuance Payments Of Debt,Net Short Term Debt Issuance,Short Term Debt Payments,Short Term Debt Issuance,Net Long Term Debt Issuance,Long Term Debt Payments,Long Term Debt Issuance,Investing Cash Flow,Cash Flow From Continuing Investing Activities,Net Other Investing Changes,Net Investment Purchase And Sale,Sale Of Investment,Purchase Of Investment,Net Business Purchase And Sale,Purchase Of Business,Operating Cash Flow,Cash Flow From Continuing Operating Activities,Change In Working Capital,Change In Other Working Capital,Change In Other Current Liabilities,Change In Other Current Assets,Other Non Cash Items,Stock Based Compensation,Unrealized Gain Loss On Investment Securities,Asset Impairment Charge,Deferred Tax,Deferred Income Tax,Depreciation Amortization Depletion,Depreciation And Amortization,Operating Gains Losses,Gain Loss On Investment Securities,Net Income From Continuing Operations
2024-12-31,,,0.0,,35119000.0,-113107000.0,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,-458661000.0,,,,,0.0,18717000.0,,,,,,,
2025-03-31,,0.0,-1026491000.0,,,,,,,,,,,,0.0,0.0,,-831598000.0,-1026491000.0,194893000.0,0.0,,0.0,,,,,,,-16683000.0,-16683000.0,,,,-1126502000.0,-12385000.0,-78696000.0,,,,,,,,,,,
2025-06-30,240078000.0,0.0,-419460000.0,83269000.0,,,14731383000.0,15505557000.0,78190000.0,-852364000.0,-404948000.0,-404948000.0,-110994000.0,42237000.0,0.0,0.0,-336191000.0,-336191000.0,-419460000.0,83269000.0,0.0,,0.0,-687494000.0,-687494000.0,-393579000.0,-310598000.0,64269000.0,-374867000.0,,,240078000.0,240078000.0,1856000.0,90252000.0,87645000.0,39844000.0,-66739000.0,196160000.0,,,454511000.0,454511000.0,33901000.0,33901000.0,-1808511000.0,-1834174000.0,1428900000.0
2025-09-30,-1731540000.0,,,2678973000.0,,16689000.0,14305255000.0,14731383000.0,10023000.0,636863000.0,3207957000.0,3207957000.0,-943896000.0,26929000.0,,,4124924000.0,,,,2957135000.0,,2957135000.0,-839554000.0,-839554000.0,-167275000.0,15355000.0,139855000.0,-124500000.0,,,-1731540000.0,-1731540000.0,-2421621000.0,,,,-41752000.0,222069000.0,,,86527000.0,86527000.0,50078000.0,50078000.0,-59393000.0,-23653000.0,432552000.0
2025-12-31,3065151000.0,,,626428000.0,,16869000.0,16893420000.0,14305255000.0,2982000.0,1512170000.0,-1155814000.0,-1155814000.0,-435296000.0,23913000.0,,,45764000.0,,,,0.0,,0.0,-397167000.0,-397167000.0,-387920000.0,45157000.0,530473000.0,-485316000.0,-54404000.0,-54404000.0,3065151000.0,3065151000.0,2479439000.0,,,,55416000.0,230482000.0,,,-248190000.0,-248190000.0,71116000.0,71116000.0,1143621000.0,1133544000.0,-666733000.0
2026-03-31,182744000.0,-1062234000.0,-101932000.0,393343000.0,,,15934022000.0,16893420000.0,-38171000.0,-921227000.0,-864907000.0,-864907000.0,-112758000.0,18674000.0,-1062234000.0,-1062234000.0,291411000.0,291411000.0,-101932000.0,393343000.0,,,,-239064000.0,-239064000.0,-64387000.0,-152592000.0,147877000.0,-300469000.0,-22085000.0,-22085000.0,182744000.0,182744000.0,-156214000.0,,-130868000.0,-25346000.0,58631000.0,248055000.0,,,-77176000.0,-77176000.0,68006000.0,68006000.0,435559000.0,435559000.0,-394117000.0
2026-06-30,197310000.0,-181254000.0,-2543168000.0,107575000.0,,,13152428000.0,15934022000.0,-9094000.0,-2772500000.0,-2708320000.0,-2708320000.0,-103919000.0,12446000.0,-181254000.0,-181254000.0,-2435593000.0,-1162580000.0,-1270155000.0,107575000.0,,,,-261490000.0,-261490000.0,-205428000.0,-78147000.0,39543000.0,-117690000.0,,,197310000.0,197310000.0,-44872000.0,,54807000.0,-57880000.0,-2942000.0,238341000.0,,,-32699000.0,-32699000.0,64403000.0,64403000.0,334547000.0,267677000.0,-359468000.0
