date,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Average Dilution Earnings,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Special Income Charges,Impairment Of Capital Assets,Restructuring And Mergern Acquisition,Gain On Sale Of Security,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Research And Development,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2024-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,
2025-03-31,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-30,399009073.359459,0.216514,35333000.0,1842876000.0,1842876000.0,1428900000.0,33901000.0,425332000.0,1878209000.0,1844308000.0,-20535000.0,20535000.0,-14966926.640541,1428900000.0,1530560000.0,-24650000.0,278913000.0,255188000.0,5.14,5.6,1432511000.0,3611000.0,1428900000.0,0.0,1428900000.0,1428900000.0,1428900000.0,394873000.0,1823773000.0,1877660000.0,34784000.0,0.0,,0.0,1842876000.0,-20535000.0,20535000.0,-33352000.0,1105228000.0,308025000.0,387322000.0,409881000.0,203926000.0,205955000.0,205955000.0,1071876000.0,425332000.0,1497208000.0,1396513000.0
2025-09-30,8255627.0,0.139,514602000.0,59393000.0,59393000.0,432552000.0,50078000.0,474496000.0,573995000.0,523917000.0,-21774000.0,21774000.0,381414627.0,432552000.0,1423901000.0,480532000.0,291958000.0,262831000.0,1.5,1.65,437095000.0,4543000.0,432552000.0,0.0,432552000.0,432552000.0,432552000.0,69591000.0,502143000.0,79125000.0,19732000.0,,,,59393000.0,-21774000.0,21774000.0,444792000.0,949405000.0,61280000.0,430585000.0,457540000.0,222963000.0,234577000.0,234577000.0,1394197000.0,474496000.0,1868693000.0,1792984000.0
2025-12-31,-283321058.565486,0.24774,351023000.0,-1143621000.0,-1143621000.0,-666733000.0,71116000.0,417864000.0,-792598000.0,-863714000.0,-22593000.0,22593000.0,193566941.434514,-666733000.0,1476595000.0,273753000.0,268267000.0,268267000.0,-2.49,-2.49,-661498000.0,5235000.0,-666733000.0,0.0,-666733000.0,-666733000.0,-666733000.0,-219574000.0,-886307000.0,-1168248000.0,-24627000.0,,,,-1143621000.0,-22593000.0,22593000.0,304534000.0,1058731000.0,-7280000.0,497330000.0,568681000.0,281632000.0,287049000.0,287049000.0,1363265000.0,417864000.0,1781129000.0,1710039000.0
2026-03-31,-71547920.0,0.152,96580000.0,-470710000.0,-470710000.0,-394117000.0,68006000.0,428598000.0,-374130000.0,-442136000.0,-22569000.0,22569000.0,5045080.0,-394117000.0,1399252000.0,-21421000.0,264775000.0,264775000.0,-1.49,-1.49,-394117000.0,,-394117000.0,,-394117000.0,-394117000.0,-394117000.0,-70588000.0,-464705000.0,-455866000.0,14844000.0,,,,-470710000.0,-22569000.0,22569000.0,13730000.0,970654000.0,34925000.0,525648000.0,410081000.0,227348000.0,182733000.0,182733000.0,984384000.0,428598000.0,1412982000.0,1339348000.0
2026-06-30,-31979108.249391,0.0909,43312000.0,-351804000.0,-351804000.0,-359468000.0,64403000.0,391453000.0,-308492000.0,-372895000.0,-22516000.0,22516000.0,-39643108.249391,-359468000.0,1249429000.0,-113488000.0,263412000.0,263412000.0,-1.36,-1.36,-359468000.0,0.0,-359468000.0,,-359468000.0,-359468000.0,-359468000.0,-35943000.0,-395411000.0,-343534000.0,8270000.0,-52408000.0,,52408000.0,-299396000.0,-22516000.0,22516000.0,-29361000.0,857976000.0,-9976000.0,472848000.0,395104000.0,210056000.0,185048000.0,185048000.0,828615000.0,391453000.0,1220068000.0,1154301000.0
