date,Free Cash Flow,Repurchase Of Capital Stock,Repayment Of Debt,Issuance Of Debt,Capital Expenditure,Interest Paid Supplemental Data,Income Tax Paid Supplemental Data,End Cash Position,Beginning Cash Position,Effect Of Exchange Rate Changes,Changes In Cash,Financing Cash Flow,Cash Flow From Continuing Financing Activities,Net Other Financing Charges,Proceeds From Stock Option Exercised,Net Common Stock Issuance,Common Stock Payments,Net Issuance Payments Of Debt,Net Short Term Debt Issuance,Short Term Debt Payments,Short Term Debt Issuance,Net Long Term Debt Issuance,Long Term Debt Payments,Long Term Debt Issuance,Investing Cash Flow,Cash Flow From Continuing Investing Activities,Net Other Investing Changes,Net Investment Purchase And Sale,Sale Of Investment,Purchase Of Investment,Net Business Purchase And Sale,Purchase Of Business,Net Intangibles Purchase And Sale,Purchase Of Intangibles,Net PPE Purchase And Sale,Sale Of PPE,Purchase Of PPE,Capital Expenditure Reported,Operating Cash Flow,Cash Flow From Continuing Operating Activities,Change In Working Capital,Change In Other Working Capital,Change In Other Current Liabilities,Change In Other Current Assets,Change In Payables And Accrued Expense,Change In Payable,Change In Account Payable,Change In Prepaid Assets,Change In Receivables,Changes In Account Receivables,Other Non Cash Items,Stock Based Compensation,Unrealized Gain Loss On Investment Securities,Provisionand Write Offof Assets,Asset Impairment Charge,Deferred Tax,Deferred Income Tax,Depreciation Amortization Depletion,Depreciation And Amortization,Operating Gains Losses,Gain Loss On Investment Securities,Net Foreign Currency Exchange Gain Loss,Gain Loss On Sale Of PPE,Net Income From Continuing Operations
2021-12-31,,,,,-82873000.0,3793000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,-60800000.0,-60800000.0,-2879000.0,31000.0,-2910000.0,-22073000.0,,,,,,,27330000.0,27330000.0,27330000.0,-36527000.0,,,,,-178234000.0,22390000.0,,,,,,,,-14944000.0,1425000.0,
2022-12-31,-1585419000.0,,-191073000.0,190956000.0,-63971000.0,82399000.0,35888000.0,9429646000.0,17680662000.0,-163257000.0,-8087759000.0,-5838518000.0,-5838518000.0,-5914425000.0,76024000.0,,,-117000.0,-117000.0,-191073000.0,190956000.0,0.0,0.0,0.0,-663822000.0,-663822000.0,-46825000.0,-430847000.0,969185000.0,-1400032000.0,-186150000.0,,0.0,0.0,-2850000.0,83000.0,-2933000.0,-61038000.0,-1585419000.0,-1585419000.0,-1031448000.0,-1031448000.0,-110994000.0,-828901000.0,18612000.0,18612000.0,18612000.0,28952000.0,-139117000.0,-141023000.0,-2915000.0,1565823000.0,-36666000.0,-13051000.0,858702000.0,-468035000.0,-468035000.0,154069000.0,154069000.0,38924000.0,10466000.0,28516000.0,-58000.0,-2624949000.0
2023-12-31,673376000.0,0.0,-355655000.0,31640000.0,-63202000.0,76142000.0,0.0,9925812000.0,10288045000.0,8772000.0,-371005000.0,-838205000.0,-838205000.0,-578431000.0,64241000.0,0.0,0.0,-324015000.0,-20482000.0,-52122000.0,31640000.0,-303533000.0,-303533000.0,0.0,-206176000.0,-206176000.0,-346585000.0,171139000.0,469842000.0,-298703000.0,-30730000.0,-30730000.0,0.0,0.0,,,,-63202000.0,673376000.0,673376000.0,48652000.0,-106844000.0,43442000.0,28033000.0,,,,,84021000.0,84021000.0,-11505000.0,780668000.0,-145594000.0,11059000.0,96783000.0,-216334000.0,-216334000.0,139642000.0,139642000.0,-259401000.0,-24368000.0,17190000.0,,94871000.0
2024-12-31,3103935000.0,0.0,-48407000.0,1368591000.0,,68543000.0,140341000.0,15683455000.0,9925812000.0,-48367000.0,5806010000.0,2903078000.0,2903078000.0,1440330000.0,142564000.0,0.0,0.0,1320184000.0,74159000.0,-48407000.0,122566000.0,1246025000.0,0.0,1246025000.0,-201003000.0,-201003000.0,-202832000.0,1829000.0,96926000.0,-95097000.0,0.0,0.0,,,,,,,3103935000.0,3103935000.0,69089000.0,123928000.0,-2835000.0,48564000.0,,,,,-100568000.0,-100568000.0,11336000.0,912838000.0,0.0,,0.0,151315000.0,151315000.0,127518000.0,127518000.0,-747227000.0,-747227000.0,,,2579066000.0
2025-12-31,2426383000.0,-790195000.0,-580664000.0,3583563000.0,,,164868000.0,16893420000.0,15683455000.0,92850000.0,1117115000.0,740282000.0,740282000.0,-1583824000.0,111402000.0,-790195000.0,-790195000.0,3002899000.0,45764000.0,-580664000.0,626428000.0,2957135000.0,0.0,2957135000.0,-2049550000.0,-2049550000.0,-899109000.0,-408403000.0,756844000.0,-1165247000.0,-742038000.0,-742038000.0,,,,,,,2426383000.0,2426383000.0,-31407000.0,-90297000.0,108101000.0,-47228000.0,,,,,-1983000.0,-1983000.0,62246000.0,839440000.0,,,0.0,238308000.0,238308000.0,188428000.0,188428000.0,-130959000.0,-130959000.0,,,1260327000.0
