date,Ordinary Shares Number,Share Issued,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Minority Interest,Stockholders Equity,Gains Losses Not Affecting Retained Earnings,Other Equity Adjustments,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Preferred Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Tradeand Other Payables Non Current,Non Current Deferred Liabilities,Non Current Deferred Revenue,Current Liabilities,Current Deferred Liabilities,Current Deferred Revenue,Pensionand Other Post Retirement Benefit Plans Current,Payables And Accrued Expenses,Current Accrued Expenses,Payables,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Deferred Assets,Non Current Deferred Taxes Assets,Investments And Advances,Investmentin Financial Assets,Available For Sale Securities,Goodwill And Other Intangible Assets,Other Intangible Assets,Goodwill,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Prepaid Assets,Inventory,Finished Goods,Work In Process,Raw Materials,Receivables,Receivables Adjustments Allowances,Other Receivables,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Equivalents,Cash Financial,Other Properties
2024-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1881300000.0,6527900000.0,1631600000.0,1354500000.0,1486300000.0,476400000.0,0.0,,,,,,,,,,,,-30700000.0,1256100000.0,,,,,,1579100000.0
2025-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-24000000.0,,,,,,,,,,
2025-06-30,358418255.0,358418255.0,17479100000.0,17845700000.0,7053300000.0,17479100000.0,17845700000.0,17845700000.0,17953100000.0,107400000.0,17845700000.0,3000000.0,3000000.0,7605500000.0,10236800000.0,400000.0,400000.0,0.0,2210100000.0,517500000.0,195800000.0,249900000.0,71800000.0,71800000.0,1692600000.0,499900000.0,499900000.0,420800000.0,771900000.0,411400000.0,360500000.0,93700000.0,266800000.0,20163200000.0,11417300000.0,789100000.0,1070300000.0,1070300000.0,4206000000.0,4206000000.0,4206000000.0,366600000.0,17900000.0,348700000.0,4985300000.0,,,,,,,,8745900000.0,358200000.0,,1667000000.0,910800000.0,230800000.0,525400000.0,1394200000.0,-22900000.0,285100000.0,1132000000.0,,,5326500000.0,1923400000.0,3403100000.0,2875100000.0,528000000.0,
2025-09-30,354900000.0,354900000.0,16567100000.0,16929700000.0,6722100000.0,16567100000.0,16929700000.0,16929700000.0,17042100000.0,112400000.0,16929700000.0,26500000.0,26500000.0,6424000000.0,10478800000.0,400000.0,400000.0,0.0,2309700000.0,506500000.0,195900000.0,231200000.0,79400000.0,79400000.0,1803200000.0,491100000.0,491100000.0,455500000.0,856600000.0,437300000.0,419300000.0,128100000.0,291200000.0,19351800000.0,10826500000.0,810400000.0,978900000.0,978900000.0,3523700000.0,3523700000.0,3523700000.0,362600000.0,14500000.0,348100000.0,5150900000.0,,,,,,,,8525300000.0,282700000.0,168000000.0,1781900000.0,1025500000.0,225200000.0,531200000.0,1383900000.0,-24900000.0,288800000.0,1120000000.0,,,4908800000.0,2102200000.0,2806600000.0,2233900000.0,572700000.0,
2025-12-31,355100000.0,355100000.0,17442600000.0,17824000000.0,7773300000.0,17442600000.0,17824000000.0,17824000000.0,17941700000.0,117700000.0,17824000000.0,43300000.0,43300000.0,7011800000.0,10768500000.0,400000.0,400000.0,0.0,2517000000.0,510800000.0,225800000.0,193600000.0,91400000.0,91400000.0,2006200000.0,506700000.0,506700000.0,648400000.0,851100000.0,470600000.0,380500000.0,125400000.0,255100000.0,20458700000.0,10679200000.0,837600000.0,1018600000.0,1018600000.0,3099200000.0,3099200000.0,3099200000.0,381400000.0,11100000.0,370300000.0,5342400000.0,-2276500000.0,7618900000.0,638100000.0,1570600000.0,2833900000.0,479700000.0,0.0,9779500000.0,376400000.0,,1840000000.0,991000000.0,287900000.0,561100000.0,1628200000.0,,100900000.0,1527300000.0,-29900000.0,1557200000.0,5934900000.0,2566900000.0,3368000000.0,2853100000.0,514900000.0,2096600000.0
2026-03-31,354400000.0,354400000.0,16693800000.0,17474500000.0,6898500000.0,16693800000.0,17474500000.0,17474500000.0,17597200000.0,122700000.0,17474500000.0,16500000.0,16500000.0,6397700000.0,11059900000.0,400000.0,400000.0,0.0,2513800000.0,602800000.0,278500000.0,220300000.0,104000000.0,104000000.0,1911000000.0,559500000.0,559500000.0,370700000.0,980800000.0,492200000.0,488600000.0,155700000.0,332900000.0,20111000000.0,11301500000.0,927200000.0,683800000.0,683800000.0,3461900000.0,3461900000.0,3461900000.0,780700000.0,167500000.0,613200000.0,5447900000.0,,,,,,,,8809500000.0,337200000.0,298800000.0,1945100000.0,1046800000.0,306900000.0,591400000.0,1711100000.0,-32700000.0,352700000.0,1391100000.0,,,4517300000.0,2510800000.0,2006500000.0,1206900000.0,799600000.0,
2026-06-30,353900000.0,353900000.0,17389800000.0,18168400000.0,7619800000.0,17389800000.0,18168400000.0,18168400000.0,18297700000.0,129300000.0,18168400000.0,5800000.0,5800000.0,6837200000.0,11325000000.0,400000.0,400000.0,0.0,2578900000.0,656000000.0,301100000.0,242300000.0,112600000.0,112600000.0,1922900000.0,549400000.0,549400000.0,425700000.0,947800000.0,505300000.0,442500000.0,165300000.0,277200000.0,20876600000.0,11333900000.0,942100000.0,652400000.0,652400000.0,3409300000.0,3409300000.0,3409300000.0,778600000.0,198000000.0,580600000.0,5551500000.0,,,,,,,,9542700000.0,343700000.0,179400000.0,2028700000.0,1088200000.0,332300000.0,608200000.0,1774700000.0,-28900000.0,370200000.0,1433400000.0,,,5216200000.0,2455800000.0,2760400000.0,2159400000.0,601000000.0,
