date,Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Minority Interest,Stockholders Equity,Gains Losses Not Affecting Retained Earnings,Other Equity Adjustments,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Preferred Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Preferred Securities Outside Stock Equity,Current Liabilities,Other Current Liabilities,Current Debt And Capital Lease Obligation,Current Debt,Other Current Borrowings,Payables And Accrued Expenses,Payables,Other Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Non Current Deferred Assets,Investments And Advances,Investmentin Financial Assets,Held To Maturity Securities,Goodwill And Other Intangible Assets,Other Intangible Assets,Goodwill,Net PPE,Accumulated Depreciation,Gross PPE,Leases,Construction In Progress,Other Properties,Machinery Furniture Equipment,Properties,Current Assets,Other Current Assets,Current Deferred Assets,Restricted Cash,Prepaid Assets,Receivables,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Equivalents,Cash Financial
2021-12-31,,,,,,,,,,,,,,1000000.0,1000000.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,64313000.0,,,,,,,,,,-40216000.0,,,,,4003552000.0,2249925000.0
2022-12-31,892751571.0,892751571.0,,1834000000.0,6831000000.0,8790000000.0,6664000000.0,6831000000.0,6956000000.0,6956000000.0,6956000000.0,,6956000000.0,0.0,,-4905000000.0,11861000000.0,0.0,0.0,0.0,16381000000.0,128000000.0,128000000.0,,16253000000.0,9533000000.0,1834000000.0,1834000000.0,1834000000.0,4886000000.0,4886000000.0,4701000000.0,185000000.0,23337000000.0,420000000.0,132000000.0,17000000.0,,0.0,0.0,0.0,125000000.0,25000000.0,100000000.0,146000000.0,-81000000.0,227000000.0,52000000.0,23000000.0,,152000000.0,0.0,22917000000.0,8503000000.0,,3181000000.0,86000000.0,3294000000.0,3294000000.0,,3294000000.0,7853000000.0,1514000000.0,6339000000.0,,
2023-12-31,872162664.0,872162664.0,,3547000000.0,6473000000.0,10243000000.0,6245000000.0,6473000000.0,6696000000.0,6696000000.0,6696000000.0,,6696000000.0,-3000000.0,-3000000.0,-5446000000.0,12145000000.0,0.0,0.0,0.0,10928000000.0,91000000.0,91000000.0,,10837000000.0,1809000000.0,3547000000.0,3547000000.0,3547000000.0,5481000000.0,5481000000.0,5097000000.0,384000000.0,17624000000.0,542000000.0,103000000.0,4000000.0,19000000.0,73000000.0,73000000.0,73000000.0,223000000.0,48000000.0,175000000.0,120000000.0,-111000000.0,231000000.0,39000000.0,30000000.0,,162000000.0,0.0,17082000000.0,196000000.0,11000000.0,4786000000.0,63000000.0,3584000000.0,3584000000.0,-15000000.0,3599000000.0,8442000000.0,3607000000.0,4835000000.0,,
2024-12-31,884492983.0,884492983.0,3131000000.0,7463000000.0,7755000000.0,15435000000.0,6999000000.0,7755000000.0,7972000000.0,7972000000.0,7972000000.0,0.0,7972000000.0,-1000000.0,-1000000.0,-4035000000.0,12008000000.0,0.0,0.0,0.0,18215000000.0,111000000.0,111000000.0,,18104000000.0,2796000000.0,7463000000.0,7463000000.0,7463000000.0,7845000000.0,7845000000.0,7448000000.0,397000000.0,26187000000.0,1084000000.0,516000000.0,17000000.0,195000000.0,0.0,0.0,0.0,217000000.0,38000000.0,179000000.0,139000000.0,-154000000.0,293000000.0,42000000.0,39000000.0,,212000000.0,0.0,25103000000.0,509000000.0,100000000.0,5213000000.0,75000000.0,8710000000.0,8710000000.0,-14000000.0,8724000000.0,10496000000.0,6164000000.0,4332000000.0,,
2025-12-31,901328432.0,901328432.0,7365000000.0,11626000000.0,8587000000.0,20766000000.0,7534000000.0,8587000000.0,9140000000.0,9140000000.0,9151000000.0,11000000.0,9140000000.0,8000000.0,8000000.0,-2152000000.0,11284000000.0,0.0,0.0,0.0,28986000000.0,215000000.0,215000000.0,,28771000000.0,4696000000.0,11626000000.0,11626000000.0,11626000000.0,12449000000.0,12449000000.0,11986000000.0,463000000.0,38137000000.0,1832000000.0,686000000.0,11000000.0,428000000.0,,,,553000000.0,168000000.0,385000000.0,154000000.0,-214000000.0,368000000.0,48000000.0,40000000.0,,280000000.0,0.0,36305000000.0,671000000.0,185000000.0,6451000000.0,127000000.0,18420000000.0,18420000000.0,-16000000.0,18436000000.0,10451000000.0,6190000000.0,4261000000.0,,
