date,Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Minority Interest,Stockholders Equity,Gains Losses Not Affecting Retained Earnings,Other Equity Adjustments,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Preferred Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Debt,Current Liabilities,Other Current Liabilities,Current Debt And Capital Lease Obligation,Current Debt,Other Current Borrowings,Payables And Accrued Expenses,Payables,Other Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Non Current Deferred Assets,Investments And Advances,Investmentin Financial Assets,Held To Maturity Securities,Goodwill And Other Intangible Assets,Other Intangible Assets,Goodwill,Net PPE,Accumulated Depreciation,Gross PPE,Leases,Construction In Progress,Machinery Furniture Equipment,Properties,Current Assets,Other Current Assets,Current Deferred Assets,Restricted Cash,Prepaid Assets,Receivables,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents
2024-12-31,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,-154000000.0,293000000.0,42000000.0,39000000.0,212000000.0,0.0,,,,,,,,,,,,
2025-06-30,888217555.0,888217555.0,8478000000.0,12640000000.0,7498000000.0,20712000000.0,6711000000.0,7498000000.0,8072000000.0,8072000000.0,8072000000.0,,8072000000.0,7000000.0,7000000.0,-3313000000.0,11378000000.0,0.0,0.0,0.0,27252000000.0,130000000.0,130000000.0,,,27122000000.0,3602000000.0,12640000000.0,12640000000.0,12640000000.0,10880000000.0,10880000000.0,10511000000.0,369000000.0,35324000000.0,1491000000.0,486000000.0,15000000.0,267000000.0,,,,574000000.0,191000000.0,383000000.0,149000000.0,,,,,,,33833000000.0,345000000.0,124000000.0,9659000000.0,108000000.0,10059000000.0,10059000000.0,-20000000.0,10079000000.0,13538000000.0,9376000000.0,4162000000.0
2025-09-30,898668362.0,898668362.0,11335000000.0,15666000000.0,8009000000.0,24233000000.0,7217000000.0,8009000000.0,8567000000.0,8567000000.0,8567000000.0,,8567000000.0,7000000.0,7000000.0,-2757000000.0,11317000000.0,0.0,0.0,0.0,32885000000.0,123000000.0,123000000.0,,,32762000000.0,4380000000.0,15666000000.0,15666000000.0,15666000000.0,12716000000.0,12716000000.0,12317000000.0,399000000.0,41452000000.0,1473000000.0,392000000.0,13000000.0,360000000.0,,,,558000000.0,172000000.0,386000000.0,150000000.0,,,,,,,39979000000.0,326000000.0,161000000.0,9883000000.0,128000000.0,14872000000.0,14872000000.0,-18000000.0,14890000000.0,14609000000.0,10278000000.0,4331000000.0
2025-12-31,901328432.0,901328432.0,7365000000.0,11626000000.0,8587000000.0,20766000000.0,7534000000.0,8587000000.0,9140000000.0,9140000000.0,9151000000.0,11000000.0,9140000000.0,8000000.0,8000000.0,-2152000000.0,11284000000.0,0.0,0.0,0.0,28986000000.0,215000000.0,215000000.0,,,28771000000.0,4696000000.0,11626000000.0,11626000000.0,11626000000.0,12449000000.0,12449000000.0,11986000000.0,463000000.0,38137000000.0,1832000000.0,686000000.0,11000000.0,428000000.0,,,,553000000.0,168000000.0,385000000.0,154000000.0,-214000000.0,368000000.0,48000000.0,40000000.0,280000000.0,0.0,36305000000.0,671000000.0,185000000.0,6451000000.0,127000000.0,18420000000.0,18420000000.0,-16000000.0,18436000000.0,10451000000.0,6190000000.0,4261000000.0
2026-03-31,901218559.0,901218559.0,8375000000.0,13387000000.0,8715000000.0,22706000000.0,7859000000.0,8715000000.0,9319000000.0,9319000000.0,9688000000.0,369000000.0,9319000000.0,2000000.0,2000000.0,-1802000000.0,11119000000.0,0.0,0.0,0.0,35786000000.0,232000000.0,232000000.0,,,35554000000.0,4865000000.0,13387000000.0,13387000000.0,13387000000.0,17302000000.0,17302000000.0,16780000000.0,522000000.0,45474000000.0,2061000000.0,762000000.0,11000000.0,522000000.0,,,,604000000.0,203000000.0,401000000.0,162000000.0,,,,,,,43413000000.0,671000000.0,207000000.0,11568000000.0,182000000.0,18599000000.0,18599000000.0,-15000000.0,18614000000.0,12186000000.0,7174000000.0,5012000000.0
2026-06-30,899000000.0,899000000.0,17344000000.0,22706000000.0,8718000000.0,32186000000.0,9956000000.0,8718000000.0,9480000000.0,11650000000.0,9541000000.0,61000000.0,9480000000.0,-10000000.0,-10000000.0,-1241000000.0,10731000000.0,0.0,0.0,0.0,47009000000.0,2433000000.0,263000000.0,2170000000.0,2170000000.0,44576000000.0,6151000000.0,20536000000.0,20536000000.0,20536000000.0,17889000000.0,17889000000.0,17243000000.0,646000000.0,56550000000.0,2018000000.0,489000000.0,11000000.0,579000000.0,,,,762000000.0,246000000.0,516000000.0,177000000.0,,,,,,,54532000000.0,1220000000.0,220000000.0,13263000000.0,196000000.0,23471000000.0,23471000000.0,-10000000.0,23481000000.0,16162000000.0,10800000000.0,5362000000.0
