date,open,high,low,close,volume,average,barCount
2024-07-30,66.05,66.05,66.05,66.05,0.0,66.05,0
2024-07-31,66.84,66.93,66.84,66.93,28.0,66.898,7
2024-08-01,67.47,67.47,66.37,66.37,22.0,67.434,6
2024-08-02,65.48,65.48,65.0,65.0,6.0,65.28,6
2024-08-05,65.2,65.2,65.2,65.2,0.0,65.2,0
2024-08-06,65.01,65.01,64.84,64.84,3.0,65.01,3
2024-08-07,65.5,65.5,65.5,65.5,0.0,65.5,0
2024-08-08,66.07,66.07,66.07,66.07,0.0,66.07,0
2024-08-09,66.3,66.34,66.3,66.34,1.0,66.3,1
2024-08-12,66.9,67.55,66.9,67.55,9.0,67.11,9
2024-08-13,67.38,67.38,66.7,66.78,48.0,66.819,13
2024-08-14,66.53,66.59,66.52,66.59,55.0,66.528,16
2024-08-15,67.09,67.09,67.06,67.06,4.0,67.09,4
2024-08-16,66.45,66.47,66.45,66.47,4.0,66.45,4
2024-08-19,65.98,65.98,65.85,65.85,3.0,65.98,3
2024-08-20,65.81,65.9,65.34,65.34,38.0,65.737,34
2024-08-21,65.51,65.62,64.81,64.93,298.0,64.922,260
2024-08-22,65.08,65.59,65.07,65.29,324.0,65.343,307
2024-08-23,65.8,66.21,65.71,66.11,137.0,65.88,128
2024-08-26,66.81,66.81,66.81,66.81,0.0,66.81,0
2024-08-27,66.36,66.36,66.31,66.31,3.0,66.36,1
2024-08-28,65.95,66.07,65.59,65.77,253.0,65.91,249
2024-08-29,66.31,66.46,66.09,66.42,250.0,66.254,236
2024-08-30,65.68,65.69,65.56,65.56,6.0,65.66,6
2024-09-03,64.63,64.72,64.43,64.52,1733.0,64.512,1546
2024-09-04,64.49,64.9,64.42,64.49,750.0,64.477,579
2024-09-05,64.77,65.27,64.77,64.84,199.0,64.975,169
2024-09-06,65.0,65.07,64.36,64.41,2056.0,64.467,1500
2024-09-09,64.49,64.67,64.32,64.47,62.0,64.437,52
2024-09-10,64.25,64.25,63.0,63.0,6.0,64.052,6
2024-09-11,63.8,63.8,63.18,63.76,314.0,63.303,241
2024-09-12,64.13,64.83,64.05,64.53,593.0,64.41,545
2024-09-13,64.6,64.88,64.09,64.11,234.0,64.452,223
2024-09-16,64.82,65.01,64.6,64.74,125.0,64.873,117
2024-09-17,65.08,65.57,65.07,65.24,197.0,65.272,179
2024-09-18,65.0,65.29,65.0,65.21,10.0,65.085,9
2024-09-19,65.43,65.79,65.43,65.49,16.0,65.647,14
2024-09-20,65.33,65.81,65.2,65.47,544.0,65.629,495
2024-09-23,65.63,65.63,64.95,65.51,7.0,65.317,7
2024-09-24,66.2,66.22,66.1,66.22,5.0,66.14,4
2024-09-25,65.86,65.96,65.55,65.66,4.0,65.778,4
2024-09-26,65.35,65.5,65.24,65.24,12.0,65.488,12
2024-09-27,65.23,65.69,65.1,65.32,48.0,65.296,24
2024-09-30,65.62,65.62,65.52,65.52,1.0,65.62,1
2024-10-01,65.7,67.14,65.58,66.43,24.0,66.756,22
2024-10-02,66.81,66.81,66.25,66.32,37.0,66.615,23
2024-10-03,67.38,68.13,67.38,67.98,12.0,67.764,12
2024-10-04,67.84,67.87,67.52,67.62,26.0,67.624,15
2024-10-07,68.09,68.9,68.09,68.9,49.0,68.696,30
2024-10-08,68.21,68.21,67.51,67.63,42.0,67.638,31
2024-10-09,66.88,67.17,66.88,67.17,3.0,66.94,3
2024-10-10,67.7,67.99,67.7,67.91,174.0,67.804,132
2024-10-11,67.92,67.93,67.8,67.93,82.0,67.804,19
2024-10-14,67.34,67.59,67.15,67.59,3.0,67.29,3
2024-10-15,65.92,65.92,65.86,65.86,5.0,65.92,5
2024-10-16,65.38,65.39,65.38,65.39,1.0,65.38,1
2024-10-17,65.59,65.6,65.01,65.53,22.0,65.302,19
2024-10-18,65.15,65.15,64.94,64.95,45.0,65.094,28
2024-10-21,65.56,65.6,65.37,65.6,55.0,65.406,36
2024-10-22,66.4,66.7,66.23,66.48,74.0,66.417,57
2024-10-23,66.08,66.1,65.67,65.7,96.0,65.947,59
2024-10-24,66.38,66.38,65.46,65.67,5.0,65.75,5
2024-10-25,66.43,66.43,66.43,66.43,2.0,66.43,2
2024-10-28,64.06,64.37,64.03,64.06,22.0,64.096,9
2024-10-29,64.24,64.24,63.97,64.08,12.0,64.086,12
2024-10-30,64.69,65.09,64.69,64.82,456.0,64.889,160
2024-10-31,64.96,65.36,64.7,64.75,89.0,65.171,81
2024-11-01,65.66,65.66,64.92,65.06,508.0,65.175,350
2024-11-04,65.84,65.84,65.04,65.41,141.0,65.312,84
2024-11-05,65.67,65.85,65.45,65.45,16.0,65.727,9
2024-11-06,64.59,65.65,64.59,65.55,23.0,65.408,8
2024-11-07,65.71,66.24,65.5,66.05,88.0,66.097,58
2024-11-08,65.44,65.44,65.44,65.44,0.0,65.44,0
2024-11-11,65.07,65.07,64.51,64.62,10.0,64.612,8
2024-11-13,64.49,64.49,64.49,64.49,1.0,64.49,1
2024-11-14,64.34,64.34,64.01,64.1,2.0,64.175,2
2024-11-15,63.38,63.38,63.38,63.38,0.0,63.38,0
2024-11-18,63.89,64.9,63.89,64.85,15.0,64.083,9
2024-11-19,64.66,65.27,64.66,65.27,4.0,64.66,4
2024-11-20,65.24,65.24,64.93,64.93,1.0,65.24,1
2024-11-21,65.27,65.27,65.05,65.06,116.0,65.083,73
2024-11-22,65.23,65.54,65.22,65.48,20.0,65.325,18
2024-11-25,64.24,64.28,64.09,64.28,34.0,64.226,31
2024-11-26,64.87,65.04,64.21,64.56,817.0,64.64,787
2024-11-27,64.61,64.61,63.94,64.31,17.0,64.378,15
2024-11-29,64.17,64.17,64.17,64.17,2.0,64.17,2
2024-12-02,64.14,64.3,63.85,63.86,11.0,64.191,10
2024-12-03,64.4,64.7,64.4,64.7,7.0,64.4,7
2024-12-04,64.37,64.37,63.7,63.7,5.0,64.222,5
2024-12-05,63.83,63.83,63.58,63.58,1.0,63.83,1
2024-12-06,63.43,63.43,63.19,63.39,22.0,63.219,6
2024-12-09,64.29,64.29,64.23,64.23,1.0,64.29,1
2024-12-10,64.03,64.18,64.02,64.18,130.0,64.109,103
