date,Free Cash Flow,Repurchase Of Capital Stock,Repayment Of Debt,Issuance Of Debt,Issuance Of Capital Stock,Capital Expenditure,End Cash Position,Beginning Cash Position,Effect Of Exchange Rate Changes,Changes In Cash,Financing Cash Flow,Cash Flow From Continuing Financing Activities,Net Other Financing Charges,Proceeds From Stock Option Exercised,Cash Dividends Paid,Common Stock Dividend Paid,Net Common Stock Issuance,Common Stock Payments,Common Stock Issuance,Net Issuance Payments Of Debt,Net Short Term Debt Issuance,Short Term Debt Payments,Short Term Debt Issuance,Net Long Term Debt Issuance,Long Term Debt Payments,Long Term Debt Issuance,Investing Cash Flow,Cash Flow From Continuing Investing Activities,Net Other Investing Changes,Net Investment Purchase And Sale,Sale Of Investment,Purchase Of Investment,Net Business Purchase And Sale,Purchase Of Business,Net Intangibles Purchase And Sale,Purchase Of Intangibles,Net PPE Purchase And Sale,Purchase Of PPE,Operating Cash Flow,Cash Flow From Continuing Operating Activities,Change In Working Capital,Change In Other Current Liabilities,Change In Other Current Assets,Change In Payables And Accrued Expense,Change In Inventory,Change In Receivables,Changes In Account Receivables,Other Non Cash Items,Stock Based Compensation,Provisionand Write Offof Assets,Asset Impairment Charge,Deferred Tax,Deferred Income Tax,Depreciation Amortization Depletion,Depreciation And Amortization,Operating Gains Losses,Gain Loss On Sale Of Business,Net Income From Continuing Operations
2024-12-31,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,-1000000.0,-1000000.0,,,,,,,,,,,,,,,,,,,,,,,-226000000.0,
2025-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-30,2480000000.0,0.0,-2941000000.0,565000000.0,,-1398000000.0,18577000000.0,38474000000.0,154000000.0,-20051000000.0,-5665000000.0,-5665000000.0,-267000000.0,107000000.0,-3129000000.0,-3129000000.0,0.0,0.0,,-2376000000.0,-2373000000.0,-2938000000.0,565000000.0,-3000000.0,-3000000.0,0.0,-18264000000.0,-18264000000.0,-279000000.0,-2129000000.0,735000000.0,-2864000000.0,-14458000000.0,-14458000000.0,-355000000.0,-355000000.0,-1043000000.0,-1043000000.0,3878000000.0,3878000000.0,-4921000000.0,583000000.0,-4877000000.0,1240000000.0,-510000000.0,-1357000000.0,-1357000000.0,76000000.0,410000000.0,7000000.0,0.0,825000000.0,825000000.0,1943000000.0,1943000000.0,1000000.0,,5537000000.0
2025-09-30,7996000000.0,-1902000000.0,-6467000000.0,1324000000.0,,-1173000000.0,18231000000.0,18577000000.0,-46000000.0,-300000000.0,-8927000000.0,-8927000000.0,-24000000.0,1274000000.0,-3132000000.0,-3132000000.0,-1902000000.0,-1902000000.0,,-5143000000.0,-4142000000.0,-5466000000.0,1324000000.0,-1001000000.0,-1001000000.0,0.0,-542000000.0,-542000000.0,43000000.0,589000000.0,489000000.0,100000000.0,-1000000.0,-1000000.0,-16000000.0,-16000000.0,-1157000000.0,-1157000000.0,9169000000.0,9169000000.0,-369000000.0,-270000000.0,-1459000000.0,1997000000.0,-748000000.0,111000000.0,111000000.0,17000000.0,347000000.0,-9000000.0,93000000.0,2218000000.0,2218000000.0,1777000000.0,1777000000.0,-57000000.0,,5152000000.0
2025-12-31,5472000000.0,-1924000000.0,-1808000000.0,3913000000.0,,-1837000000.0,19709000000.0,18231000000.0,23000000.0,1455000000.0,-1369000000.0,-1369000000.0,-6000000.0,1587000000.0,-3131000000.0,-3131000000.0,-1924000000.0,-1924000000.0,,2105000000.0,2107000000.0,-1806000000.0,3913000000.0,-2000000.0,-2000000.0,0.0,-4485000000.0,-4485000000.0,-1880000000.0,2314000000.0,219000000.0,2095000000.0,-3082000000.0,-3082000000.0,0.0,0.0,-1837000000.0,-1837000000.0,7309000000.0,7309000000.0,3596000000.0,499000000.0,1486000000.0,1266000000.0,-46000000.0,391000000.0,391000000.0,0.0,309000000.0,5000000.0,81000000.0,-3677000000.0,-3677000000.0,2011000000.0,2011000000.0,-132000000.0,,5116000000.0
2026-03-31,1465000000.0,-4028000000.0,-5225000000.0,12439000000.0,,-1049000000.0,21688000000.0,19709000000.0,-25000000.0,2004000000.0,530000000.0,530000000.0,-697000000.0,1172000000.0,-3131000000.0,-3131000000.0,-4028000000.0,-4028000000.0,,7214000000.0,9216000000.0,-3223000000.0,12439000000.0,-2002000000.0,-2002000000.0,0.0,-1040000000.0,-1040000000.0,-56000000.0,65000000.0,209000000.0,-144000000.0,,,0.0,0.0,-1049000000.0,-1049000000.0,2514000000.0,2514000000.0,-5226000000.0,-629000000.0,349000000.0,-3920000000.0,-431000000.0,-595000000.0,-595000000.0,2000000.0,300000000.0,-8000000.0,36000000.0,159000000.0,159000000.0,2004000000.0,2004000000.0,12000000.0,,5235000000.0
2026-06-30,7295000000.0,-221000000.0,-6455000000.0,707000000.0,,-1321000000.0,20422000000.0,21688000000.0,5000000.0,-1271000000.0,-8777000000.0,-8777000000.0,60000000.0,359000000.0,-3227000000.0,-3227000000.0,-221000000.0,-221000000.0,,-5748000000.0,-5747000000.0,-6454000000.0,707000000.0,-1000000.0,-1000000.0,0.0,-1110000000.0,-1110000000.0,-45000000.0,519000000.0,674000000.0,-155000000.0,,,0.0,0.0,-1321000000.0,-1321000000.0,8616000000.0,8616000000.0,1019000000.0,-972000000.0,950000000.0,2964000000.0,-571000000.0,-1352000000.0,-1352000000.0,0.0,458000000.0,-4000000.0,184000000.0,-479000000.0,-479000000.0,1959000000.0,1959000000.0,-55000000.0,,5534000000.0
