date,Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Minority Interest,Stockholders Equity,Gains Losses Not Affecting Retained Earnings,Other Equity Adjustments,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Preferred Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Non Current Deferred Liabilities,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Debt,Current Liabilities,Other Current Liabilities,Current Deferred Liabilities,Current Deferred Revenue,Current Debt And Capital Lease Obligation,Current Debt,Payables And Accrued Expenses,Payables,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Investments And Advances,Goodwill And Other Intangible Assets,Other Intangible Assets,Goodwill,Net PPE,Accumulated Depreciation,Gross PPE,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Receivables,Other Receivables,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents
2024-12-31,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6971000000.0,17524000000.0,12945000000.0,4215000000.0,364000000.0,0.0,,,,,,-985000000.0,23350000000.0,,,
2025-03-31,910000000.0,910000000.0,50554000000.0,81271000000.0,-35475000000.0,176309000000.0,-17186000000.0,-35475000000.0,95038000000.0,166323000000.0,105169000000.0,10131000000.0,95038000000.0,-2905000000.0,-2905000000.0,97934000000.0,,9000000.0,9000000.0,0.0,204621000000.0,91150000000.0,15963000000.0,3902000000.0,3902000000.0,71285000000.0,71285000000.0,113471000000.0,29487000000.0,3296000000.0,3296000000.0,9986000000.0,9986000000.0,70702000000.0,70702000000.0,70702000000.0,309790000000.0,213505000000.0,20395000000.0,51863000000.0,130513000000.0,22947000000.0,107566000000.0,10734000000.0,,,,,,,96285000000.0,9036000000.0,52958000000.0,26022000000.0,26936000000.0,,,34291000000.0,3574000000.0,30717000000.0
2025-06-30,905000000.0,905000000.0,50597000000.0,79193000000.0,-35463000000.0,173917000000.0,-17082000000.0,-35463000000.0,94724000000.0,168219000000.0,104784000000.0,10060000000.0,94724000000.0,-2535000000.0,-2535000000.0,97250000000.0,,9000000.0,9000000.0,0.0,203789000000.0,93008000000.0,15709000000.0,3804000000.0,3804000000.0,73495000000.0,73495000000.0,110781000000.0,29294000000.0,3032000000.0,3032000000.0,5698000000.0,5698000000.0,72757000000.0,72757000000.0,72757000000.0,308573000000.0,214874000000.0,21298000000.0,52466000000.0,130187000000.0,22510000000.0,107677000000.0,10923000000.0,,,,,,,93699000000.0,8955000000.0,52724000000.0,28582000000.0,24142000000.0,,,32020000000.0,3424000000.0,28596000000.0
2025-09-30,905673625.0,905673625.0,52926000000.0,80136000000.0,-37338000000.0,175923000000.0,-20459000000.0,-37338000000.0,95787000000.0,168186000000.0,105813000000.0,10026000000.0,95787000000.0,-2211000000.0,-2211000000.0,97595000000.0,394000000.0,9000000.0,9000000.0,0.0,209456000000.0,93930000000.0,18369000000.0,3162000000.0,3162000000.0,72399000000.0,72399000000.0,115526000000.0,28209000000.0,3366000000.0,3366000000.0,7737000000.0,7737000000.0,76214000000.0,76214000000.0,76214000000.0,315269000000.0,220202000000.0,22977000000.0,52996000000.0,133125000000.0,22785000000.0,110340000000.0,11104000000.0,,,,,,,95067000000.0,9019000000.0,55434000000.0,32762000000.0,22672000000.0,,,30614000000.0,3404000000.0,27210000000.0
2025-12-31,905838620.0,905838620.0,54024000000.0,78389000000.0,-36863000000.0,172499000000.0,-24315000000.0,-36863000000.0,94110000000.0,166430000000.0,101698000000.0,7588000000.0,94110000000.0,-2061000000.0,-2061000000.0,95603000000.0,559000000.0,9000000.0,9000000.0,0.0,207883000000.0,92986000000.0,18245000000.0,2421000000.0,2421000000.0,72320000000.0,72320000000.0,114897000000.0,28046000000.0,3413000000.0,3413000000.0,6069000000.0,6069000000.0,77369000000.0,77369000000.0,77369000000.0,309581000000.0,218999000000.0,23013000000.0,54251000000.0,130973000000.0,20474000000.0,110499000000.0,10762000000.0,-7546000000.0,18308000000.0,13834000000.0,4087000000.0,387000000.0,0.0,90582000000.0,9746000000.0,52715000000.0,29697000000.0,23018000000.0,-1208000000.0,24226000000.0,28121000000.0,3756000000.0,24365000000.0
2026-03-31,907675839.0,907675839.0,49916000000.0,77917000000.0,-32724000000.0,175798000000.0,-22997000000.0,-32724000000.0,97881000000.0,169321000000.0,105319000000.0,7438000000.0,97881000000.0,-2562000000.0,-2562000000.0,99878000000.0,556000000.0,9000000.0,9000000.0,0.0,207325000000.0,93201000000.0,18897000000.0,2864000000.0,2864000000.0,71440000000.0,71440000000.0,114124000000.0,25938000000.0,3419000000.0,3419000000.0,6477000000.0,6477000000.0,78290000000.0,78290000000.0,78290000000.0,312644000000.0,221517000000.0,23457000000.0,56788000000.0,130605000000.0,20093000000.0,110512000000.0,10667000000.0,,,,,,,91127000000.0,8723000000.0,51175000000.0,24588000000.0,26587000000.0,,,31229000000.0,3228000000.0,28001000000.0
2026-06-30,905000000.0,905000000.0,44743000000.0,73328000000.0,-31947000000.0,171775000000.0,-24960000000.0,-31947000000.0,98447000000.0,167948000000.0,105949000000.0,7502000000.0,98447000000.0,-2519000000.0,-2519000000.0,100957000000.0,0.0,9000000.0,9000000.0,0.0,203778000000.0,91958000000.0,19735000000.0,2722000000.0,2722000000.0,69501000000.0,69501000000.0,111820000000.0,26336000000.0,2986000000.0,2986000000.0,3827000000.0,3827000000.0,78671000000.0,78671000000.0,78671000000.0,309727000000.0,222867000000.0,23995000000.0,57716000000.0,130394000000.0,19749000000.0,110645000000.0,10762000000.0,,,,,,,86860000000.0,9097000000.0,46295000000.0,24722000000.0,21573000000.0,,,31468000000.0,2883000000.0,28585000000.0
