date,Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Minority Interest,Stockholders Equity,Gains Losses Not Affecting Retained Earnings,Other Equity Adjustments,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Preferred Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Non Current Deferred Liabilities,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Debt,Current Liabilities,Other Current Liabilities,Current Deferred Liabilities,Current Deferred Revenue,Current Debt And Capital Lease Obligation,Current Debt,Payables And Accrued Expenses,Payables,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Investments And Advances,Goodwill And Other Intangible Assets,Other Intangible Assets,Goodwill,Net PPE,Accumulated Depreciation,Gross PPE,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Prepaid Assets,Receivables,Other Receivables,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents
2021-12-31,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5320000000.0,,,,,,,,
2022-12-31,934000000.0,934000000.0,34258000000.0,57623000000.0,-29981000000.0,135395000000.0,-20168000000.0,-29981000000.0,77772000000.0,132285000000.0,86347000000.0,8575000000.0,77772000000.0,-8393000000.0,-8393000000.0,86156000000.0,,9000000.0,9000000.0,0.0,159358000000.0,70121000000.0,12839000000.0,2769000000.0,2769000000.0,54513000000.0,54513000000.0,89237000000.0,26281000000.0,3075000000.0,3075000000.0,3110000000.0,3110000000.0,56771000000.0,56771000000.0,56771000000.0,245705000000.0,176636000000.0,15027000000.0,43728000000.0,107753000000.0,14401000000.0,93352000000.0,10128000000.0,-6930000000.0,17058000000.0,10842000000.0,5519000000.0,697000000.0,0.0,69069000000.0,10708000000.0,,30450000000.0,12769000000.0,17681000000.0,-877000000.0,18558000000.0,27911000000.0,4546000000.0,23365000000.0
2023-12-31,924000000.0,924000000.0,37110000000.0,62537000000.0,-30170000000.0,151293000000.0,-20617000000.0,-30170000000.0,88756000000.0,147019000000.0,98919000000.0,10163000000.0,88756000000.0,-7027000000.0,-7027000000.0,95774000000.0,,9000000.0,9000000.0,0.0,174801000000.0,75747000000.0,14463000000.0,3021000000.0,3021000000.0,58263000000.0,58263000000.0,99054000000.0,27072000000.0,3355000000.0,3355000000.0,4274000000.0,4274000000.0,64353000000.0,64353000000.0,64353000000.0,273720000000.0,195283000000.0,17298000000.0,47609000000.0,118926000000.0,15194000000.0,103732000000.0,11450000000.0,-7039000000.0,18489000000.0,12204000000.0,5573000000.0,712000000.0,0.0,78437000000.0,9839000000.0,,38970000000.0,17694000000.0,21276000000.0,-1000000000.0,22276000000.0,29628000000.0,4201000000.0,25427000000.0
2024-12-31,915000000.0,915000000.0,51592000000.0,76904000000.0,-37344000000.0,169562000000.0,-17990000000.0,-37344000000.0,92658000000.0,165017000000.0,102591000000.0,9933000000.0,92658000000.0,-3387000000.0,-3387000000.0,96036000000.0,0.0,9000000.0,9000000.0,0.0,195687000000.0,91918000000.0,15939000000.0,3620000000.0,3620000000.0,72359000000.0,72359000000.0,103769000000.0,27346000000.0,3317000000.0,3317000000.0,4545000000.0,4545000000.0,68561000000.0,68561000000.0,68561000000.0,298278000000.0,212499000000.0,19590000000.0,52354000000.0,130002000000.0,23268000000.0,106734000000.0,10553000000.0,-6971000000.0,17524000000.0,12945000000.0,4215000000.0,364000000.0,0.0,85779000000.0,8212000000.0,,48454000000.0,26089000000.0,22365000000.0,-985000000.0,23350000000.0,29113000000.0,3801000000.0,25312000000.0
2025-12-31,905838620.0,905838620.0,54024000000.0,78389000000.0,-36863000000.0,172499000000.0,-24315000000.0,-36863000000.0,94110000000.0,166430000000.0,101698000000.0,7588000000.0,94110000000.0,-2061000000.0,-2061000000.0,95603000000.0,559000000.0,9000000.0,9000000.0,0.0,207883000000.0,92986000000.0,18245000000.0,2421000000.0,2421000000.0,72320000000.0,72320000000.0,114897000000.0,28046000000.0,3413000000.0,3413000000.0,6069000000.0,6069000000.0,77369000000.0,77369000000.0,77369000000.0,309581000000.0,218999000000.0,23013000000.0,54251000000.0,130973000000.0,20474000000.0,110499000000.0,10762000000.0,-7546000000.0,18308000000.0,13834000000.0,4087000000.0,387000000.0,0.0,90582000000.0,9746000000.0,,52715000000.0,29697000000.0,23018000000.0,-1208000000.0,24226000000.0,28121000000.0,3756000000.0,24365000000.0
