date,Free Cash Flow,Repurchase Of Capital Stock,Repayment Of Debt,Issuance Of Debt,Issuance Of Capital Stock,Capital Expenditure,Interest Paid Supplemental Data,Income Tax Paid Supplemental Data,End Cash Position,Other Cash Adjustment Outside Changein Cash,Beginning Cash Position,Effect Of Exchange Rate Changes,Changes In Cash,Financing Cash Flow,Cash Flow From Continuing Financing Activities,Net Other Financing Charges,Cash Dividends Paid,Common Stock Dividend Paid,Net Common Stock Issuance,Common Stock Payments,Common Stock Issuance,Net Issuance Payments Of Debt,Net Short Term Debt Issuance,Net Long Term Debt Issuance,Long Term Debt Payments,Long Term Debt Issuance,Investing Cash Flow,Cash Flow From Continuing Investing Activities,Net Other Investing Changes,Net Investment Purchase And Sale,Sale Of Investment,Purchase Of Investment,Net Business Purchase And Sale,Purchase Of Business,Net PPE Purchase And Sale,Purchase Of PPE,Operating Cash Flow,Cash Flow From Continuing Operating Activities,Change In Working Capital,Change In Other Working Capital,Change In Other Current Liabilities,Change In Other Current Assets,Change In Payables And Accrued Expense,Change In Payable,Change In Account Payable,Change In Receivables,Changes In Account Receivables,Other Non Cash Items,Stock Based Compensation,Deferred Tax,Deferred Income Tax,Depreciation Amortization Depletion,Depreciation And Amortization,Operating Gains Losses,Gain Loss On Sale Of Business,Net Income From Continuing Operations
2021-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1031000000.0,,,,,,,,,,,,,,,
2022-12-31,23404000000.0,-7000000000.0,-3015000000.0,14819000000.0,1253000000.0,-2802000000.0,1945000000.0,5222000000.0,23365000000.0,0.0,21375000000.0,34000000.0,1956000000.0,4226000000.0,4226000000.0,3428000000.0,-5991000000.0,-5991000000.0,-5747000000.0,-7000000000.0,1253000000.0,12536000000.0,732000000.0,11804000000.0,-3015000000.0,14819000000.0,-28476000000.0,-28476000000.0,2621000000.0,-6837000000.0,11988000000.0,-18825000000.0,-21458000000.0,-21458000000.0,-2802000000.0,-2802000000.0,26206000000.0,26206000000.0,2246000000.0,126000000.0,-1374000000.0,-1374000000.0,6017000000.0,6017000000.0,1964000000.0,-2523000000.0,-2523000000.0,-331000000.0,925000000.0,-673000000.0,-673000000.0,3400000000.0,3400000000.0,,0.0,20639000000.0
2023-12-31,25682000000.0,-8000000000.0,-2125000000.0,6394000000.0,1353000000.0,-3386000000.0,3035000000.0,6078000000.0,25427000000.0,0.0,23365000000.0,97000000.0,1965000000.0,-11529000000.0,-11529000000.0,-2401000000.0,-6761000000.0,-6761000000.0,-6647000000.0,-8000000000.0,1353000000.0,4280000000.0,11000000.0,4269000000.0,-2125000000.0,6394000000.0,-15574000000.0,-15574000000.0,-275000000.0,-1777000000.0,16537000000.0,-18314000000.0,-10136000000.0,-10136000000.0,-3386000000.0,-3386000000.0,29068000000.0,29068000000.0,1643000000.0,203000000.0,,-2444000000.0,6998000000.0,6998000000.0,3516000000.0,-3114000000.0,-3114000000.0,-505000000.0,1059000000.0,-245000000.0,-245000000.0,3972000000.0,3972000000.0,,0.0,23144000000.0
2024-12-31,20705000000.0,-9000000000.0,-3000000000.0,17811000000.0,1846000000.0,-3499000000.0,3594000000.0,4620000000.0,25312000000.0,-219000000.0,25427000000.0,-61000000.0,165000000.0,-3512000000.0,-3512000000.0,-3485000000.0,-7533000000.0,-7533000000.0,-7154000000.0,-9000000000.0,1846000000.0,14660000000.0,-151000000.0,14811000000.0,-3000000000.0,17811000000.0,-20527000000.0,-20527000000.0,-4145000000.0,525000000.0,27833000000.0,-27308000000.0,-13408000000.0,-13408000000.0,-3499000000.0,-3499000000.0,24204000000.0,24204000000.0,-808000000.0,-197000000.0,,-4140000000.0,4966000000.0,4966000000.0,2463000000.0,-1437000000.0,-1437000000.0,-3361000000.0,1018000000.0,-296000000.0,-296000000.0,4099000000.0,4099000000.0,8310000000.0,8310000000.0,15242000000.0
2025-12-31,16075000000.0,-5545000000.0,-3050000000.0,2969000000.0,827000000.0,-3622000000.0,4030000000.0,3714000000.0,24365000000.0,-355000000.0,25312000000.0,40000000.0,-632000000.0,-11644000000.0,-11644000000.0,264000000.0,-7916000000.0,-7916000000.0,-4718000000.0,-5545000000.0,827000000.0,726000000.0,807000000.0,-81000000.0,-3050000000.0,2969000000.0,-8685000000.0,-8685000000.0,-915000000.0,361000000.0,17734000000.0,-17373000000.0,-4509000000.0,-4509000000.0,-3622000000.0,-3622000000.0,19697000000.0,19697000000.0,2282000000.0,163000000.0,,-4606000000.0,7489000000.0,7489000000.0,1665000000.0,-764000000.0,-764000000.0,763000000.0,971000000.0,-1752000000.0,-1752000000.0,4361000000.0,4361000000.0,265000000.0,265000000.0,12807000000.0
