date,basis_pct,fut_close,spot_close
2025-11-12,1.61,101735.0,101663.19
2025-11-14,-0.91,94365.0,94397.79
2025-11-17,-4.46,91970.0,92093.88
2025-11-18,-0.94,92925.0,92948.88
2025-12-01,-9.5,85760.0,86321.57
2025-12-02,1.74,91455.0,91350.2
2025-12-03,-4.46,93265.0,93527.8
2025-12-04,12.57,92840.0,92141.62
2025-12-05,4.13,89600.0,89387.76
2025-12-08,7.83,90990.0,90640.2
2025-12-09,15.02,93340.0,92691.71
2025-12-11,-13.19,92010.0,92511.34
2025-12-12,4.9,90440.0,90270.41
2025-12-15,-16.69,85985.0,86419.78
2025-12-16,-2.04,87795.0,87843.98
2025-12-29,5.52,87560.0,87138.14
2025-12-30,-2.27,88260.0,88430.13
2025-12-31,5.23,87885.0,87508.83
2026-01-02,3.56,90190.0,89944.7
2026-01-05,10.92,94585.0,93882.55
2026-01-06,-15.16,92795.0,93729.03
2026-01-07,-1.27,91235.0,91308.05
2026-01-08,1.42,91105.0,91027.12
2026-01-09,-2.08,90405.0,90513.1
2026-01-12,10.38,91660.0,91192.99
2026-01-13,-13.67,94715.0,95321.78
2026-01-15,-5.0,95355.0,95551.19
2026-01-16,3.82,95665.0,95525.12
2026-02-02,-8.98,78205.0,78688.77
2026-02-04,11.96,73570.0,73019.7
2026-02-06,-7.28,70260.0,70555.39
2026-02-10,4.4,68935.0,68793.96
2026-02-13,-0.86,68835.0,68857.84
2026-03-02,14.95,69480.0,68775.85
2026-03-03,3.82,68465.0,68293.65
2026-03-04,16.03,73445.0,72710.58
2026-03-05,16.13,71530.0,70841.12
2026-03-06,4.04,68295.0,68136.49
2026-03-10,8.23,70195.0,69926.92
2026-03-12,5.23,70645.0,70493.46
2026-03-13,13.11,71325.0,70968.27
2026-03-30,-0.36,66675.0,66691.45
2026-03-31,-4.42,68035.0,68233.31
2026-04-01,6.09,68340.0,68078.55
2026-04-02,7.23,67180.0,66888.57
2026-04-08,11.28,71475.0,71123.36
2026-04-09,17.7,72290.0,71767.83
2026-04-14,10.75,74400.0,74181.61
2026-04-27,-2.6,77190.0,77366.62
2026-04-28,4.77,76660.0,76350.67
2026-04-29,-0.02,75775.0,75776.13
2026-04-30,7.19,76740.0,76304.32
2026-05-01,9.94,78775.0,78179.0
2026-05-04,10.28,80390.0,79827.91
2026-05-06,5.99,81735.0,81427.53
2026-05-07,6.95,80345.0,80009.99
2026-05-08,4.3,80385.0,80186.77
2026-05-11,11.33,82185.0,81728.3
2026-05-12,13.81,80995.0,80477.49
2026-05-13,13.46,79745.0,79277.12
2026-05-14,17.08,81620.0,81051.25
2026-05-15,4.76,79210.0,79065.68
2026-05-18,-2.55,76895.0,76954.17
2026-05-19,4.0,76835.0,76750.91
2026-06-01,8.5,71735.0,71319.77
2026-06-02,15.76,67395.0,66703.66
2026-06-04,-0.17,63795.0,63801.57
2026-06-05,-11.63,60515.0,60922.67
2026-06-08,12.36,63475.0,63090.59
2026-06-11,4.36,63675.0,63561.05
2026-06-12,4.79,63660.0,63543.2
2026-06-15,14.29,66575.0,66289.5
2026-06-16,5.53,65700.0,65600.64
2026-06-29,7.9,60555.0,60138.38
2026-06-30,6.86,58900.0,58558.86
2026-07-01,3.57,60180.0,60003.76
2026-07-02,3.47,61655.0,61485.3
2026-07-06,-2.51,63885.0,63995.02
2026-07-07,16.4,63980.0,63297.39
2026-07-08,4.4,62430.0,62257.57
2026-07-09,5.04,63385.0,63193.15
2026-07-10,-1.14,64085.0,64127.14
2026-07-13,3.61,62350.0,62239.12
2026-07-14,-7.97,64715.0,64956.11
2026-07-15,13.14,65085.0,64712.38
2026-07-17,15.12,64270.0,63899.46
2026-07-20,-2.29,65185.0,65230.03
2026-07-21,0.82,66520.0,66505.12
2026-08-03,14.36,64085.0,63460.9
2026-08-04,10.19,64485.0,64055.95
2026-08-05,11.85,65080.0,64597.5
2026-08-06,9.24,64620.0,64262.11
2026-08-07,7.9,65175.0,64880.19
2026-08-10,6.64,64120.0,63910.59
2026-08-11,1.63,63600.0,63551.88
2026-08-12,1.89,63455.0,63402.43
2026-08-13,2.8,63475.0,63402.17
2026-08-14,-0.02,62975.0,62975.59
2026-08-17,-4.95,64410.0,64506.25
2026-08-18,1.93,64715.0,64680.71
2026-08-31,12.94,79245.0,78548.63
2026-09-01,2.78,77545.0,77403.62
2026-09-02,5.74,77580.0,77300.48
2026-09-03,16.5,82080.0,81271.74
