date,basis_pct,fut_close,spot_close
2024-09-04,10.5,58355.0,57971.54
2024-09-05,1.61,56215.0,56160.49
2024-09-06,-8.18,53695.0,53948.75
2024-09-09,13.89,57410.0,57019.54
2024-09-16,-11.83,57985.0,58192.51
2024-09-17,-12.32,60105.0,60308.54
2024-09-30,9.58,63745.0,63329.5
2024-10-02,-5.31,60430.0,60632.79
2024-10-03,14.62,61295.0,60759.4
2024-10-08,9.26,62400.0,62131.97
2024-10-14,4.97,66145.0,66046.12
2024-10-15,9.74,67220.0,67041.11
2024-10-28,6.4,70300.0,69907.76
2024-10-29,10.03,73340.0,72720.49
2024-10-30,3.29,72535.0,72339.54
2024-10-31,4.48,70465.0,70215.19
2024-11-01,4.64,69730.0,69482.47
2024-11-04,-2.83,67680.0,67811.51
2024-11-05,10.97,69860.0,69359.56
2024-11-13,-8.29,90255.0,90584.16
2024-12-02,11.72,96635.0,95865.3
2024-12-03,8.44,96535.0,96002.16
2024-12-09,-13.38,96790.0,97432.72
2024-12-10,6.65,96975.0,96675.43
2024-12-12,8.8,100405.0,100043.0
2024-12-16,16.6,106560.0,106029.72
2024-12-31,8.71,94120.0,93429.2
2025-01-02,16.93,98190.0,96886.88
2025-01-03,14.92,99230.0,98107.43
2025-01-06,15.33,103150.0,102078.09
2025-01-07,-2.16,96785.0,96922.7
2025-01-08,-13.58,94230.0,95043.52
2025-01-09,-6.17,92140.0,92484.04
2025-01-10,9.33,95210.0,94701.45
2025-01-13,-13.12,93905.0,94516.52
2025-01-14,8.25,96905.0,96534.05
2025-01-15,-10.09,100060.0,100504.49
2025-01-21,8.73,106400.0,106146.27
2025-02-03,8.06,101965.0,101405.42
2025-02-05,17.98,97710.0,96615.45
2025-02-06,11.88,97285.0,96593.3
2025-02-07,-9.71,95990.0,96529.09
2025-02-10,5.05,97680.0,97437.55
2025-02-11,-7.23,95425.0,95747.43
2025-02-12,-11.44,97395.0,97885.86
2025-02-13,-2.87,96510.0,96623.87
2025-02-14,1.23,97555.0,97508.97
2025-03-03,4.23,86315.0,86065.67
2025-03-04,1.88,87330.0,87222.2
2025-03-05,5.45,90935.0,90623.56
2025-03-06,-9.25,89460.0,89961.73
2025-03-07,10.17,87250.0,86742.67
2025-03-10,12.73,79025.0,78532.0
2025-03-11,13.81,83395.0,82862.21
2025-03-12,-15.46,83155.0,83722.36
2025-03-31,2.85,82710.0,82548.91
2025-04-01,3.23,85350.0,85169.17
2025-04-04,10.49,84350.0,83843.8
2025-04-08,15.29,76815.0,76271.95
2025-04-09,1.13,82615.0,82573.95
2025-04-10,2.1,79695.0,79626.14
2025-04-28,6.32,95505.0,94978.75
2025-04-30,6.3,94695.0,94207.31
2025-05-01,9.3,97205.0,96492.34
2025-05-02,8.0,97505.0,96910.07
2025-05-05,-0.28,94730.0,94748.05
2025-05-07,-6.17,96655.0,97032.32
2025-05-09,11.21,103635.0,102970.85
2025-05-12,-13.77,102115.0,102812.95
2025-05-14,1.78,103620.0,103539.41
2025-05-15,-5.74,103500.0,103744.64
2025-05-19,8.6,105880.0,105606.18
2025-06-02,-12.09,105005.0,105881.53
2025-06-04,11.41,105485.0,104731.98
2025-06-05,10.44,102215.0,101575.95
2025-06-06,6.32,104770.0,104390.34
2025-06-10,-5.4,109980.0,110257.23
2025-06-11,9.94,109160.0,108686.62
2025-06-13,-17.47,105380.0,106090.97
2025-06-17,10.78,104910.0,104601.12
2025-06-30,14.99,108235.0,107135.34
2025-07-01,0.74,105750.0,105698.28
2025-07-03,11.61,110415.0,109647.98
2025-07-04,1.46,108125.0,108034.34
2025-07-07,2.9,108455.0,108299.85
2025-07-08,5.22,109215.0,108950.27
2025-07-14,10.67,120235.0,119849.7
2025-07-28,10.5,119010.0,117924.48
2025-07-29,3.72,118295.0,117922.15
2025-07-30,-2.18,117620.0,117831.19
2025-08-01,2.87,113570.0,113320.09
2025-08-04,2.7,115285.0,115071.88
2025-08-05,0.18,114155.0,114141.45
2025-08-06,11.06,115830.0,115028.0
2025-08-07,9.43,118165.0,117496.9
2025-08-08,3.97,116955.0,116688.73
2025-08-11,12.53,119465.0,118731.45
2025-08-12,-0.32,120155.0,120172.91
2025-08-13,1.59,123430.0,123344.06
2025-08-14,1.14,118415.0,118359.58
2025-08-15,-3.63,117235.0,117398.35
2025-08-18,9.92,116600.0,116252.31
2025-08-19,13.06,113235.0,112831.18
2025-09-02,2.52,111385.0,111200.59
2025-09-03,15.72,112830.0,111723.21
2025-09-04,-7.17,110245.0,110723.6
2025-09-08,7.39,112480.0,112071.43
2025-09-09,3.17,111695.0,111530.55
2025-09-10,0.39,113975.0,113955.36
2025-09-11,-12.17,114930.0,115507.54
2025-09-15,3.74,115575.0,115444.88
2025-09-16,7.71,117090.0,116843.19
2025-09-29,8.27,115230.0,114400.38
2025-09-30,11.65,115185.0,114056.09
2025-10-01,-3.73,118285.0,118648.93
2025-10-02,12.81,121910.0,120681.26
2025-10-03,14.59,123635.0,122266.53
2025-10-07,11.32,122355.0,121451.38
2025-10-08,9.2,124070.0,123354.87
2025-10-09,-1.17,121620.0,121705.59
2025-10-14,-0.64,113085.0,113118.66
2025-10-15,15.79,111550.0,110783.16
2025-10-16,5.82,108445.0,108186.04
2025-10-17,5.07,106675.0,106467.79
2025-10-20,14.58,111075.0,110588.93
2025-11-03,7.16,107070.0,106547.52
2025-11-04,-8.39,101030.0,101590.52
2025-11-05,5.32,104240.0,103891.84
2025-11-06,-1.5,101210.0,101301.29
2025-11-07,11.06,104030.0,103372.41
2025-11-10,7.05,106365.0,105996.59
2025-11-11,-0.89,102955.0,102997.47
