date,ESU31,ESM31,ESH31,ESZ30,ESU30,ESM30,ESH30,ESZ29,ESU29,ESM29,ESH29,ESZ28,ESU28,ESM28,ESH28,ESZ27,ESU27,ESM27,ESH27,ESZ26,ESU26
2026-08-03,9228.25,9143.75,9080.5,9017.75,8929.25,8840.75,8752.25,8663.75,8577.0,8490.25,8403.25,8316.25,8240.0,8161.0,8081.25,8001.0,7861.75,7825.0,7776.0,7695.75,7628.25
2026-08-04,9385.75,9301.25,9238.0,9175.25,9080.75,8988.75,8896.75,8804.75,8719.25,8633.75,8548.25,8462.75,8383.25,8303.5,8224.25,8142.5,8064.25,7988.5,7911.75,7834.75,7765.5
2026-08-05,9382.25,9297.75,9234.5,9171.75,9079.25,8986.75,8894.25,8801.75,8713.0,8624.25,8535.25,8446.5,8365.0,8284.75,8202.5,8121.25,8048.5,7972.5,7894.75,7818.25,7749.5
2026-08-06,9371.0,9286.5,9223.25,9160.5,9067.25,8974.25,8881.0,8787.75,8699.0,8610.0,8521.25,8432.25,8355.75,8277.0,8194.0,8111.25,8034.5,7957.25,7881.5,7802.0,7737.25
2026-08-07,9405.25,9320.75,9257.5,9194.75,9102.25,9009.5,8916.5,8823.75,8737.0,8650.5,8563.75,8477.0,8397.0,8316.25,8236.75,8154.75,8078.0,8001.25,7926.25,7848.0,7779.75
2026-08-10,9410.0,9325.5,9262.25,9199.5,9107.0,9014.25,8921.25,8828.5,8741.75,8655.25,8568.5,8481.75,8400.75,8319.25,8239.25,8156.0,8079.0,8000.25,7922.75,7845.25,7776.75
2026-08-11,9377.0,9292.5,9229.25,9166.5,9074.0,8981.25,8888.25,8795.5,8707.75,8619.0,8530.0,8441.25,8361.0,8281.0,8200.75,8120.5,8044.75,7967.5,7892.0,7820.0,7752.5
2026-08-12,9394.5,9310.0,9246.75,9184.0,9091.5,8998.75,8905.75,8813.0,8726.5,8640.25,8553.75,8467.25,8386.5,8306.25,8226.25,8142.25,8064.5,7990.25,7914.25,7837.0,7770.5
2026-08-13,9444.75,9360.25,9297.0,9234.25,9141.75,9049.0,8956.0,8863.25,8774.5,8685.75,8597.0,8508.25,8432.75,8351.75,8270.5,8191.75,8115.0,8039.25,7963.0,7889.25,7822.5
2026-08-14,9432.0,9347.5,9284.25,9221.5,9129.0,9036.25,8943.25,8850.5,8761.75,8673.0,8584.25,8495.5,8418.5,8337.75,8255.75,8173.0,8098.25,8038.0,7950.0,7869.0,7802.5
2026-08-15,9432.0,9347.5,9284.25,9221.5,9129.0,9036.25,8943.25,8850.5,8761.75,8673.0,8584.25,8495.5,8418.5,8337.75,8255.75,8173.0,8098.25,8022.25,7948.0,7871.75,7805.0
2026-08-17,9388.0,9303.5,9240.25,9177.5,9085.0,8992.25,8899.25,8806.5,8720.0,8633.0,8545.75,8458.5,8377.75,8297.25,8216.5,8135.5,8061.25,8022.5,7935.0,7832.0,7765.0
2026-08-18,9332.25,9247.75,9184.5,9121.75,9029.25,8936.5,8843.5,8750.75,8662.5,8574.25,8485.75,8397.5,8322.25,8241.25,8159.5,8080.75,8004.25,7930.75,7856.5,7779.0,7713.25
2026-08-19,9347.0,9262.5,9199.25,9136.5,9044.0,8951.25,8858.25,8765.5,8677.5,8589.5,8501.5,8413.5,8334.5,8255.25,8177.0,8095.75,8019.5,7945.0,7870.0,7796.0,7730.5
2026-08-20,9269.25,9184.75,9121.5,9058.75,8966.25,8873.5,8780.5,8687.75,8601.25,8514.5,8428.0,8341.25,8264.25,8186.0,8108.0,8029.75,7952.25,7879.0,7816.0,7731.75,7667.75
2026-08-21,9313.25,9228.75,9165.5,9102.75,9010.25,8917.5,8824.5,8731.75,8644.75,8557.5,8470.5,8383.25,8301.25,8220.75,8140.5,8060.0,7983.0,7907.0,7833.0,7754.25,7687.5
2026-08-23,9313.25,9228.75,9165.5,9102.75,9010.25,8917.5,8824.5,8731.75,8644.75,8557.5,8470.5,8383.25,8301.25,8220.75,8140.5,8060.0,7983.0,7907.0,7832.75,7757.25,7691.25
2026-08-24,9291.5,9207.0,9143.75,9081.0,8988.5,8895.75,8802.75,8710.0,8623.25,8536.25,8449.5,8362.5,8281.25,8201.5,8120.25,8040.75,7963.0,7887.25,7815.0,7738.0,7674.25
2026-08-25,9301.0,9216.5,9153.25,9090.5,8998.0,8905.25,8812.25,8719.5,8634.0,8548.25,8462.75,8377.0,8297.75,8218.5,8141.25,8060.25,7985.25,7909.0,7835.0,7760.5,7690.75
2026-08-26,9308.5,9224.0,9160.75,9098.0,9005.5,8912.75,8819.75,8727.0,8640.25,8554.0,8467.5,8381.25,8303.25,8223.75,8142.75,8061.25,7985.0,7907.75,7845.0,7763.5,7697.0
2026-08-28,9381.25,9296.75,9233.5,9170.75,9078.25,8985.5,8892.5,8799.75,8710.25,8620.75,8531.25,8441.75,8364.5,8283.75,8200.75,8117.5,8040.75,7962.0,7886.25,7794.5,7727.75
