date,Free Cash Flow,Repurchase Of Capital Stock,Repayment Of Debt,Issuance Of Debt,Issuance Of Capital Stock,Capital Expenditure,Interest Paid Supplemental Data,Income Tax Paid Supplemental Data,End Cash Position,Other Cash Adjustment Outside Changein Cash,Beginning Cash Position,Effect Of Exchange Rate Changes,Changes In Cash,Financing Cash Flow,Cash Flow From Continuing Financing Activities,Net Other Financing Charges,Proceeds From Stock Option Exercised,Net Preferred Stock Issuance,Preferred Stock Issuance,Net Common Stock Issuance,Common Stock Payments,Common Stock Issuance,Net Issuance Payments Of Debt,Net Long Term Debt Issuance,Long Term Debt Payments,Long Term Debt Issuance,Investing Cash Flow,Cash Flow From Continuing Investing Activities,Net Other Investing Changes,Net Investment Purchase And Sale,Sale Of Investment,Purchase Of Investment,Net Business Purchase And Sale,Sale Of Business,Purchase Of Business,Net Intangibles Purchase And Sale,Sale Of Intangibles,Purchase Of Intangibles,Net PPE Purchase And Sale,Sale Of PPE,Purchase Of PPE,Capital Expenditure Reported,Operating Cash Flow,Cash Flow From Continuing Operating Activities,Change In Working Capital,Change In Other Working Capital,Change In Other Current Liabilities,Change In Payables And Accrued Expense,Change In Prepaid Assets,Change In Receivables,Changes In Account Receivables,Other Non Cash Items,Stock Based Compensation,Unrealized Gain Loss On Investment Securities,Provisionand Write Offof Assets,Asset Impairment Charge,Amortization Of Securities,Deferred Tax,Deferred Income Tax,Depreciation Amortization Depletion,Depreciation And Amortization,Amortization Cash Flow,Amortization Of Intangibles,Depreciation,Operating Gains Losses,Earnings Losses From Equity Investments,Gain Loss On Investment Securities,Net Foreign Currency Exchange Gain Loss,Gain Loss On Sale Of PPE,Gain Loss On Sale Of Business,Net Income From Continuing Operations
2021-12-31,,,-12488000.0,451025000.0,,,,,,,,,,,,,,,,,,482000.0,438537000.0,438537000.0,-12488000.0,451025000.0,,,,,,,,,,,5080000.0,,-1059000.0,0.0,-1059000.0,,,,,-473000.0,,,,,,,,,,38256000.0,,,,,,3700000.0,3700000.0,300000.0,,537000.0,,,,0.0,
2022-12-31,-91008000.0,0.0,,,400999000.0,-18315000.0,350000.0,7424000.0,36673840000.0,136000.0,42653126000.0,3620000.0,-5983042000.0,2578241000.0,2578241000.0,2176756000.0,486000.0,400999000.0,400999000.0,0.0,0.0,,,,,,-8488590000.0,-8488590000.0,-3050000.0,-8424769000.0,94442236000.0,-102867005000.0,-42456000.0,1000000.0,-43456000.0,-18315000.0,,-18315000.0,,,,-18315000.0,-72693000.0,-72693000.0,170895000.0,,2431000.0,227300000.0,-77571000.0,18735000.0,18735000.0,13832000.0,69266000.0,486938000.0,,,-353422000.0,-786000.0,-786000.0,13277000.0,13277000.0,12300000.0,12300000.0,1000000.0,296154000.0,,296154000.0,,0.0,,-768847000.0
2023-12-31,106706000.0,-8745000.0,,,0.0,-32862000.0,253000.0,81037000.0,24994159000.0,-254000.0,36673840000.0,1097000.0,-11680524000.0,-20329863000.0,-20329863000.0,-20322155000.0,1037000.0,0.0,0.0,-8745000.0,-8745000.0,0.0,,,,,8509771000.0,8509771000.0,-654000.0,8541658000.0,8855958000.0,-314300000.0,1629000.0,1629000.0,0.0,-32862000.0,,-32862000.0,,,,-32862000.0,139568000.0,139568000.0,-172459000.0,,291000.0,-123833000.0,-51161000.0,2244000.0,2244000.0,-1093000.0,107999000.0,-25343000.0,0.0,,-7738000.0,-32893000.0,-32893000.0,34887000.0,34887000.0,33100000.0,33100000.0,1800000.0,-31354000.0,,-11261000.0,1428000.0,-21521000.0,,267562000.0
2024-12-31,305478000.0,0.0,,,0.0,-39098000.0,258000.0,75579000.0,44967604000.0,-224000.0,24994159000.0,-7099000.0,19980768000.0,19449891000.0,19449891000.0,19448277000.0,1614000.0,0.0,0.0,0.0,0.0,0.0,,,,,186301000.0,186301000.0,-18128000.0,243527000.0,347105000.0,-103578000.0,0.0,0.0,0.0,-39098000.0,,-39098000.0,,,,-39098000.0,344576000.0,344576000.0,117436000.0,,10891000.0,132878000.0,-21764000.0,-4569000.0,-4569000.0,-613000.0,50134000.0,-10024000.0,0.0,,-2268000.0,-2806000.0,-2806000.0,50854000.0,50854000.0,49000000.0,49000000.0,1900000.0,-13804000.0,,-13312000.0,-565000.0,73000.0,,155667000.0
2025-12-31,485929000.0,0.0,,,1013097000.0,-56200000.0,180000.0,13330000.0,77419733000.0,0.0,44967604000.0,57675000.0,32394454000.0,31936360000.0,31936360000.0,30871504000.0,51759000.0,,,1013097000.0,0.0,1013097000.0,,,,,-84035000.0,-84035000.0,-12432000.0,-7669000.0,1622000.0,-9291000.0,-7734000.0,0.0,-7734000.0,-56200000.0,,-56200000.0,,,,-56200000.0,542129000.0,542129000.0,-109529000.0,,-4885000.0,81237000.0,-146502000.0,-39379000.0,-39379000.0,-482000.0,562875000.0,71422000.0,23592000.0,,0.0,-2153000.0,-2153000.0,76627000.0,76627000.0,,,,-10705000.0,,-18517000.0,7790000.0,22000.0,,-69518000.0
