date,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Average Dilution Earnings,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Special Income Charges,Write Off,Earnings From Equity Interest,Gain On Sale Of Security,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Research And Development,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2024-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-87000000.0,87000000.0,,,,,,,,,,,,,,,,
2025-03-31,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,-22000000.0,22000000.0,,,,,,,,,,,,,,,,
2025-06-30,233652609.554121,0.169068,37810000000.0,1382000000.0,1382000000.0,28196000000.0,4998000000.0,39039000000.0,39192000000.0,34194000000.0,789000000.0,261000000.0,1050000000.0,27047652609.55412,28196000000.0,65157000000.0,31271000000.0,12198000000.0,12122000000.0,2.31,2.33,28196000000.0,,28196000000.0,0.0,28196000000.0,28196000000.0,28196000000.0,5737000000.0,33933000000.0,1873000000.0,72000000.0,419000000.0,-419000000.0,419000000.0,1382000000.0,789000000.0,261000000.0,1050000000.0,31271000000.0,26118000000.0,13808000000.0,12310000000.0,7101000000.0,5209000000.0,5209000000.0,57389000000.0,39039000000.0,96428000000.0,96428000000.0
2025-09-30,2196165000.0,0.205,39028000000.0,10713000000.0,10713000000.0,34979000000.0,5611000000.0,41369000000.0,49741000000.0,44130000000.0,933000000.0,143000000.0,1076000000.0,26462165000.0,34979000000.0,71118000000.0,31228000000.0,12203000000.0,12086000000.0,2.87,2.89,34979000000.0,,34979000000.0,,34979000000.0,34979000000.0,34979000000.0,9008000000.0,43987000000.0,11826000000.0,1143000000.0,-30000000.0,30000000.0,-30000000.0,10713000000.0,933000000.0,143000000.0,1076000000.0,31228000000.0,29749000000.0,15151000000.0,14598000000.0,7205000000.0,7393000000.0,7393000000.0,60977000000.0,41369000000.0,102346000000.0,102346000000.0
2025-12-31,272805123.092262,0.119181,43166000000.0,2289000000.0,2289000000.0,34455000000.0,6040000000.0,45767000000.0,45455000000.0,39415000000.0,911000000.0,298000000.0,1209000000.0,32438805123.092262,34455000000.0,77895000000.0,35934000000.0,12228000000.0,12073000000.0,2.82,2.85,34455000000.0,,34455000000.0,,34455000000.0,34455000000.0,34455000000.0,4662000000.0,39117000000.0,2272000000.0,69000000.0,-86000000.0,86000000.0,-86000000.0,2289000000.0,911000000.0,298000000.0,1209000000.0,35934000000.0,32128000000.0,18572000000.0,13556000000.0,8215000000.0,5341000000.0,5341000000.0,68062000000.0,45767000000.0,113829000000.0,113829000000.0
2026-03-31,7080508189.944711,0.191624,47477000000.0,36950000000.0,36950000000.0,62578000000.0,6482000000.0,41271000000.0,84427000000.0,77945000000.0,848000000.0,533000000.0,1381000000.0,32708508189.94471,62578000000.0,70200000000.0,39696000000.0,12238000000.0,12099000000.0,5.11,5.17,62578000000.0,0.0,62578000000.0,,62578000000.0,62578000000.0,62578000000.0,14834000000.0,77412000000.0,36868000000.0,-142000000.0,,,60000000.0,36950000000.0,848000000.0,533000000.0,1381000000.0,39696000000.0,28929000000.0,17032000000.0,11897000000.0,7606000000.0,4291000000.0,4291000000.0,68625000000.0,41271000000.0,109896000000.0,109896000000.0
2026-06-30,18878249000.0,0.191,48296000000.0,98839000000.0,98839000000.0,112193000000.0,7104000000.0,45943000000.0,147135000000.0,140031000000.0,152000000.0,1278000000.0,1430000000.0,32232249000.0,112193000000.0,79026000000.0,40770000000.0,12309000000.0,12151000000.0,9.11,9.23,112107000000.0,,112107000000.0,86000000.0,112193000000.0,112193000000.0,112193000000.0,26560000000.0,138753000000.0,97831000000.0,-973000000.0,,,-35000000.0,98839000000.0,152000000.0,1278000000.0,1430000000.0,40770000000.0,33083000000.0,18219000000.0,14864000000.0,8403000000.0,6461000000.0,6461000000.0,73853000000.0,45943000000.0,119796000000.0,119796000000.0
