date,AAPL,ABNB,ADBE,ADI,ADP,ADSK,AEP,ALAB,ALNY,AMAT,AMD,AMGN,AMZN,APP,ARM,ASML,AVGO,AXON,BKNG,BKR,CCEP,CDNS,CEG,CMCSA,COST,CPRT,CRWD,CRWV,CSCO,CSX,CTAS,DASH,DDOG,DXCM,EXC,FANG,FAST,FER,FTNT,GEHC,GILD,GOOG,GOOGL,HON,HONA,IDXX,INTC,INTU,ISRG,KDP,KHC,KLAC,LIN,LITE,LRCX,MAR,MCHP,MDLZ,MELI,META,MNST,MPWR,MRVL,MSFT,MSTR,MU,NBIS,NFLX,NVDA,NXPI,ODFL,ORLY,PANW,PAYX,PCAR,PDD,PEP,PLTR,PYPL,QCOM,REGN,RKLB,ROP,ROST,SBUX,SHOP,SNDK,SNPS,SPCX,STX,TER,TMUS,TRI,TSLA,TTWO,TXN,VRTX,WBD,WDAY,WDC,WMT,XEL
2024-08-22,224.52999877929688,115.4499969482422,557.4400024414062,221.9100036621093,269.3800048828125,249.9100036621093,98.29000091552734,39.78499984741211,277.3299865722656,200.1999969482422,151.6999969482422,324.5299987792969,176.1300048828125,89.0,129.72000122070312,907.7100219726562,162.33999633789062,372.6900024414063,150.72360229492188,34.619998931884766,78.30999755859375,275.5799865722656,194.9499969482422,36.935333251953125,877.5599975585938,52.2400016784668,66.91000366210938,,50.220001220703125,33.22999954223633,196.1600036621093,128.8000030517578,115.62000274658205,72.27999877929688,37.880001068115234,191.72999572753903,33.755001068115234,40.7599983215332,74.48999786376953,84.37000274658203,75.9000015258789,165.49000549316406,163.8000030517578,197.83258056640625,,491.7300109863281,20.100000381469727,665.2899780273438,490.4299926757813,35.66999816894531,35.52000045776367,79.85199737548828,461.7099914550781,55.59000015258789,83.5719985961914,224.1199951171875,79.77999877929688,70.83000183105469,1988.8299560546875,531.9299926757812,46.47999954223633,908.530029296875,68.66000366210938,415.5499877929688,133.80999755859375,104.26000213623048,,68.89600372314453,123.73999786376952,245.3600006103516,200.8999938964844,75.1780014038086,174.74000549316406,127.88999938964844,95.27999877929688,147.19000244140625,175.74000549316406,31.920000076293945,71.5199966430664,169.0,1187.6600341796875,6.840000152587891,545.969970703125,152.52000427246094,92.43000030517578,74.30000305175781,,548.0599975585938,,103.2300033569336,131.1999969482422,196.44000244140625,165.75999450683594,210.6600036621093,158.6999969482422,203.7700042724609,479.8900146484375,7.5,231.0800018310547,48.4051399230957,75.58000183105469,59.91999816894531
2024-08-23,226.83999633789065,116.8499984741211,558.2999877929688,228.38999938964844,269.6000061035156,255.259994506836,98.25,41.77000045776367,272.6400146484375,202.6699981689453,154.97999572753906,328.79998779296875,177.0399932861328,90.1999969482422,135.6300048828125,907.260009765625,166.36000061035156,370.7000122070313,153.22320556640625,35.220001220703125,78.7300033569336,273.8999938964844,194.9900054931641,37.31958770751953,879.2100219726562,52.7599983215332,67.88500213623047,,50.7400016784668,33.689998626708984,197.125,128.80999755859375,117.2300033569336,74.06999969482422,37.790000915527344,195.22000122070312,34.04999923706055,41.75,74.7300033569336,84.77999877929688,76.72000122070312,167.42999267578125,165.6199951171875,200.1455993652344,,488.1300048828125,20.540000915527344,619.8499755859375,486.5499877929688,35.72999954223633,35.90999984741211,81.78399658203125,465.739990234375,59.16999816894531,84.73699951171875,225.259994506836,81.79000091552734,71.2300033569336,2000.31005859375,528.0,46.650001525878906,936.2899780273438,71.83999633789062,416.7900085449219,150.00999450683594,102.8499984741211,,68.6729965209961,129.3699951171875,252.6300048828125,203.7700042724609,74.43800354003906,175.375,130.0,96.45999908447266,139.8699951171875,175.8699951171875,31.780000686645508,71.69999694824219,173.5,1199.1199951171875,6.960000038146973,547.8200073242188,155.2100067138672,94.0199966430664,76.13999938964844,,539.3900146484375,,104.41000366210938,135.94000244140625,198.5800018310547,166.24000549316406,220.32000732421875,159.38999938964844,209.8800048828125,481.239990234375,8.050000190734863,259.95001220703125,48.63945770263672,75.69999694824219,60.119998931884766
2024-08-26,227.17999267578125,115.70999908447266,559.4400024414062,225.6100006103516,271.3500061035156,256.2099914550781,99.0199966430664,43.0,269.1400146484375,196.22999572753903,149.99000549316406,326.7799987792969,175.5,89.88999938964844,128.89999389648438,883.3099975585938,159.6199951171875,360.489990234375,151.9156036376953,35.43000030517578,79.0199966430664,268.25,194.88999938964844,37.72258758544922,892.510009765625,52.560001373291016,66.46749877929688,,50.790000915527344,33.66999816894531,198.4149932861328,128.6199951171875,116.73999786376952,73.66999816894531,37.970001220703125,197.27999877929688,33.96500015258789,41.06999969482422,75.18000030517578,84.48999786376953,76.95999908447266,167.92999267578125,166.16000366210938,201.4998016357422,,484.0700073242188,20.1299991607666,617.1199951171875,479.1900024414063,36.130001068115234,35.93000030517578,79.89700317382812,468.4599914550781,56.40999984741211,81.89099884033203,224.6699981689453,80.30000305175781,71.38999938964844,2004.699951171875,521.1199951171875,47.27999877929688,912.25,68.81999969482422,413.489990234375,146.89999389648438,98.91000366210938,,68.84400177001953,126.45999908447266,249.83999633789065,199.1199951171875,74.68533325195312,173.55999755859375,130.19000244140625,95.87000274658205,100.0,175.97000122070312,30.850000381469727,72.04000091552734,169.49000549316406,1199.3699951171875,6.739999771118164,546.72998046875,154.2100067138672,95.62999725341795,74.94999694824219,,525.9099731445312,,104.76000213623048,133.0,200.42999267578125,167.17999267578125,213.2100067138672,160.3800048828125,208.25,482.6400146484375,8.229999542236328,260.3699951171875,47.38473129272461,76.02999877929688,61.459999084472656
2024-08-27,228.02999877929688,116.73999786376952,567.8200073242188,231.83999633789065,274.67999267578125,256.989990234375,98.54000091552734,44.709999084472656,280.260009765625,195.7700042724609,150.5,326.92999267578125,173.1199951171875,90.3000030517578,131.1999969482422,889.8800048828125,161.38999938964844,363.4299926757813,155.25799560546875,35.400001525878906,79.98999786376953,268.92999267578125,196.13999938964844,37.71321487426758,908.9000244140624,52.59000015258789,67.4574966430664,,50.709999084472656,33.58000183105469,199.8975067138672,128.47999572753906,116.0199966430664,72.23999786376953,37.68000030517578,194.7100067138672,33.84000015258789,41.08000183105469,75.97000122070312,84.41000366210938,77.0,166.3800048828125,164.67999267578125,203.73374938964844,,482.55999755859375,20.06999969482422,626.3200073242188,482.3500061035156,36.369998931884766,35.7400016784668,81.27899932861328,472.3399963378906,57.47999954223633,82.04399871826172,227.6199951171875,80.94000244140625,71.25,2036.2099609375,519.0999755859375,47.59000015258789,945.4600219726562,69.70999908447266,413.8399963378906,140.00999450683594,97.86000061035156,,69.5719985961914,128.3000030517578,252.72999572753903,192.8600006103516,75.18199920654297,175.09500122070312,130.10000610351562,94.36000061035156,95.91000366210938,175.3000030517578,30.84000015258789,71.58999633789062,173.92999267578125,1201.760009765625,6.119999885559082,551.2000122070312,153.3300018310547,98.5999984741211,74.52999877929688,,521.780029296875,,100.70999908447266,134.97999572753906,204.02999877929688,170.9199981689453,209.2100067138672,160.77999877929688,210.69000244140625,480.2999877929688,8.109999656677246,264.67999267578125,47.50566864013672,76.12999725341797,60.88999938964844
2024-08-28,226.4900054931641,117.52999877929688,560.5399780273438,227.1699981689453,272.67999267578125,254.6199951171875,98.54000091552734,43.52000045776367,280.70001220703125,192.88999938964844,146.36000061035156,329.489990234375,170.8000030517578,88.0,125.31999969482422,888.1300048828125,158.17999267578125,362.4500122070313,155.92959594726562,34.959999084472656,80.12999725341797,263.0899963378906,193.7700042724609,37.42267990112305,888.0499877929688,53.209999084472656,66.05000305175781,,49.84999847412109,33.720001220703125,199.447494506836,127.16000366210938,113.41999816894533,70.4800033569336,37.88999938964844,194.57000732421875,33.70500183105469,41.34999847412109,75.61000061035156,83.93000030517578,78.55999755859375,164.5,162.85000610351562,202.6365509033203,,481.4800109863281,19.61000061035156,617.0399780273438,482.2099914550781,36.220001220703125,35.38999938964844,80.427001953125,472.8399963378906,56.56999969482422,80.51100158691406,227.32000732421875,79.4000015258789,71.25,1995.1700439453125,516.780029296875,47.04999923706055,929.2999877929688,68.44000244140625,410.6000061035156,132.08999633789062,94.86000061035156,,68.38400268554688,125.61000061035156,246.9100036621093,194.1999969482422,75.913330078125,175.22000122070312,129.97999572753906,94.52999877929688,89.16999816894531,173.9199981689453,30.36000061035156,70.43000030517578,171.85000610351562,1199.2900390625,6.090000152587891,550.3300170898438,149.89999389648438,95.3000030517578,72.52999877929688,,509.9800109863281,,99.25,132.30999755859375,201.4100036621093,170.32000732421875,205.75,159.0,207.7400054931641,489.7300109863281,7.96999979019165,260.29998779296875,47.188209533691406,76.08000183105469,60.68000030517578
2024-08-29,229.7899932861328,116.5999984741211,569.6300048828125,230.88999938964844,273.3599853515625,258.2300109863281,99.75,48.220001220703125,287.010009765625,192.97999572753903,145.49000549316406,331.010009765625,172.1199951171875,91.61000061035156,131.92999267578125,887.7100219726562,156.92999267578125,362.0,155.6324005126953,35.2599983215332,80.0,265.6300048828125,194.44000244140625,36.98219299316406,886.6300048828125,52.400001525878906,67.9175033569336,,50.38999938964844,33.939998626708984,199.8125,126.52999877929688,115.18000030517578,69.62000274658203,38.02999877929688,196.7899932861328,33.75,41.27999877929688,76.2699966430664,84.08000183105469,79.44999694824219,163.39999389648438,161.77999877929688,205.1176147460937,,487.2799987792969,20.1299991607666,622.7999877929688,487.1700134277344,36.16999816894531,35.2599983215332,79.57499694824219,472.7300109863281,56.52999877929688,79.73200225830078,231.3699951171875,80.9800033569336,70.7300033569336,2015.7900390625,518.219970703125,47.0,930.6099853515624,69.83999633789062,413.1199951171875,132.55999755859375,95.56999969482422,,69.24800109863281,117.58999633789062,248.77999877929688,192.1199951171875,75.89800262451172,179.10499572753906,129.5500030517578,94.6500015258789,93.41999816894533,172.08999633789062,31.0,73.16000366210938,169.49000549316406,1178.9300537109375,6.230000019073486,553.8200073242188,151.8000030517578,94.86000061035156,73.2699966430664,,517.02001953125,,97.54000091552734,133.9600067138672,200.0800018310547,169.57000732421875,206.27999877929688,160.5,211.08999633789065,493.3500061035156,7.730000019073486,262.3599853515625,47.6417236328125,76.41999816894531,61.38999938964844
2024-08-30,229.0,117.30999755859376,574.4099731445312,234.83999633789065,275.9100036621094,258.3999938964844,100.27999877929688,43.060001373291016,262.69000244140625,197.259994506836,148.55999755859375,333.8299865722656,178.5,92.87000274658205,132.8800048828125,903.8699951171876,162.82000732421875,364.9700012207031,156.36920166015625,35.16999816894531,80.48999786376953,268.92999267578125,196.6999969482422,37.08528518676758,892.3800048828125,52.959999084472656,69.31999969482422,,50.540000915527344,34.27000045776367,201.27999877929688,128.7100067138672,116.26000213623048,69.33999633789062,38.09000015258789,195.1100006103516,34.13999938964844,42.060001373291016,76.70999908447266,84.81999969482422,79.0,165.11000061035156,163.3800048828125,205.51300048828125,,481.3299865722656,22.040000915527344,630.260009765625,492.6300048828125,36.61000061035156,35.43000030517578,81.94300079345703,478.25,57.61000061035156,82.10099792480469,234.69000244140625,82.16000366210938,71.80999755859375,2061.659912109375,521.3099975585938,47.130001068115234,934.6799926757812,76.23999786376953,417.1400146484375,132.4199981689453,96.23999786376952,,70.13500213623047,119.37000274658205,256.3599853515625,192.8000030517578,75.33132934570312,181.3600006103516,131.1999969482422,96.18000030517578,96.11000061035156,172.8800048828125,31.479999542236328,72.43000030517578,175.3000030517578,1184.68994140625,6.269999980926514,554.4099731445312,150.61000061035156,94.56999969482422,74.06999969482422,,519.5800170898438,,99.5500030517578,136.72999572753906,198.72000122070312,171.17999267578125,214.1100006103516,161.7100067138672,214.33999633789065,495.8900146484375,7.840000152587891,263.19000244140625,49.57672119140625,77.2300033569336,61.22999954223633
2024-09-03,222.7700042724609,114.9800033569336,571.0399780273438,218.7100067138672,275.54998779296875,257.8299865722656,101.56999969482422,39.11000061035156,253.77999877929688,183.3699951171875,136.94000244140625,330.510009765625,176.25,88.12999725341797,123.73999786376952,845.3900146484375,152.7899932861328,355.1600036621094,152.5511932373047,33.9900016784668,80.5,256.2799987792969,177.77999877929688,37.01968002319336,878.5700073242188,53.52000045776367,66.6500015258789,,50.060001373291016,34.58000183105469,199.8500061035156,125.0500030517578,111.4800033569336,72.36000061035156,38.4900016784668,187.47999572753903,33.540000915527344,41.15999984741211,77.12999725341797,84.80000305175781,79.69999694824219,158.61000061035156,157.36000061035156,202.4981689453125,,469.010009765625,20.100000381469727,624.8099975585938,483.4400024414063,37.150001525878906,35.59000015258789,74.14299774169922,474.0499877929688,53.0099983215332,76.5719985961914,230.72000122070312,76.4000015258789,72.25,1990.1700439453125,511.760009765625,48.29999923706055,838.6300048828125,70.0199966430664,409.4400024414063,122.31999969482422,88.58000183105469,,67.53199768066406,108.0,236.13999938964844,194.77999877929688,75.7873306274414,177.53500366210938,131.92999267578125,95.55999755859376,97.75,177.5399932861328,30.51000022888184,72.0,163.24000549316406,1168.81005859375,6.059999942779541,552.3599853515625,151.67999267578125,93.18000030517578,71.26000213623047,,481.2200012207031,,96.77999877929688,124.54000091552734,200.52999877929688,168.14999389648438,210.6000061035156,155.89999389648438,201.8300018310547,475.7000122070313,7.360000133514404,260.32000732421875,47.664398193359375,77.16999816894531,62.52000045776367
2024-09-04,220.8500061035156,115.20999908447266,575.25,221.8000030517578,275.2200012207031,255.7899932861328,102.43000030517578,41.68999862670898,253.13999938964844,182.3800048828125,140.8699951171875,330.6400146484375,173.3300018310547,87.87999725341797,120.9499969482422,811.47998046875,154.1199951171875,355.3500061035156,151.96839904785156,34.060001373291016,81.30000305175781,254.1300048828125,177.52000427246094,36.241798400878906,890.02001953125,53.04999923706055,64.83000183105469,,49.70000076293945,34.86000061035156,201.19500732421875,125.41999816894533,108.6500015258789,69.81999969482422,38.88999938964844,184.27999877929688,32.76499938964844,41.56999969482422,76.87000274658203,87.55000305175781,79.12999725341797,157.80999755859375,156.4499969482422,203.1703186035156,,471.2900085449219,19.43000030517578,623.0999755859375,481.7300109863281,37.22999954223633,36.06999969482422,74.51100158691406,472.1300048828125,55.43000030517578,76.44400024414062,229.4600067138672,76.88999938964844,75.2699966430664,1991.5899658203125,512.739990234375,48.380001068115234,850.510009765625,70.87000274658203,408.8999938964844,124.8499984741211,89.29000091552734,,67.96800231933594,106.20999908447266,238.8600006103516,195.63999938964844,75.84866333007812,173.0749969482422,132.0399932861328,95.0,92.75,178.52000427246094,30.59000015258789,72.61000061035156,165.3300018310547,1179.3699951171875,6.340000152587891,558.510009765625,151.75999450683594,92.33000183105467,70.22000122070312,,477.5299987792969,,100.7300033569336,126.76000213623048,198.8000030517578,169.47999572753906,219.4100036621093,158.0399932861328,204.0,478.5700073242188,7.320000171661377,258.6000061035156,47.58125686645508,77.23999786376953,63.15999984741211
2024-09-05,222.3800048828125,116.16000366210938,567.9299926757812,219.05999755859375,270.1700134277344,251.77000427246094,103.0999984741211,41.689998626708984,251.47999572753906,180.24000549316406,139.44000244140625,324.3599853515625,177.88999938964844,88.19000244140625,123.08999633789062,795.5999755859375,152.82000732421875,354.8599853515625,151.27520751953125,34.11000061035156,81.43000030517578,250.85000610351562,176.07000732421875,37.30084228515625,885.97998046875,49.5099983215332,64.10749816894531,,49.130001068115234,34.02000045776367,199.72999572753906,126.3499984741211,110.08999633789062,69.05000305175781,38.41999816894531,184.00999450683594,32.59000015258789,41.790000915527344,75.80000305175781,87.29000091552734,78.7699966430664,158.60000610351562,157.24000549316406,200.63983154296875,,469.17999267578125,19.399999618530273,621.47998046875,476.69000244140625,36.970001220703125,36.130001068115234,72.80599975585938,465.5199890136719,55.08000183105469,75.59200286865234,229.05999755859375,76.75,75.06999969482422,2038.1800537109375,516.8599853515625,24.110000610351562,841.489990234375,69.88999938964844,408.3900146484375,119.56999969482422,89.38999938964844,,68.36199951171875,107.20999908447266,236.6999969482422,186.05999755859375,75.8393325805664,171.8699951171875,130.07000732421875,92.56999969482422,92.68000030517578,179.3000030517578,30.15999984741211,72.02999877929688,163.6999969482422,1150.56005859375,6.079999923706055,554.9099731445312,153.13999938964844,91.55999755859375,70.11000061035156,,476.0299987792969,,100.80999755859375,126.0999984741211,197.17999267578125,168.0,230.1699981689453,157.05999755859375,201.5500030517578,468.57000732421875,7.420000076293945,255.7899932861328,47.32426452636719,76.95999908447266,63.459999084472656
