date,close
2026-08-03,95.975
2026-08-04,96.045
2026-08-05,96.075
2026-08-06,95.99
2026-08-07,96.03
2026-08-10,95.98
2026-08-11,96.0
2026-08-12,96.02
2026-08-13,96.075
2026-08-14,96.04
2026-08-15,96.04
2026-08-17,96.025
2026-08-18,96.03
2026-08-19,96.02
2026-08-20,96.015
2026-08-21,95.96
2026-08-23,95.96
2026-08-24,95.955
2026-08-25,96.035
2026-08-26,96.005
2026-08-28,95.99
2026-09-04,95.83
2026-09-05,95.83
2026-09-06,95.83
2026-09-07,95.83
2026-09-08,95.805
2026-09-09,95.765
2026-09-10,95.6
2026-09-11,95.5
2026-09-12,95.5
2026-09-13,95.5
2026-09-14,95.52
2026-09-15,95.485
2026-09-16,95.405
2026-09-17,95.465
2026-09-18,95.4
2026-09-19,95.4
2026-09-20,95.4
2026-09-21,95.395
