date,close
2026-08-03,95.985
2026-08-04,96.055
2026-08-05,96.085
2026-08-06,96.0
2026-08-07,96.04
2026-08-10,95.99
2026-08-11,96.01
2026-08-12,96.03
2026-08-13,96.085
2026-08-14,96.05
2026-08-15,96.05
2026-08-17,96.035
2026-08-18,96.04
2026-08-19,96.03
2026-08-20,96.025
2026-08-21,95.97
2026-08-23,95.97
2026-08-24,95.965
2026-08-25,96.04
2026-08-26,95.985
2026-08-28,95.97
2026-09-04,95.81
2026-09-05,95.81
2026-09-06,95.81
2026-09-07,95.81
2026-09-08,95.785
2026-09-09,95.745
2026-09-10,95.58
2026-09-11,95.48
2026-09-12,95.48
2026-09-13,95.48
2026-09-14,95.5
2026-09-15,95.465
2026-09-16,95.385
2026-09-17,95.445
2026-09-18,95.38
2026-09-19,95.38
2026-09-20,95.38
2026-09-21,95.375
2026-09-22,95.375
2026-09-23,95.22
2026-09-24,95.225
