date,close
2026-08-03,96.015
2026-08-04,96.085
2026-08-05,96.115
2026-08-06,96.03
2026-08-07,96.07
2026-08-10,96.02
2026-08-11,96.04
2026-08-12,96.06
2026-08-13,96.115
2026-08-14,96.08
2026-08-15,96.08
2026-08-17,96.065
2026-08-18,96.07
2026-08-19,96.06
2026-08-20,96.055
2026-08-21,96.0
2026-08-23,96.0
2026-08-24,95.995
2026-08-25,96.075
2026-08-26,96.045
2026-08-28,96.03
2026-09-04,95.87
2026-09-05,95.87
2026-09-06,95.87
2026-09-07,95.87
2026-09-08,95.845
2026-09-09,95.805
2026-09-10,95.64
2026-09-11,95.54
2026-09-12,95.54
2026-09-13,95.54
2026-09-14,95.56
2026-09-15,95.525
2026-09-16,95.445
2026-09-17,95.505
