date,close
2026-08-03,95.425
2026-08-04,95.495
2026-08-05,95.525
2026-08-06,95.44
2026-08-07,95.48
2026-08-10,95.43
2026-08-11,95.45
2026-08-12,95.47
2026-08-13,95.525
2026-08-14,95.49
2026-08-15,95.49
2026-08-17,95.475
2026-08-18,95.48
2026-08-19,95.47
2026-08-20,95.465
2026-08-21,95.41
2026-08-23,95.41
2026-08-24,95.405
2026-08-25,95.485
2026-08-26,95.455
2026-08-28,95.44
2026-09-04,95.28
2026-09-05,95.28
2026-09-06,95.28
2026-09-07,95.28
2026-09-08,95.255
2026-09-09,95.215
2026-09-10,95.05
2026-09-11,94.95
2026-09-12,94.95
2026-09-13,94.95
2026-09-14,94.97
2026-09-15,94.935
2026-09-16,94.855
2026-09-17,94.915
2026-09-18,94.85
2026-09-19,94.85
2026-09-20,94.85
2026-09-21,94.845
