date,close
2026-08-03,95.17
2026-08-04,95.24
2026-08-05,95.27
2026-08-06,95.185
2026-08-07,95.225
2026-08-10,95.175
2026-08-11,95.195
2026-08-12,95.215
2026-08-13,95.27
2026-08-14,95.235
2026-08-15,95.235
2026-08-17,95.22
2026-08-18,95.225
2026-08-19,95.215
2026-08-20,95.21
2026-08-21,95.155
2026-08-23,95.155
2026-08-24,95.15
2026-08-25,95.23
2026-08-26,95.2
2026-08-28,95.185
2026-09-04,95.025
2026-09-05,95.025
2026-09-06,95.025
2026-09-07,95.025
2026-09-08,95.0
2026-09-09,94.96
2026-09-10,94.795
2026-09-11,94.695
2026-09-12,94.695
2026-09-13,94.695
2026-09-14,94.715
2026-09-15,94.68
2026-09-16,94.6
2026-09-17,94.66
2026-09-18,94.595
2026-09-19,94.595
2026-09-20,94.595
2026-09-21,94.59
2026-09-22,94.585
2026-09-23,94.43
2026-09-24,94.435
2026-09-25,94.48
