date,close
2026-08-03,95.27
2026-08-04,95.34
2026-08-05,95.37
2026-08-06,95.285
2026-08-07,95.325
2026-08-10,95.275
2026-08-11,95.295
2026-08-12,95.315
2026-08-13,95.37
2026-08-14,95.335
2026-08-15,95.335
2026-08-17,95.32
2026-08-18,95.325
2026-08-19,95.315
2026-08-20,95.31
2026-08-21,95.255
2026-08-23,95.255
2026-08-24,95.25
2026-08-25,95.33
2026-08-26,95.3
2026-08-28,95.285
2026-09-04,95.125
2026-09-05,95.125
2026-09-06,95.125
2026-09-07,95.125
2026-09-08,95.1
2026-09-09,95.06
2026-09-10,94.895
2026-09-11,94.795
2026-09-12,94.795
2026-09-13,94.795
2026-09-14,94.815
2026-09-15,94.78
2026-09-16,94.7
2026-09-17,94.76
2026-09-18,94.695
2026-09-19,94.695
2026-09-20,94.695
2026-09-21,94.69
2026-09-22,94.685
2026-09-23,94.53
2026-09-24,94.535
2026-09-25,94.58
