date,close
2026-08-03,95.545
2026-08-04,95.615
2026-08-05,95.645
2026-08-06,95.56
2026-08-07,95.6
2026-08-10,95.55
2026-08-11,95.57
2026-08-12,95.59
2026-08-13,95.645
2026-08-14,95.61
2026-08-15,95.61
2026-08-17,95.595
2026-08-18,95.6
2026-08-19,95.59
2026-08-20,95.585
2026-08-21,95.53
2026-08-23,95.53
2026-08-24,95.525
2026-08-25,95.605
2026-08-26,95.575
2026-08-28,95.56
2026-09-04,95.4
2026-09-05,95.4
2026-09-06,95.4
2026-09-07,95.4
2026-09-08,95.375
2026-09-09,95.335
2026-09-10,95.17
2026-09-11,95.07
2026-09-12,95.07
2026-09-13,95.07
2026-09-14,95.09
2026-09-15,95.055
2026-09-16,94.975
2026-09-17,95.035
2026-09-18,94.97
2026-09-19,94.97
2026-09-20,94.97
2026-09-21,94.965
2026-09-22,94.96
