date,close
2026-08-03,95.15
2026-08-04,95.22
2026-08-05,95.25
2026-08-06,95.165
2026-08-07,95.205
2026-08-10,95.155
2026-08-11,95.175
2026-08-12,95.195
2026-08-13,95.25
2026-08-14,95.215
2026-08-15,95.215
2026-08-17,95.2
2026-08-18,95.205
2026-08-19,95.195
2026-08-20,95.19
2026-08-21,95.135
2026-08-23,95.135
2026-08-24,95.13
2026-08-25,95.21
2026-08-26,95.18
2026-08-28,95.165
2026-09-04,95.005
2026-09-05,95.005
2026-09-06,95.005
2026-09-07,95.005
2026-09-08,94.98
2026-09-09,94.94
2026-09-10,94.775
2026-09-11,94.675
2026-09-12,94.675
2026-09-13,94.675
2026-09-14,94.695
2026-09-15,94.66
2026-09-16,94.58
2026-09-17,94.64
2026-09-18,94.575
2026-09-19,94.575
2026-09-20,94.575
2026-09-21,94.57
2026-09-22,94.565
2026-09-23,94.41
2026-09-24,94.415
