date,close
2026-08-03,95.53
2026-08-04,95.6
2026-08-05,95.63
2026-08-06,95.545
2026-08-07,95.585
2026-08-10,95.535
2026-08-11,95.555
2026-08-12,95.575
2026-08-13,95.63
2026-08-14,95.595
2026-08-15,95.595
2026-08-17,95.58
2026-08-18,95.585
2026-08-19,95.575
2026-08-20,95.57
2026-08-21,95.515
2026-08-23,95.515
2026-08-24,95.51
2026-08-25,95.59
2026-08-26,95.56
2026-08-28,95.545
2026-09-04,95.385
2026-09-05,95.385
2026-09-06,95.385
2026-09-07,95.385
2026-09-08,95.36
2026-09-09,95.32
2026-09-10,95.155
2026-09-11,95.055
2026-09-12,95.055
2026-09-13,95.055
2026-09-14,95.075
2026-09-15,95.04
2026-09-16,94.96
2026-09-17,95.02
2026-09-18,94.955
2026-09-19,94.955
2026-09-20,94.955
2026-09-21,94.95
2026-09-22,94.945
