date,close
2026-08-03,95.465
2026-08-04,95.535
2026-08-05,95.565
2026-08-06,95.48
2026-08-07,95.52
2026-08-10,95.47
2026-08-11,95.49
2026-08-12,95.51
2026-08-13,95.565
2026-08-14,95.53
2026-08-15,95.53
2026-08-17,95.515
2026-08-18,95.52
2026-08-19,95.51
2026-08-20,95.505
2026-08-21,95.45
2026-08-23,95.45
2026-08-24,95.445
2026-08-25,95.525
2026-08-26,95.495
2026-08-28,95.48
2026-09-04,95.32
2026-09-05,95.32
2026-09-06,95.32
2026-09-07,95.32
2026-09-08,95.295
2026-09-09,95.255
2026-09-10,95.09
2026-09-11,94.99
2026-09-12,94.99
2026-09-13,94.99
2026-09-14,95.01
2026-09-15,94.975
2026-09-16,94.895
2026-09-17,94.955
2026-09-18,94.89
2026-09-19,94.89
2026-09-20,94.89
2026-09-21,94.885
2026-09-22,94.88
2026-09-23,94.725
