date,close
2026-08-03,95.97
2026-08-04,96.04
2026-08-05,96.07
2026-08-06,95.985
2026-08-07,96.025
2026-08-10,95.975
2026-08-11,95.995
2026-08-12,96.015
2026-08-13,96.07
2026-08-14,96.035
2026-08-15,96.035
2026-08-17,96.02
2026-08-18,96.025
2026-08-19,96.015
2026-08-20,96.01
2026-08-21,95.955
2026-08-23,95.955
2026-08-24,95.95
2026-08-25,96.03
2026-08-26,96.0
2026-08-28,95.985
2026-09-04,95.825
2026-09-05,95.825
2026-09-06,95.825
2026-09-07,95.825
2026-09-08,95.8
2026-09-09,95.76
2026-09-10,95.595
2026-09-11,95.495
2026-09-12,95.495
2026-09-13,95.495
2026-09-14,95.515
2026-09-15,95.48
2026-09-16,95.4
2026-09-17,95.46
2026-09-18,95.395
2026-09-19,95.395
2026-09-20,95.395
2026-09-21,95.39
2026-09-22,95.39
2026-09-23,95.235
2026-09-24,95.24
