date,close
2026-08-03,95.875
2026-08-04,95.94
2026-08-05,95.965
2026-08-06,95.895
2026-08-07,95.955
2026-08-10,95.925
2026-08-11,95.95
2026-08-12,95.97
2026-08-13,96.035
2026-08-14,96.015
2026-08-15,96.01
2026-08-17,96.005
2026-08-18,96.005
2026-08-19,96.025
2026-08-20,96.01
2026-08-21,95.96
2026-08-23,95.965
2026-08-24,95.955
2026-08-25,96.005
2026-08-26,95.97
2026-08-28,95.96
2026-09-04,95.845
2026-09-05,95.83
2026-09-06,95.83
2026-09-07,95.825
2026-09-08,95.815
2026-09-09,95.79
2026-09-10,95.61
2026-09-11,95.565
2026-09-12,95.555
2026-09-13,95.555
2026-09-14,95.545
2026-09-15,95.545
2026-09-16,95.44
2026-09-17,95.49
