date,Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Gains Losses Not Affecting Retained Earnings,Other Equity Adjustments,Retained Earnings,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Debt,Current Liabilities,Other Current Liabilities,Current Deferred Liabilities,Current Deferred Revenue,Current Debt And Capital Lease Obligation,Current Debt,Other Current Borrowings,Commercial Paper,Payables And Accrued Expenses,Current Accrued Expenses,Payables,Total Tax Payable,Income Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Deferred Assets,Non Current Deferred Taxes Assets,Investments And Advances,Investmentin Financial Assets,Available For Sale Securities,Goodwill And Other Intangible Assets,Net PPE,Accumulated Depreciation,Gross PPE,Leases,Machinery Furniture Equipment,Land And Improvements,Properties,Current Assets,Other Current Assets,Inventory,Finished Goods,Raw Materials,Receivables,Other Receivables,Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Equivalents,Cash Financial
2024-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4119000000.0,2792000000.0,,,,,,,,
2025-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3596000000.0,2673000000.0,,,,,,,,
2025-06-30,14856722000.0,14856722000.0,65429000000.0,101698000000.0,65830000000.0,167528000000.0,-18629000000.0,65830000000.0,65830000000.0,148260000000.0,65830000000.0,65830000000.0,-6369000000.0,-6369000000.0,-17607000000.0,89806000000.0,89806000000.0,265665000000.0,124545000000.0,42115000000.0,82430000000.0,82430000000.0,141120000000.0,62499000000.0,8979000000.0,8979000000.0,19268000000.0,19268000000.0,9345000000.0,9923000000.0,50374000000.0,,50374000000.0,,,50374000000.0,331495000000.0,209004000000.0,82882000000.0,,,77614000000.0,77614000000.0,77614000000.0,,48508000000.0,-75803000000.0,124311000000.0,,,,,122491000000.0,14359000000.0,5925000000.0,3637000000.0,2288000000.0,46835000000.0,19278000000.0,27557000000.0,55372000000.0,19103000000.0,36269000000.0,9583000000.0,26686000000.0
2025-09-30,14773260000.0,14773260000.0,62723000000.0,98657000000.0,73733000000.0,172390000000.0,-17674000000.0,73733000000.0,73733000000.0,152061000000.0,73733000000.0,73733000000.0,-5571000000.0,-5571000000.0,-14264000000.0,93568000000.0,93568000000.0,285508000000.0,119877000000.0,41549000000.0,78328000000.0,78328000000.0,165631000000.0,44452000000.0,9055000000.0,9055000000.0,20329000000.0,20329000000.0,12350000000.0,7979000000.0,91795000000.0,8919000000.0,82876000000.0,13016000000.0,13016000000.0,69860000000.0,359241000000.0,211284000000.0,62950000000.0,20777000000.0,20777000000.0,77723000000.0,77723000000.0,77723000000.0,,49834000000.0,-76014000000.0,125848000000.0,15091000000.0,83420000000.0,27337000000.0,0.0,147957000000.0,14585000000.0,5718000000.0,,,72957000000.0,33180000000.0,39777000000.0,54697000000.0,18763000000.0,35934000000.0,7667000000.0,28267000000.0
2025-12-31,14697926000.0,14697926000.0,45192000000.0,90509000000.0,88190000000.0,178699000000.0,-4263000000.0,88190000000.0,88190000000.0,164875000000.0,88190000000.0,88190000000.0,-4854000000.0,-4854000000.0,-2177000000.0,95221000000.0,95221000000.0,291107000000.0,128740000000.0,52055000000.0,76685000000.0,76685000000.0,162367000000.0,68543000000.0,9413000000.0,9413000000.0,13824000000.0,13824000000.0,11827000000.0,1997000000.0,70587000000.0,,70587000000.0,,,70587000000.0,379297000000.0,221193000000.0,93146000000.0,,,77888000000.0,77888000000.0,77888000000.0,,50159000000.0,-77161000000.0,127320000000.0,,,,,158104000000.0,15002000000.0,5875000000.0,,,70320000000.0,30399000000.0,39921000000.0,66907000000.0,21590000000.0,45317000000.0,14491000000.0,30826000000.0
2026-03-31,14667688000.0,14667688000.0,39139000000.0,84711000000.0,85157000000.0,191202000000.0,9473000000.0,85157000000.0,106491000000.0,180895000000.0,106491000000.0,106491000000.0,-5375000000.0,-5375000000.0,12359000000.0,99507000000.0,99507000000.0,264591000000.0,129950000000.0,55546000000.0,74404000000.0,74404000000.0,134641000000.0,57654000000.0,9331000000.0,9331000000.0,10307000000.0,10307000000.0,8310000000.0,1997000000.0,57349000000.0,,57349000000.0,,,57349000000.0,371082000000.0,226968000000.0,77430000000.0,,,78088000000.0,78088000000.0,78088000000.0,21334000000.0,50116000000.0,-77441000000.0,127557000000.0,,,,,144114000000.0,15349000000.0,6747000000.0,,,53511000000.0,23172000000.0,30339000000.0,68507000000.0,22935000000.0,45572000000.0,15832000000.0,29740000000.0
2026-06-30,14687356000.0,14687356000.0,44800000000.0,84344000000.0,87178000000.0,191864000000.0,492000000.0,87178000000.0,107520000000.0,178860000000.0,107520000000.0,107520000000.0,-4508000000.0,-4508000000.0,11326000000.0,100702000000.0,100702000000.0,275746000000.0,126420000000.0,55080000000.0,71340000000.0,71340000000.0,149326000000.0,62259000000.0,9538000000.0,9538000000.0,13004000000.0,13004000000.0,11007000000.0,1997000000.0,64525000000.0,,64525000000.0,,,64525000000.0,383266000000.0,233448000000.0,77557000000.0,,,84118000000.0,84118000000.0,84118000000.0,20342000000.0,51431000000.0,-76744000000.0,128175000000.0,,,,,149818000000.0,17420000000.0,11092000000.0,3447000000.0,7645000000.0,58907000000.0,27509000000.0,31398000000.0,62399000000.0,22855000000.0,39544000000.0,12767000000.0,26777000000.0
