date,Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Gains Losses Not Affecting Retained Earnings,Other Equity Adjustments,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Tradeand Other Payables Non Current,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Current Liabilities,Other Current Liabilities,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Pensionand Other Post Retirement Benefit Plans Current,Payables And Accrued Expenses,Current Accrued Expenses,Payables,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Investments And Advances,Investmentin Financial Assets,Available For Sale Securities,Goodwill And Other Intangible Assets,Other Intangible Assets,Goodwill,Net PPE,Accumulated Depreciation,Gross PPE,Leases,Construction In Progress,Other Properties,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Receivables,Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Equivalents,Cash Financial
2024-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,6074000000.0,,,6350000000.0,,,,3438000000.0,,,,,,,,,915000000.0,,,,,,,,,,,,,,,,,,,
2025-06-30,2516000000.0,2516000000.0,16827000000.0,49560000000.0,174416000000.0,223902000000.0,36308000000.0,174416000000.0,20728000000.0,195070000000.0,223902000000.0,195070000000.0,195070000000.0,229000000.0,229000000.0,106345000000.0,88496000000.0,0.0,0.0,99674000000.0,62369000000.0,2740000000.0,12046000000.0,47583000000.0,18751000000.0,28832000000.0,37305000000.0,,1977000000.0,1977000000.0,,35328000000.0,25057000000.0,10271000000.0,,10271000000.0,294744000000.0,221131000000.0,15788000000.0,21988000000.0,21988000000.0,21988000000.0,20654000000.0,,20654000000.0,162701000000.0,-50288000000.0,212989000000.0,7575000000.0,35942000000.0,116315000000.0,50507000000.0,2650000000.0,0.0,73613000000.0,9981000000.0,16561000000.0,16561000000.0,47071000000.0,35066000000.0,12005000000.0,7261000000.0,4744000000.0
2025-09-30,2521178995.0,2521178995.0,18647000000.0,51060000000.0,172908000000.0,222900000000.0,36160000000.0,172908000000.0,22226000000.0,194066000000.0,222900000000.0,194066000000.0,194066000000.0,159000000.0,159000000.0,101577000000.0,92330000000.0,0.0,0.0,109778000000.0,72820000000.0,12135000000.0,11738000000.0,48947000000.0,20113000000.0,28834000000.0,36958000000.0,,2113000000.0,2113000000.0,,34845000000.0,27047000000.0,7798000000.0,,7798000000.0,303844000000.0,230726000000.0,6852000000.0,25074000000.0,25074000000.0,25074000000.0,21158000000.0,,21158000000.0,177642000000.0,-53499000000.0,231141000000.0,8233000000.0,44015000000.0,125331000000.0,50753000000.0,2809000000.0,0.0,73118000000.0,11373000000.0,17297000000.0,17297000000.0,44448000000.0,34261000000.0,10187000000.0,6023000000.0,4164000000.0
2025-12-31,2529638328.0,2529638328.0,22871000000.0,83897000000.0,189017000000.0,275987000000.0,66886000000.0,189017000000.0,25153000000.0,217243000000.0,275987000000.0,217243000000.0,217243000000.0,271000000.0,271000000.0,121179000000.0,95793000000.0,0.0,0.0,148778000000.0,106942000000.0,4253000000.0,21005000000.0,81684000000.0,22940000000.0,58744000000.0,41836000000.0,10387000000.0,2213000000.0,2213000000.0,7151000000.0,22085000000.0,11269000000.0,10816000000.0,1922000000.0,8894000000.0,366021000000.0,257299000000.0,4745000000.0,27524000000.0,27524000000.0,27524000000.0,28226000000.0,3692000000.0,24534000000.0,196804000000.0,-57326000000.0,254130000000.0,8346000000.0,50521000000.0,136008000000.0,55568000000.0,3687000000.0,0.0,108722000000.0,7361000000.0,19769000000.0,19769000000.0,81592000000.0,45719000000.0,35873000000.0,31482000000.0,4391000000.0
2026-03-31,2538377716.0,2538377716.0,35322000000.0,86769000000.0,218933000000.0,302429000000.0,63012000000.0,218933000000.0,28021000000.0,243681000000.0,302429000000.0,243681000000.0,243681000000.0,-303000000.0,-303000000.0,144647000000.0,99337000000.0,0.0,0.0,151569000000.0,104816000000.0,3612000000.0,16849000000.0,84355000000.0,25607000000.0,58748000000.0,46753000000.0,,2414000000.0,2414000000.0,,44339000000.0,31013000000.0,13326000000.0,,13326000000.0,395250000000.0,285485000000.0,14283000000.0,28410000000.0,28410000000.0,28410000000.0,24748000000.0,,24748000000.0,218044000000.0,-61491000000.0,279535000000.0,8209000000.0,61017000000.0,147796000000.0,58836000000.0,3677000000.0,0.0,109765000000.0,11115000000.0,17470000000.0,17470000000.0,81180000000.0,57754000000.0,23426000000.0,19280000000.0,4146000000.0
2026-06-30,2548377716.0,2548377716.0,68202000000.0,112318000000.0,237815000000.0,344885000000.0,69096000000.0,237815000000.0,28654000000.0,261221000000.0,344885000000.0,261221000000.0,261221000000.0,-603000000.0,-603000000.0,157843000000.0,103981000000.0,0.0,0.0,188735000000.0,132356000000.0,4137000000.0,18326000000.0,109893000000.0,26229000000.0,83664000000.0,56379000000.0,,2425000000.0,2425000000.0,,53954000000.0,38065000000.0,15889000000.0,,15889000000.0,449956000000.0,324481000000.0,21209000000.0,30157000000.0,30157000000.0,30157000000.0,23406000000.0,,23406000000.0,249709000000.0,-67148000000.0,316857000000.0,8464000000.0,80345000000.0,163344000000.0,61037000000.0,3667000000.0,0.0,125475000000.0,13463000000.0,21752000000.0,21752000000.0,90260000000.0,74798000000.0,15462000000.0,12133000000.0,3329000000.0
