date,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Other Special Charges,Write Off,Impairment Of Capital Assets,Net Non Operating Interest Income Expense,Total Other Finance Cost,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Amortization,Depreciation Income Statement,Research And Development,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2022-12-31,-610757400000.0,0.275,20908300000000.0,-2220936000000.0,-2220936000000.0,2229560000000.0,14151470000000.0,28993713000000.0,18687364000000.0,4535894000000.0,-350549000000.0,533114000000.0,89561000000.0,3839738600000.0,2229560000000.0,37812151000000.0,6809417000000.0,687711289.0,687711289.0,3242.0,3242.0,2229560000000.0,2229560000000.0,-12109000000.0,2241669000000.0,2241669000000.0,1761111000000.0,4002780000000.0,-27953000000.0,-1597013000000.0,-12681000000.0,0.0,1609694000000.0,-350549000000.0,-93004000000.0,533114000000.0,89561000000.0,6809417000000.0,8818438000000.0,102035000000.0,679399000000.0,414554000000.0,264845000000.0,4474553000000.0,2201083000000.0,1439915000000.0,761168000000.0,15627855000000.0,28993713000000.0,44621568000000.0,44621568000000.0
2023-12-31,-500906505501.97394,0.216187,5801138000000.0,-2317005000000.0,-2317005000000.0,-9112428000000.0,13673676000000.0,33299167000000.0,3484133000000.0,-10189543000000.0,-1123403000000.0,1468273000000.0,216429000000.0,-7296329505501.974,-9112428000000.0,40496032000000.0,-7730313000000.0,688041981.0,688041981.0,-13244.0,-13244.0,-9112428000000.0,-9112428000000.0,25119000000.0,-9137547000000.0,-9137547000000.0,-2520269000000.0,-11657816000000.0,-196715000000.0,85517000000.0,-94528000000.0,0.0,9011000000.0,-1123403000000.0,-128441000000.0,1468273000000.0,216429000000.0,-7730313000000.0,7196865000000.0,85672000000.0,587074000000.0,282685000000.0,304389000000.0,3750707000000.0,1687940000000.0,1024555000000.0,663385000000.0,-533448000000.0,33299167000000.0,32765719000000.0,32765719000000.0
2024-12-31,152803868622.06332,0.17117,36919422000000.0,892704000000.0,892704000000.0,19788681000000.0,12581537000000.0,34364814000000.0,37812126000000.0,25230589000000.0,-754106000000.0,1345239000000.0,344814000000.0,19048780868622.062,19788681000000.0,42725641000000.0,23467319000000.0,696318695.0,688733155.0,28419.0,28732.0,19788681000000.0,19788681000000.0,-8221000000.0,19796902000000.0,19796902000000.0,4088448000000.0,23885350000000.0,-16322000000.0,1289652000000.0,-1289933000000.0,0.0,281000000.0,-754106000000.0,-246319000000.0,1345239000000.0,344814000000.0,23467319000000.0,8360827000000.0,100974000000.0,559628000000.0,256853000000.0,302775000000.0,4436341000000.0,1730058000000.0,1168261000000.0,561797000000.0,31828146000000.0,34364814000000.0,66192960000000.0,66192960000000.0
2025-12-31,-1268638459399.9883,0.148966,73835682000000.0,-8516297000000.0,-8516297000000.0,42919287000000.0,13930130000000.0,38455885000000.0,65319385000000.0,51389255000000.0,11770064000000.0,923703000000.0,494327000000.0,50166945540600.01,42919287000000.0,49940356000000.0,47206319000000.0,710843138.0,691755641.0,60378.0,62044.0,42919287000000.0,42919287000000.0,-28615000000.0,42947902000000.0,42947902000000.0,7517650000000.0,50465552000000.0,77417000000.0,-122408000000.0,39179000000.0,0.0,83229000000.0,11770064000000.0,-12199440000000.0,923703000000.0,494327000000.0,47206319000000.0,11484471000000.0,137546000000.0,778939000000.0,483516000000.0,295423000000.0,6465637000000.0,1916619000000.0,1296409000000.0,620210000000.0,58690790000000.0,38455885000000.0,97146675000000.0,97146675000000.0
